year,player,player_id,position,player_game_count,team_name,dropbacks,attempts,deep_attempts,deep_completions,deep_drops,deep_yards,deep_touchdowns,deep_interceptions,deep_hit_as_threw,deep_attempt_percent,deep_accuracy_percent,qb_rating
2018,Patrick Mahomes,11765,QB,16,KC,639,580,92,44,3,1514,15,6,0,15.9,51.1,106.4
2018,Aaron Rodgers,2241,QB,16,GB,681,597,91,33,4,1145,12,0,0,15.2,40.7,124
2018,Ben Roethlisberger,1732,QB,16,PIT,713,675,87,30,1,1100,15,2,0,12.9,35.6,112.9
2018,Matt Ryan,4317,QB,16,ATL,668,608,74,31,0,1063,8,2,0,12.2,41.9,113.9
2018,Eli Manning,1722,QB,16,NYG,627,576,74,28,1,922,4,3,0,12.8,39.2,86.7
2018,Mitchell Trubisky,11757,QB,14,CHI,497,434,73,27,0,877,7,6,0,16.8,37,80.7
2018,Case Keenum,7323,QB,16,DEN,633,586,72,26,4,858,5,8,0,12.3,41.7,65.4
2018,Baker Mayfield,46518,QB,14,CLV,531,486,72,32,5,1008,11,4,0,14.8,51.4,107.6
2018,Andrew Luck,7007,QB,16,IND,679,639,70,29,5,951,8,5,0,11,48.6,97
2018,Russell Wilson,7077,QB,16,SEA,509,427,68,33,0,1108,15,1,0,15.9,48.5,128.1
2018,Tom Brady,698,QB,16,NE,596,570,65,23,5,714,8,2,0,11.4,43.1,104.1
2018,Jared Goff,10635,QB,16,LA,615,561,65,29,2,975,9,5,0,11.6,47.7,98.9
2018,Kirk Cousins,7102,QB,16,MIN,669,606,64,25,2,801,13,3,0,10.6,42.2,106.8
2018,Josh Allen,46601,QB,12,BUF,396,320,63,18,5,580,7,7,0,19.7,36.5,62.9
2018,Sam Darnold,29048,QB,13,NYJ,460,414,60,15,6,469,4,6,0,14.5,35,42.3
2018,Dak Prescott,10769,QB,16,DAL,611,526,57,20,2,790,8,1,0,10.8,38.6,115.7
2018,Deshaun Watson,11767,QB,16,HST,628,505,56,23,0,753,6,5,0,11.1,41.1,86.9
2018,Drew Brees,802,QB,15,NO,510,489,55,28,1,871,9,1,0,11.2,52.7,128.6
2018,Matthew Stafford,4924,QB,16,DET,608,555,55,21,1,713,5,5,0,9.9,40,78.4
2018,Philip Rivers,1725,QB,16,LAC,544,508,54,23,2,835,7,5,0,10.6,46.3,90.7
2018,Joe Flacco,4332,QB,9,BLT,400,379,52,12,4,378,3,3,0,13.7,30.8,52.6
2018,Derek Carr,8671,QB,16,OAK,612,553,51,23,2,715,5,4,0,9.2,49,91.7
2018,Josh Rosen,35460,QB,14,ARZ,453,393,50,16,5,495,4,2,0,12.7,42,80
2018,Jameis Winston,9434,QB,11,TB,441,378,46,13,2,446,5,5,0,12.2,32.6,64.1
2018,Carson Wentz,10636,QB,11,PHI,448,401,45,17,3,608,3,4,0,11.2,44.4,70.8
2018,Cam Newton,6153,QB,14,CAR,531,471,40,12,3,300,4,4,0,8.5,37.5,52.1
2018,Blake Bortles,8638,QB,13,JAX,476,403,40,14,3,471,5,3,0,9.9,42.5,88.6
2018,Andy Dalton,6187,QB,11,CIN,398,365,36,14,1,432,5,3,0,9.9,41.7,89.4
2018,Ryan Tannehill,7014,QB,11,MIA,318,274,35,10,0,367,6,4,0,12.8,28.6,70.8
2018,Marcus Mariota,9435,QB,14,TEN,409,331,34,14,6,450,2,1,0,10.3,58.8,95.8
2018,Alex Smith,2218,QB,10,WAS,374,328,34,10,2,318,2,1,0,10.4,35.3,73.4
2018,Ryan Fitzpatrick,2467,QB,8,TB,285,246,31,15,0,594,6,2,0,12.6,48.4,107.2
2018,Jeff Driskel,10841,QB,8,CIN,203,176,26,7,1,178,1,2,0,14.8,30.8,36.4
2018,Nick Mullens,12282,QB,8,SF,292,274,19,6,1,167,0,1,0,6.9,36.8,43.1
2018,Brock Osweiler,7059,QB,7,MIA,200,178,18,5,1,161,1,1,0,10.1,33.3,59.7
2018,Nick Foles,7089,QB,5,PHI,206,195,17,6,1,259,1,0,0,8.7,41.2,103.2
2018,Josh McCown,1085,QB,4,NYJ,122,110,15,1,1,41,0,3,0,13.6,13.3,0
2018,C.J. Beathard,11859,QB,5,SF,198,169,14,4,1,199,3,2,0,8.3,35.7,79.2
2018,Tyrod Taylor,6332,QB,4,CLV,108,85,14,4,0,157,1,1,0,16.5,28.6,67.9
2018,Derek Anderson,2430,QB,2,BUF,75,70,13,4,1,114,0,1,0,18.6,38.5,32.2
2018,Lamar Jackson,46416,QB,12,BLT,203,170,13,5,0,224,2,1,0,7.6,38.5,93.8
2018,Josh Johnson,4474,QB,4,WAS,114,91,12,2,0,63,0,2,0,13.2,16.7,9.4
2018,Jimmy Garoppolo,8697,QB,3,SF,107,89,12,5,1,168,2,1,0,13.5,50,93.8
2018,Chase Daniel,5214,QB,2,CHI,87,76,11,5,0,160,0,0,0,14.5,45.5,92
2018,Cody Kessler,10727,QB,5,JAX,169,131,11,2,1,58,0,0,0,8.4,27.3,49.1
2018,Taylor Heinicke,9896,QB,5,CAR,60,57,9,2,1,60,0,1,0,15.8,33.3,15.3
2018,Nathan Peterman,11926,QB,4,BUF,96,81,8,1,0,16,1,1,0,9.9,12.5,39.6
2018,Blaine Gabbert,6162,QB,6,TEN,106,101,8,3,0,90,0,0,0,7.9,37.5,80.2
2018,DeShone Kizer,11807,QB,2,GB,50,42,8,1,0,27,0,0,0,19,12.5,41.1
2018,Colt McCoy,5609,QB,3,WAS,67,54,6,1,0,53,1,1,0,11.1,16.7,63.9
2018,Sam Bradford,5526,QB,3,ARZ,88,80,6,3,0,80,1,1,0,7.5,50,95.8
2018,Matt Barkley,7880,QB,1,BUF,26,25,6,3,0,123,0,0,0,24,50,95.8
2018,Kyle Allen,26152,QB,2,CAR,34,31,3,3,0,115,1,0,0,9.7,100,158.3
2018,Mike Glennon,7854,QB,2,ARZ,22,21,3,0,0,0,0,0,0,14.3,0,39.6
2018,Mark Sanchez,4928,QB,2,WAS,43,35,3,0,1,0,0,0,0,8.6,33.3,39.6
2018,Jacoby Brissett,10725,QB,3,IND,4,4,2,0,1,0,0,0,0,50,50,39.6
2018,Jarvis Landry,8698,WR,2,CLV,2,2,2,1,0,63,0,0,0,100,50,95.8
2018,Taysom Hill,12112,QB,7,NO,10,7,2,1,0,44,0,1,0,28.6,50,56.3
2018,Robert Griffin III,7008,QB,2,BLT,6,6,2,0,0,0,0,0,0,33.3,0,39.6
2018,Odell Beckham Jr.,8647,WR,2,NYG,2,2,2,2,0,106,2,0,0,100,100,158.3
2018,Joshua Dobbs,11890,QB,3,PIT,14,12,1,1,0,22,0,0,0,8.3,100,118.8
2018,Danny Amendola,4717,WR,1,MIA,1,1,1,1,0,28,1,0,0,100,100,158.3
2018,Johnny Hekker,7252,P,5,LA,5,4,1,0,0,0,0,0,0,25,0,39.6
2018,Teddy Bridgewater,8667,QB,2,NO,28,23,1,0,0,0,0,1,0,4.3,0,0
2018,Mohamed Sanu,7084,WR,2,ATL,2,2,1,0,0,0,0,0,0,50,0,39.6
2018,Larry Fitzgerald,1724,WR,1,ARZ,1,1,1,1,0,32,1,0,0,100,100,158.3
2018,Emmanuel Sanders,5606,WR,1,DEN,1,1,1,1,0,28,1,0,0,100,100,158.3
2018,Tyler Boyd,10689,WR,1,CIN,1,1,1,0,0,0,0,0,0,100,0,39.6
2018,Matt Cassel,2447,QB,2,DET,19,17,1,0,0,0,0,0,0,5.9,0,39.6
2018,Albert Wilson,8943,WR,1,MIA,1,1,1,1,0,52,1,0,0,100,100,158.3
