year,player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
2016,David Johnson,9519,HB,16,ARZ,293,80,373,2.53,44,27,48.1
2016,Ezekiel Elliott,10638,HB,15,DAL,322,32,354,2.91,36,9,37
2016,DeMarco Murray,6223,HB,16,TEN,293,53,346,2.39,46,4,34.5
2016,Le'Veon Bell,7829,HB,12,PIT,261,75,336,3.01,47,14,54.7
2016,Todd Gurley II,9443,HB,16,LA,278,43,321,2.18,28,13,27.8
2016,LeGarrette Blount,5863,HB,16,NE,299,7,306,2.48,42,4,37.3
2016,Frank Gore,2282,HB,16,IND,263,38,301,2.06,15,8,15.7
2016,Lamar Miller,7097,HB,14,HST,268,31,299,1.99,23,8,20.6
2016,Melvin Gordon III,9448,HB,13,SD,254,41,295,2.46,34,11,37.6
2016,Jay Ajayi,9582,HB,15,MIA,260,27,287,3.47,58,5,76.2
2016,LeSean McCoy,4976,HB,15,BUF,234,50,284,2.42,43,18,52
2016,Jordan Howard,10784,HB,15,CHI,252,29,281,2.98,40,12,55.2
2016,Devonta Freeman,8738,HB,16,ATL,227,54,281,2.22,34,10,34.8
2016,Mark Ingram II,6180,HB,16,NO,205,46,251,3.06,42,5,57.4
2016,Matt Forte,4358,HB,14,NYJ,218,30,248,2.4,18,6,23.3
2016,Spencer Ware,7975,HB,14,KC,214,33,247,2.81,30,14,50.1
2016,Carlos Hyde,8692,HB,13,SF,217,27,244,3.06,37,3,50.2
2016,Jeremy Hill,8690,HB,15,CIN,222,21,243,2.46,23,3,26.3
2016,Isaiah Crowell,9295,HB,16,CLV,198,40,238,3.18,23,12,46.8
2016,Latavius Murray,7962,HB,14,OAK,195,33,228,2.6,20,8,31.9
2016,Terrance West,8729,HB,16,BLT,193,34,227,2.63,28,6,39.4
2016,Jonathan Stewart,4327,HB,13,CAR,218,8,226,2.75,47,2,59.6
2016,Rashad Jennings,5174,HB,13,NYG,181,35,216,2.04,11,6,16.1
2016,Devontae Booker,10770,HB,16,DEN,174,31,205,2.44,14,6,23.8
2016,Jerick McKinnon,8731,HB,15,MIN,159,43,202,2.04,22,12,34.4
2016,Bilal Powell,6278,HB,16,NYJ,131,58,189,3.21,22,13,59.5
2016,T.J. Yeldon,9469,HB,15,JAX,130,50,180,2.26,23,13,45.2
2016,Rob Kelley,11090,HB,14,WAS,168,12,180,2.84,35,4,61.5
2016,Christine Michael,7843,HB,15,GB,148,22,170,2.77,29,3,52.1
2016,Ryan Mathews,5537,HB,13,PHI,155,13,168,2.43,14,2,23.2
2016,Doug Martin,7035,HB,8,TB,144,14,158,2.51,21,1,34.9
2016,Tim Hightower,4463,HB,15,NO,133,22,155,2.36,9,4,19.8
2016,Matt Asiata,6432,HB,16,MIN,121,32,153,2.03,11,5,21.3
2016,Tevin Coleman,9506,HB,13,ATL,118,31,149,2.75,14,1,27.6
2016,Darren Sproles,2347,HB,15,PHI,94,52,146,2.65,19,7,47.2
2016,Theo Riddick,7980,HB,10,DET,92,53,145,2.73,15,14,54.6
2016,Jacquizz Rodgers,6297,HB,10,TB,129,13,142,2.74,18,4,42.4
2016,Chris Ivory,6007,HB,11,JAX,117,20,137,2.19,16,3,30.3
2016,Giovani Bernard,7818,HB,10,CIN,91,39,130,2.33,8,7,26.9
2016,Paul Perkins,10783,HB,13,NYG,112,15,127,2.24,10,6,28.2
2016,C.J. Anderson,8101,HB,7,DEN,110,16,126,2.39,13,5,34.2
2016,Duke Johnson Jr.,9510,HB,16,CLV,73,53,126,2.68,13,21,72.5
2016,Derrick Henry,10679,HB,15,TEN,110,13,123,2.64,15,12,57.9
2016,Thomas Rawls,9993,HB,9,SEA,109,13,122,2.17,13,2,26.6
2016,Ty Montgomery,9527,HB,14,GB,77,44,121,4.88,18,6,96.9
2016,Kenneth Dixon,10768,HB,12,BLT,88,30,118,2.94,26,9,87.3
2016,Chris Thompson,7936,HB,16,WAS,68,49,117,3.13,14,9,61.6
2016,Charcandrick West,9047,HB,15,KC,88,28,116,2.34,11,4,30.3
2016,DeAngelo Williams,2972,HB,9,PIT,98,18,116,2.49,11,6,36.5
2016,Alfred Blue,8816,HB,14,HST,100,12,112,2.32,12,0,24.9
2016,Jalen Richard,11395,HB,16,OAK,83,29,112,3.63,21,7,90.7
2016,Mike Gillislee,7946,HB,15,BUF,101,9,110,3.35,16,3,57.8
2016,Julian Edelman,5156,WR,16,NE,12,98,110,3.17,2,14,46.1
2016,Larry Fitzgerald,1724,WR,16,ARZ,2,107,109,2,0,13,23.9
2016,Antonio Brown,5718,WR,15,PIT,3,106,109,0,0,9,0
2016,Matt Jones,9528,HB,7,WAS,99,8,107,2.85,12,0,31.9
2016,Justin Forsett,4547,HB,9,DEN,87,20,107,2.24,11,0,23
2016,Zach Zenner,9761,HB,11,DET,88,18,106,2.89,11,3,38.1
2016,DeAndre Washington,10777,HB,14,OAK,87,17,104,3.3,9,1,31.7
2016,Shaun Draughn,6440,HB,14,SF,74,29,103,1.97,11,6,32.6
2016,Odell Beckham Jr.,8647,WR,16,NYG,1,101,102,1,0,29,28.4
2016,Golden Tate,5585,WR,16,DET,10,91,101,1.5,3,23,38.6
2016,Dwayne Washington,10870,HB,11,DET,90,10,100,2.09,4,2,12.5
2016,Jarvis Landry,8698,WR,16,MIA,5,94,99,2.8,4,22,73.5
2016,James White,8765,HB,16,NE,39,60,99,1.97,6,12,35.9
2016,Jordy Nelson,4350,WR,16,GB,0,97,97,,0,4,4.1
2016,Doug Baldwin,6615,WR,16,SEA,3,94,97,0,0,11,0
2016,Mike Evans,8642,WR,16,TB,0,96,96,,0,3,3.1
2016,Michael Thomas,10681,WR,15,NO,0,92,92,,0,20,21.7
2016,Rex Burkhead,7971,HB,10,CIN,74,17,91,3.03,11,4,49.9
2016,T.Y. Hilton,7092,WR,16,IND,0,91,91,,0,7,7.7
2016,Demaryius Thomas,5547,WR,16,DEN,0,90,90,,0,6,6.7
2016,Michael Crabtree,4933,WR,16,OAK,0,89,89,,0,14,15.7
2016,Stefon Diggs,9579,WR,13,MIN,3,84,87,1,1,8,10.3
2016,Tavon Austin,7789,WR,15,LA,28,58,86,3.5,11,6,69.2
2016,Travis Kelce,7844,TE,16,KC,1,85,86,-1,0,10,-11.6
2016,Dennis Pitta,5638,TE,16,BLT,0,86,86,,0,4,4.7
2016,Tyreek Hill,10799,WR,16,KC,24,61,85,4.13,6,13,92.2
2016,Terrelle Pryor Sr.,6944,WR,16,CLV,7,77,84,3.14,2,5,26.2
2016,Amari Cooper,9437,WR,16,OAK,1,83,84,0,0,12,0
2016,Brandin Cooks,8655,WR,16,NO,6,78,84,3,0,3,10.7
2016,Kyle Rudolph,6195,TE,16,MIN,0,83,83,,0,6,7.2
2016,Julio Jones,6158,WR,14,ATL,0,83,83,,0,7,8.4
2016,Wendell Smallwood,10787,HB,13,PHI,77,6,83,2.25,6,1,18.9
2016,Fozzy Whittaker,8547,HB,16,CAR,57,25,82,2.11,6,7,33.4
2016,James Starks,5716,HB,9,GB,63,19,82,2.02,3,2,12.3
2016,Dion Lewis,6301,HB,7,NE,64,17,81,2.14,8,5,34.4
2016,Jeremy Langford,9539,HB,12,CHI,62,19,81,1.94,5,1,14.3
2016,Emmanuel Sanders,5606,WR,16,DEN,1,79,80,1,0,12,15
2016,Greg Olsen,3647,TE,16,CAR,0,80,80,,0,3,3.8
2016,Cam Newton,6153,QB,15,CAR,80,0,80,2,6,0,15
2016,Pierre Garcon,4519,WR,16,WAS,0,79,79,,0,13,16.5
2016,DeAndre Hopkins,7808,WR,16,HST,0,78,78,,0,6,7.7
2016,Zach Ertz,7816,TE,14,PHI,0,78,78,,0,3,3.8
2016,Mike Wallace,5007,WR,16,BLT,5,72,77,2,0,8,20.8
2016,Cole Beasley,7330,WR,16,DAL,1,75,76,3,0,3,11.8
2016,Charles Sims,8704,HB,7,TB,51,24,75,2.25,3,6,27.1
2016,Eddie Lacy,7842,HB,5,GB,71,4,75,3.41,19,2,95.4
2016,Davante Adams,8688,WR,16,GB,0,75,75,,0,13,17.3
2016,Allen Robinson II,8696,WR,16,JAX,0,73,73,,0,4,5.5
2016,Jordan Matthews,8677,WR,14,PHI,0,73,73,,0,3,4.1
2016,Kenneth Farrow,10988,HB,11,SD,60,13,73,2.07,2,2,11.3
2016,Robert Turbin,7106,HB,15,IND,47,26,73,2.47,10,6,54.1
2016,Willie Snead IV,8999,WR,15,NO,0,72,72,,0,10,13.9
2016,Alfred Morris,7165,HB,14,DAL,69,3,72,2.22,6,2,24.6
2016,Adam Thielen,8288,WR,16,MIN,2,69,71,8,1,7,90.1
2016,Steve Smith,837,WR,14,BLT,0,70,70,,0,12,17.1
2016,Randall Cobb,6216,WR,13,GB,10,60,70,2.7,2,11,50.1
2016,Tyrell Williams,10154,WR,16,SD,0,69,69,,0,9,13
2016,Jason Witten,1384,TE,16,DAL,0,69,69,,0,8,11.6
2016,Marqise Lee,8674,WR,16,JAX,6,63,69,0.83,0,11,13.3
2016,Jamison Crowder,9538,WR,16,WAS,2,67,69,1.5,0,13,28.3
2016,Sterling Shepard,10674,WR,16,NYG,3,65,68,3,1,8,39.7
2016,Ted Ginn Jr.,3625,WR,16,CAR,14,54,68,1.64,1,5,14.5
2016,Kenny Britt,4953,WR,15,LA,0,68,68,,0,6,8.8
2016,Anquan Boldin,1369,WR,16,DET,0,67,67,,0,7,10.4
2016,Cameron Meredith,10008,WR,14,CHI,1,66,67,0,0,10,0
2016,Delanie Walker,3120,TE,15,TEN,2,65,67,6.5,2,11,126.1
2016,A.J. Green,6156,WR,10,CIN,0,66,66,,0,7,10.6
2016,Jimmy Graham,5619,TE,16,SEA,1,65,66,2,0,6,18.2
2016,Jordan Reed,7866,TE,12,WAS,0,66,66,,0,12,18.2
2016,Rishard Matthews,7211,WR,16,TEN,0,65,65,,0,5,7.7
2016,Brandon LaFell,5602,WR,16,CIN,1,64,65,0,0,4,0
2016,Jeremy Kerley,6305,WR,16,SF,0,64,64,,0,3,4.7
2016,Kelvin Benjamin,8663,WR,16,CAR,0,63,63,,0,8,12.7
2016,Eric Ebron,8645,TE,13,DET,1,61,62,2,0,4,12.9
2016,Adam Humphries,10075,WR,15,TB,5,55,60,2,0,6,20
2016,Peyton Barber,10927,HB,10,TB,55,5,60,2.27,7,0,26.5
2016,Mohamed Sanu,7084,WR,15,ATL,1,59,60,2,0,7,23.3
2016,Cordarrelle Patterson,7810,WR,16,MIN,7,52,59,4.71,5,10,119.9
2016,Quincy Enunwa,8843,WR,16,NYJ,1,58,59,0,0,13,0
2016,Brandon Marshall,3064,WR,15,NYJ,0,59,59,,0,3,5.1
2016,Jack Doyle,8520,TE,16,IND,0,59,59,,0,4,6.8
2016,Tyler Boyd,10689,WR,16,CIN,4,54,58,4,1,2,20.7
2016,Dontrelle Inman,6597,WR,16,SD,0,58,58,,0,3,5.2
2016,Damien Williams,9205,HB,15,MIA,35,23,58,2.8,13,8,101.4
2016,Cameron Brate,9207,TE,15,TB,0,57,57,,0,3,5.3
2016,Martellus Bennett,4375,TE,16,NE,2,55,57,4,0,9,63.2
2016,Charles Clay,6326,TE,15,BUF,0,57,57,,0,5,8.8
2016,DeSean Jackson,4363,WR,15,WAS,0,56,56,,0,3,5.4
2016,Marvin Jones Jr.,7158,WR,15,DET,1,55,56,2,0,6,21.4
2016,DeVante Parker,9447,WR,15,MIA,0,56,56,,0,7,12.5
2016,Gary Barnidge,4455,TE,16,CLV,0,55,55,,0,1,1.8
2016,C.J. Fiedorowicz,8700,TE,15,HST,0,54,54,,0,6,11.1
2016,Antonio Gates,1609,TE,14,SD,0,53,53,,0,5,9.4
2016,Robert Woods,7822,WR,13,BUF,1,51,52,0,0,3,0
2016,Alshon Jeffery,7048,WR,12,CHI,0,52,52,,0,1,1.9
2016,Coby Fleener,7038,TE,16,NO,1,50,51,1,0,1,2
2016,Ryan Griffin,7982,TE,16,HST,0,50,50,,0,4,8
2016,Lance Kendricks,6199,TE,16,LA,0,50,50,,0,5,10
2016,Dez Bryant,5549,WR,13,DAL,0,50,50,,0,4,8
2016,Eli Rogers,9878,WR,13,PIT,1,48,49,1,0,3,6.1
2016,Travis Benjamin,7100,WR,14,SD,2,47,49,1.5,0,6,18.4
2016,Will Fuller V,10655,WR,14,HST,1,47,48,3,0,6,37.5
2016,Ronnie Hillman,7069,HB,8,SD,41,7,48,2.29,3,0,14.3
2016,Will Tye,10070,TE,16,NYG,0,48,48,,0,9,18.8
2016,Zach Miller,5104,TE,10,CHI,0,47,47,,0,7,14.9
2016,Tyler Lockett,9502,WR,15,SEA,6,41,47,4.17,2,1,26.6
2016,C.J. Prosise,10724,HB,6,SEA,30,17,47,2.57,6,0,32.8
2016,DuJuan Harris,6595,HB,8,SF,38,8,46,2.16,5,6,51.6
2016,Andre Ellington,7968,HB,16,ARZ,34,12,46,1.82,3,0,11.9
2016,Mike Tolbert,4740,FB,16,CAR,35,10,45,2.51,10,0,55.9
2016,Jeremy Maclin,4942,WR,12,KC,1,44,45,0,0,3,0
2016,Robby Anderson,11254,WR,16,NYJ,3,42,45,2,0,3,13.3
2016,Shane Vereen,6208,HB,5,NYG,33,11,44,2.45,4,5,50.2
2016,Terrance Williams,7855,WR,16,DAL,0,44,44,,0,6,13.6
2016,Travaris Cadet,7457,HB,15,NO,4,40,44,1,0,7,15.9
2016,Chris Conley,9509,WR,16,KC,0,44,44,,0,1,2.3
2016,Denard Robinson,7917,HB,6,JAX,41,3,44,1.76,0,0,0
2016,Vernon Davis,2951,TE,16,WAS,0,44,44,,0,13,29.5
2016,Tyrod Taylor,6332,QB,15,BUF,43,0,43,6.33,20,0,294.2
2016,Aaron Ripkowski,9639,FB,15,GB,34,9,43,3.26,2,3,38
2016,Kenny Stills,7926,WR,16,MIA,0,42,42,,0,5,11.9
2016,Kenyan Drake,10707,HB,16,MIA,33,9,42,2.58,5,2,42.9
2016,Alex Collins,10805,HB,10,SEA,31,11,42,2.61,5,2,43.5
2016,Tajae Sharpe,10774,WR,16,TEN,1,41,42,2,1,2,14.3
2016,Kyle Juszczyk,7912,FB,16,BLT,5,37,42,2.8,0,5,33.3
2016,Brian Quick,7037,WR,16,LA,0,41,41,,0,4,9.8
2016,Chris Hogan,6468,WR,15,NE,3,38,41,2.33,0,4,22.8
2016,Nelson Agholor,9453,WR,15,PHI,5,36,41,2,1,6,34.1
2016,Jermaine Kearse,7428,WR,16,SEA,0,41,41,,0,5,12.2
2016,John Brown,8726,WR,15,ARZ,1,39,40,2,0,2,10
2016,Adrian Peterson,3623,HB,3,MIN,37,3,40,1.54,3,0,11.6
2016,Russell Wilson,7077,QB,16,SEA,37,2,39,1.92,3,0,14.8
2016,Taylor Gabriel,9002,WR,13,ATL,4,35,39,1,0,6,15.4
2016,Jesse James,9593,TE,16,PIT,0,39,39,,0,2,5.1
2016,Victor Cruz,5827,WR,15,NYG,0,39,39,,0,5,12.8
2016,J.J. Nelson,9592,WR,15,ARZ,4,34,38,3.25,2,4,51.3
2016,Seth Roberts,9079,WR,16,OAK,0,38,38,,0,10,26.3
2016,Trey Burton,9185,TE,15,PHI,0,37,37,,0,3,8.1
2016,Benny Cunningham,8283,HB,11,LA,21,16,37,2.43,3,4,45.9
2016,Jermaine Gresham,5546,TE,16,ARZ,0,37,37,,0,7,18.9
2016,Cameron Artis-Payne,9607,HB,3,CAR,36,1,37,2.47,7,0,46.8
2016,Michael Floyd,7019,WR,15,NE,0,37,37,,0,0,0
2016,Quinton Patton,7910,WR,14,SF,0,37,37,,0,5,13.5
2016,Marcus Mariota,9435,QB,15,TEN,37,0,37,1.7,3,0,13.8
2016,Bobby Rainey Jr.,7511,HB,11,NYG,17,20,37,1.71,2,7,41.5
2016,Ka'Deem Carey,8752,HB,11,CHI,32,5,37,3.03,5,2,57.3
2016,Dorial Green-Beckham,9473,WR,15,PHI,0,36,36,,0,5,13.9
2016,Hunter Henry,10669,TE,15,SD,0,36,36,,0,3,8.3
2016,Jonathan Grimes,7585,HB,9,HST,23,13,36,2.22,1,3,24.6
2016,Corey Grant,9827,HB,6,JAX,32,4,36,3.81,3,1,42.4
2016,Andrew Hawkins,6125,WR,16,CLV,2,33,35,1.5,0,6,25.7
2016,Allen Hurns,8931,WR,11,JAX,0,35,35,,0,1,2.9
2016,Phillip Dorsett,9462,WR,15,IND,2,33,35,1.5,0,2,8.6
2016,Josh Ferguson,10907,HB,12,IND,15,20,35,1.47,2,3,21
2016,Dwayne Allen,7066,TE,14,IND,0,35,35,,0,0,0
2016,Corey Coleman,10649,WR,10,CLV,2,33,35,3,0,8,68.6
2016,Breshad Perriman,9459,WR,16,BLT,1,33,34,2,0,2,11.8
2016,John Kuhn,2686,FB,16,NO,18,16,34,1.17,1,1,6.9
2016,Albert Wilson,8943,WR,16,KC,2,31,33,13.5,1,3,163.6
2016,Colin Kaepernick,6188,QB,12,SF,33,0,33,4.36,16,0,211.6
2016,Eddie Royal,4356,WR,9,CHI,0,33,33,,0,4,12.1
2016,Clive Walford,9501,TE,15,OAK,0,33,33,,0,1,3
2016,Malcolm Mitchell,10746,WR,14,NE,0,32,32,,0,6,18.8
2016,Terron Ward,9778,HB,5,ATL,31,1,32,2.42,3,0,22.7
2016,Kenjon Barner,7963,HB,13,PHI,27,5,32,2.04,1,2,19.1
2016,Orleans Darkwa,9173,HB,4,NYG,30,2,32,2.53,4,0,31.7
2016,Donte Moncrief,8725,WR,9,IND,1,30,31,2,0,3,19.4
2016,Kapri Bibbs,8906,HB,8,DEN,29,2,31,2.48,2,2,32
2016,Dak Prescott,10769,QB,16,DAL,30,0,30,2.73,5,0,45.6
2016,Julius Thomas,6281,TE,9,JAX,0,30,30,,0,0,0
2016,Kendall Wright,7026,WR,11,TEN,1,29,30,4,0,2,26.7
2016,Richard Rodgers,8733,TE,16,GB,0,30,30,,0,2,6.7
2016,Jared Cook,5012,TE,10,GB,0,30,30,,0,2,6.7
2016,Corey Brown,8986,WR,16,CAR,2,27,29,1,0,1,3.4
2016,Marquise Goodwin,7859,WR,15,BUF,0,29,29,,0,2,6.9
2016,Garrett Celek,7274,TE,16,SF,0,29,29,,0,1,3.4
2016,Tyler Eifert,7802,TE,8,CIN,0,29,29,,0,0,0
2016,Jamize Olawale,7572,FB,16,OAK,17,12,29,1.94,1,4,33.5
2016,Kamar Aiken,6671,WR,16,BLT,0,29,29,,0,2,6.9
2016,Arian Foster,5398,HB,4,MIA,22,6,28,1.64,2,1,17.5
2016,Sammy Watkins,8639,WR,8,BUF,0,28,28,,0,2,7.1
2016,Jonathan Williams,10790,HB,11,BUF,27,1,28,1.85,5,0,33.1
2016,Carson Wentz,10636,QB,16,PHI,26,1,27,3.19,6,0,70.9
2016,Darren McFadden,4318,HB,3,DAL,24,3,27,2.13,1,2,23.6
2016,Brandon Coleman,9086,WR,16,NO,0,26,26,,0,0,0
2016,Dion Sims,7888,TE,14,MIA,0,26,26,,0,3,11.5
2016,Alex Smith,2218,QB,15,KC,25,1,26,2.04,0,0,0
2016,Chris Johnson,4338,HB,4,ARZ,25,0,25,2.64,2,0,21.1
2016,Sammie Coates,9520,WR,14,PIT,4,21,25,7.5,2,3,150
2016,Rob Gronkowski,5567,TE,8,NE,0,25,25,,0,7,28
2016,Danny Woodhead,4914,HB,2,SD,19,6,25,1.89,2,0,15.2
2016,Kirk Cousins,7102,QB,16,WAS,25,0,25,0.6,1,0,2.4
2016,C.J. Uzomah,9590,TE,10,CIN,0,25,25,,0,3,12
