player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Ezekiel Elliott,10638,HB,15,DAL,322,1631,22,550,33.7
LeGarrette Blount,5863,HB,16,NE,299,1161,12,308,26.5
DeMarco Murray,6223,HB,16,TEN,293,1287,9,286,22.2
David Johnson,9519,HB,16,ARZ,292,1241,11,300,24.2
Todd Gurley II,9443,HB,16,LA,278,885,7,129,14.6
Lamar Miller,7097,HB,14,HST,268,1073,11,252,23.5
Frank Gore,2282,HB,16,IND,262,1028,6,111,10.8
Le'Veon Bell,7829,HB,12,PIT,261,1268,8,193,15.2
Jay Ajayi,9582,HB,15,MIA,260,1273,15,451,35.4
Melvin Gordon III,9448,HB,13,SD,254,997,16,385,38.6
Jordan Howard,10784,HB,15,CHI,252,1313,19,485,36.9
LeSean McCoy,4976,HB,15,BUF,234,1267,22,564,44.5
Devonta Freeman,8738,HB,16,ATL,227,1079,16,405,37.5
Jeremy Hill,8690,HB,15,CIN,222,839,7,240,28.6
Matt Forte,4358,HB,14,NYJ,218,813,10,220,27.1
Jonathan Stewart,4327,HB,13,CAR,218,824,9,227,27.5
Carlos Hyde,8692,HB,13,SF,216,989,12,309,31.2
Spencer Ware,7975,HB,14,KC,214,921,7,182,19.8
Mark Ingram II,6180,HB,16,NO,205,1043,11,314,30.1
Isaiah Crowell,9295,HB,16,CLV,198,952,16,452,47.5
Latavius Murray,7962,HB,14,OAK,195,788,8,198,25.1
Terrance West,8729,HB,16,BLT,193,774,12,272,35.1
Rashad Jennings,5174,HB,13,NYG,180,587,5,106,18.1
Devontae Booker,10770,HB,16,DEN,174,612,3,51,8.3
Rob Kelley,11090,HB,14,WAS,168,704,9,238,33.8
Jerick McKinnon,8731,HB,15,MIN,159,539,2,61,11.3
Ryan Mathews,5537,HB,13,PHI,155,661,11,224,33.9
Christine Michael,7843,HB,15,GB,148,583,4,120,20.6
Doug Martin,7035,HB,8,TB,143,411,2,32,7.8
Tim Hightower,4463,HB,15,NO,133,548,4,110,20.1
Bilal Powell,6278,HB,16,NYJ,130,700,9,187,26.7
T.J. Yeldon,9469,HB,15,JAX,130,465,4,61,13.1
Jacquizz Rodgers,6297,HB,10,TB,129,560,6,144,25.7
Matt Asiata,6432,HB,15,MIN,121,402,3,67,16.7
Chris Ivory,6007,HB,11,JAX,117,439,3,101,23.0
Tevin Coleman,9506,HB,13,ATL,116,513,8,208,40.5
Paul Perkins,10783,HB,13,NYG,112,456,3,60,13.2
C.J. Anderson,8101,HB,7,DEN,110,437,3,64,14.6
Derrick Henry,10679,HB,14,TEN,110,490,5,88,18.0
Thomas Rawls,9993,HB,9,SEA,109,349,3,78,22.3
Alfred Blue,8816,HB,14,HST,100,420,5,102,24.3
Mike Gillislee,7946,HB,13,BUF,100,580,10,251,43.3
Matt Jones,9528,HB,7,WAS,99,460,7,166,36.1
DeAngelo Williams,2972,HB,8,PIT,98,343,3,49,14.3
Darren Sproles,2347,HB,15,PHI,94,438,6,108,24.7
Theo Riddick,7980,HB,10,DET,92,357,4,96,26.9
Giovani Bernard,7818,HB,10,CIN,91,337,1,17,5.0
Dwayne Washington,10870,HB,11,DET,90,265,1,28,10.6
Zach Zenner,9761,HB,11,DET,88,334,4,69,20.7
Kenneth Dixon,10768,HB,12,BLT,88,382,6,102,26.7
Charcandrick West,9047,HB,14,KC,88,293,3,67,22.9
DeAndre Washington,10777,HB,13,OAK,87,467,7,176,37.7
Justin Forsett,4547,HB,9,DEN,87,291,1,64,22.0
Jalen Richard,11395,HB,16,OAK,83,491,7,201,40.9
Cam Newton,6153,QB,15,CAR,80,307,4,84,27.4
Wendell Smallwood,10787,HB,12,PHI,77,312,3,56,17.9
Ty Montgomery,9527,HB,13,GB,77,457,7,211,46.2
Rex Burkhead,7971,HB,8,CIN,74,344,3,50,14.5
Shaun Draughn,6440,HB,12,SF,74,196,2,34,17.3
Duke Johnson Jr.,9510,HB,16,CLV,73,358,7,124,34.6
Eddie Lacy,7842,HB,5,GB,71,360,4,109,30.3
Alfred Morris,7165,HB,13,DAL,69,243,1,17,7.0
Chris Thompson,7936,HB,16,WAS,68,356,5,93,26.1
Dion Lewis,6301,HB,7,NE,64,283,1,15,5.3
James Starks,5716,HB,9,GB,62,151,0,0,0.0
Jeremy Langford,9539,HB,11,CHI,62,200,3,54,27.0
Kenneth Farrow,10988,HB,10,SD,60,192,0,0,0.0
Fozzy Whittaker,8547,HB,16,CAR,57,265,5,95,35.8
Peyton Barber,10927,HB,9,TB,55,223,1,44,19.7
Charles Sims,8704,HB,7,TB,51,149,1,23,15.4
Robert Turbin,7106,HB,15,IND,47,164,1,18,11.0
Tyrod Taylor,6332,QB,14,BUF,43,169,2,67,39.6
Denard Robinson,7917,HB,6,JAX,41,144,0,0,0.0
Ronnie Hillman,7069,HB,8,SD,40,134,2,34,25.4
James White,8765,HB,13,NE,39,166,1,16,9.6
DuJuan Harris,6595,HB,7,SF,38,138,3,53,38.4
Marcus Mariota,9435,QB,14,TEN,37,165,2,70,42.4
Adrian Peterson,3623,HB,3,MIN,37,72,0,0,0.0
Russell Wilson,7077,QB,14,SEA,37,52,2,32,61.5
Cameron Artis-Payne,9607,HB,3,CAR,36,144,0,0,0.0
Damien Williams,9205,HB,13,MIA,35,115,2,38,33.0
Mike Tolbert,4740,FB,14,CAR,35,114,0,0,0.0
Aaron Ripkowski,9639,FB,10,GB,34,150,1,15,10.0
Andre Ellington,7968,HB,9,ARZ,34,96,0,0,0.0
Shane Vereen,6208,HB,4,NYG,33,158,2,40,25.3
Colin Kaepernick,6188,QB,11,SF,33,131,1,17,13.0
Corey Grant,9827,HB,4,JAX,32,164,1,57,34.8
Ka'Deem Carey,8752,HB,11,CHI,32,126,2,40,31.7
Kenyan Drake,10707,HB,12,MIA,32,173,2,61,35.3
Alex Collins,10805,HB,9,SEA,31,125,2,43,34.4
Terron Ward,9778,HB,5,ATL,31,151,2,71,47.0
Dak Prescott,10769,QB,12,DAL,30,50,2,33,66.0
Orleans Darkwa,9173,HB,4,NYG,30,111,2,32,28.8
C.J. Prosise,10724,HB,6,SEA,30,172,1,72,41.9
Kapri Bibbs,8906,HB,7,DEN,29,129,1,24,18.6
Tavon Austin,7789,WR,15,LA,28,159,2,53,33.3
Kenjon Barner,7963,HB,9,PHI,27,129,2,36,27.9
Jonathan Williams,10790,HB,7,BUF,27,94,1,20,21.3
Carson Wentz,10636,QB,12,PHI,26,4,0,0,0.0
Alex Smith,2218,QB,14,KC,25,-2,0,0,0.0
Chris Johnson,4338,HB,4,ARZ,25,95,1,18,18.9
Kirk Cousins,7102,QB,12,WAS,25,14,1,19,135.7
Tyreek Hill,10799,WR,14,KC,24,267,6,220,82.4
