player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Darren McFadden,4318,HB,3,DAL,24,87,2,42,48.3
Jameis Winston,9434,QB,12,TB,24,-30,0,0,0.0
Aaron Rodgers,2241,QB,11,GB,24,-5,0,0,0.0
Jonathan Grimes,7585,HB,8,HST,23,105,0,0,0.0
Ryan Tannehill,7014,QB,10,MIA,23,43,1,17,39.5
Andy Dalton,6187,QB,11,CIN,23,14,0,0,0.0
Blaine Gabbert,6162,QB,5,SF,23,65,0,0,0.0
Andrew Luck,7007,QB,11,IND,23,29,1,33,113.8
Derek Carr,8671,QB,9,OAK,22,-27,0,0,0.0
Arian Foster,5398,HB,4,MIA,22,55,0,0,0.0
Blake Bortles,8638,QB,13,JAX,21,54,2,31,57.4
Benny Cunningham,8283,HB,9,LA,21,101,2,46,45.5
Akeem Hunt,9839,HB,6,HST,20,109,3,52,47.7
Drew Brees,802,QB,11,NO,20,5,0,0,0.0
Matt Ryan,4317,QB,11,ATL,19,0,0,0,
Danny Woodhead,4914,HB,2,SD,19,116,2,44,37.9
Mike Davis,9559,HB,5,SF,19,50,0,0,0.0
Byron Marshall,11076,HB,2,PHI,19,64,0,0,0.0
Andre Williams,8748,HB,1,SD,18,87,0,0,0.0
John Kuhn,2686,FB,12,NO,18,37,0,0,0.0
Ameer Abdullah,9487,HB,2,DET,18,101,1,24,23.8
Knile Davis,7878,HB,6,KC,18,28,0,0,0.0
Eli Manning,1722,QB,8,NYG,18,-20,0,0,0.0
Malcolm Brown,9902,HB,8,LA,18,39,0,0,0.0
Kerwynn Williams,8013,HB,3,ARZ,18,157,4,105,66.9
Bobby Rainey Jr.,7511,HB,5,NYG,17,63,0,0,0.0
Robert Griffin III,7008,QB,5,CLV,17,63,0,0,0.0
Jamize Olawale,7572,FB,9,OAK,17,47,1,17,36.2
Tom Brady,698,QB,8,NE,16,0,0,0,
Josh Ferguson,10907,HB,7,IND,15,20,0,0,0.0
Trevor Siemian,9683,QB,7,DEN,15,-8,0,0,0.0
Ryan Fitzpatrick,2467,QB,9,NYJ,14,11,0,0,0.0
Fitzgerald Toussaint,9244,HB,5,PIT,14,58,1,16,27.6
Ted Ginn Jr.,3625,WR,10,CAR,14,98,2,37,37.8
Brock Osweiler,7059,QB,7,HST,14,-12,0,0,0.0
Sam Bradford,5526,QB,9,MIN,13,-13,0,0,0.0
Joe Flacco,4332,QB,8,BLT,13,-6,0,0,0.0
Troymaine Pope,11473,HB,4,SEA,12,44,1,18,40.9
Ben Roethlisberger,1732,QB,6,PIT,12,-11,0,0,0.0
Reggie Bush,2947,HB,8,BUF,12,-3,0,0,0.0
Jamaal Charles,4387,HB,3,KC,12,40,1,17,42.5
Julian Edelman,5156,WR,7,NE,12,57,0,0,0.0
Daniel Lasco,10871,HB,3,NO,11,32,0,0,0.0
Case Keenum,7323,QB,6,LA,11,1,0,0,0.0
Brandon Wilds,11057,HB,3,NYJ,10,27,0,0,0.0
Carson Palmer,1317,QB,6,ARZ,10,-5,0,0,0.0
Antone Smith,5440,HB,3,TB,10,47,0,0,0.0
Lucky Whitehead,9853,WR,9,DAL,10,82,3,58,70.7
Randall Cobb,6216,WR,4,GB,10,33,0,0,0.0
Matthew Stafford,4924,QB,7,DET,10,-6,0,0,0.0
Golden Tate,5585,WR,8,DET,10,4,0,0,0.0
Don Jackson,11150,HB,3,GB,10,32,0,0,0.0
Jacoby Brissett,10725,QB,2,NE,9,43,1,27,62.8
Lance Dunbar,7332,HB,5,DAL,9,31,0,0,0.0
Terrell Watson,9889,HB,1,PHI,9,28,0,0,0.0
Jordan Todman,6335,HB,3,IND,9,59,1,19,32.2
Javorius Allen,9558,HB,3,BLT,9,34,0,0,0.0
Mack Brown,10115,HB,1,WAS,8,82,1,61,74.4
Trevone Boykin,11279,QB,4,SEA,8,1,0,0,0.0
Isaiah Pead,7053,HB,2,MIA,8,22,0,0,0.0
Jerome Felton,4460,FB,8,BUF,8,13,0,0,0.0
Juwan Thompson,8955,HB,4,DEN,8,26,0,0,0.0
Khiry Robinson,8514,HB,1,NYJ,8,22,0,0,0.0
Jimmy Garoppolo,8697,QB,4,NE,8,-7,0,0,0.0
Terrelle Pryor Sr.,6944,WR,4,CLV,7,19,1,15,78.9
George Atkinson,9187,HB,1,CLV,7,34,0,0,0.0
Philip Rivers,1725,QB,5,SD,7,-6,0,0,0.0
Zach Line,8420,FB,4,MIN,7,15,0,0,0.0
Cordarrelle Patterson,7810,WR,6,MIN,7,43,1,22,51.2
C.J. Spiller,5534,HB,4,NYJ,6,18,0,0,0.0
Cody Kessler,10727,QB,5,CLV,6,3,0,0,0.0
Landry Jones,7897,QB,4,PIT,6,-4,0,0,0.0
Cedric Peerman,5109,HB,1,CIN,6,15,0,0,0.0
D.J. Foster,11214,HB,1,NE,6,17,0,0,0.0
Marqise Lee,8674,WR,5,JAX,6,35,0,0,0.0
Johnny Holton,11354,WR,5,OAK,6,43,1,29,67.4
E.J. Manuel,7797,QB,3,BUF,6,14,0,0,0.0
Matt Barkley,7880,QB,3,CHI,6,-3,0,0,0.0
Brian Hoyer,5277,QB,4,CHI,6,-5,0,0,0.0
Jarvis Landry,8698,WR,4,MIA,5,17,0,0,0.0
Adam Humphries,10075,WR,4,TB,5,18,0,0,0.0
Ryan Mallett,6226,QB,2,BLT,5,-6,0,0,0.0
Kyle Juszczyk,7912,FB,4,BLT,5,22,0,0,0.0
Kevin Hogan,10796,QB,1,CLV,5,69,4,62,89.9
Mike Wallace,5007,WR,5,BLT,5,31,0,0,0.0
Brandin Cooks,8655,WR,4,NO,5,28,0,0,0.0
Jared Goff,10635,QB,4,LA,5,5,0,0,0.0
De'Anthony Thomas,8759,WR,3,KC,4,29,1,23,79.3
Tom Savage,8770,QB,2,HST,4,-2,0,0,0.0
Mike James,7970,HB,3,TB,4,19,0,0,0.0
Paxton Lynch,10660,QB,2,DEN,4,-1,0,0,0.0
Tyler Boyd,10689,WR,3,CIN,4,58,2,54,93.1
Jay Prosch,8845,FB,4,HST,4,9,0,0,0.0
Andy Janovich,10810,FB,4,DEN,4,33,1,28,84.8
Shaun Hill,1255,QB,2,MIN,4,-4,0,0,0.0
Scott Tolzien,6749,QB,2,IND,4,-2,0,0,0.0
Josh Bellamy,7472,WR,3,CHI,4,37,1,22,59.5
Tyler Lockett,9502,WR,4,SEA,4,99,1,75,75.8
Sammie Coates,9520,WR,3,PIT,4,14,1,15,107.1
Stepfan Taylor,7922,HB,2,ARZ,4,12,0,0,0.0
J.J. Nelson,9592,WR,3,ARZ,4,83,1,56,67.5
Josh Huff,8721,WR,3,TB,4,15,0,0,0.0
Travaris Cadet,7457,HB,4,NO,4,19,1,16,84.2
Nick Foles,7089,QB,2,KC,4,-4,0,0,0.0
Taylor Gabriel,9002,WR,2,ATL,3,51,2,42,82.4
Terrence Magee,9864,HB,1,SEA,3,12,0,0,0.0
Michael Campanaro,8852,WR,3,BLT,3,72,2,62,86.1
Brandon Tate,5006,WR,3,BUF,3,48,1,30,62.5
Matt McGloin,8374,QB,1,OAK,3,-3,0,0,0.0
Chris Moore,10741,WR,3,BLT,3,19,0,0,0.0
Braxton Miller,10719,WR,3,HST,3,0,0,0,
Drew Stanton,3659,QB,2,ARZ,3,-3,0,0,0.0
Sterling Shepard,10674,WR,3,NYG,3,31,1,22,71.0
Joique Bell,5797,HB,1,DET,3,6,0,0,0.0
Stevan Ridley,6225,HB,1,ATL,3,7,0,0,0.0
Antonio Brown,5718,WR,3,PIT,3,9,0,0,0.0
Tommylee Lewis,11231,WR,3,NO,3,11,0,0,0.0
Robby Anderson,11254,WR,2,NYJ,3,42,1,30,71.4
Mark Sanchez,4928,QB,2,DAL,3,-3,0,0,0.0
Nelson Agholor,9453,WR,3,PHI,3,10,0,0,0.0
Dexter McCluster,5561,HB,3,SD,3,2,0,0,0.0
Stefon Diggs,9579,WR,3,MIN,3,10,0,0,0.0
Paul Lasike,9802,FB,3,CHI,3,8,0,0,0.0
Brett Hundley,9580,QB,2,GB,3,-2,0,0,0.0
Chris Hogan,6468,WR,2,NE,3,9,0,0,0.0
Marcel Reece,4702,FB,2,SEA,2,0,0,0,
Daryl Richardson,7233,HB,2,JAX,2,7,0,0,0.0
Bronson Hill,10292,HB,1,JAX,2,11,0,0,0.0
Matt Schaub,1811,QB,1,ATL,2,-2,0,0,0.0
Bryce Treggs,11278,WR,2,PHI,2,7,0,0,0.0
Matt Cassel,2447,QB,2,TEN,2,-2,0,0,0.0
Brandon Burks,11306,HB,1,NYJ,2,-4,0,0,0.0
Jay Cutler,2956,QB,2,CHI,2,3,0,0,0.0
Adam Thielen,8288,WR,2,MIN,2,15,0,0,0.0
Josh McCown,1085,QB,1,CLV,2,0,0,0,
Antonio Andrews,9014,HB,1,TEN,2,15,0,0,0.0
Keith Smith,9302,FB,2,DAL,2,5,0,0,0.0
Will Tukuafu,7764,FB,2,SEA,2,2,0,0,0.0
De'Marcus Ayers,10863,WR,1,PIT,2,-12,0,0,0.0
Joe Banyard,7361,HB,1,JAX,2,7,0,0,0.0
Derek Watt,10832,FB,2,SD,2,4,0,0,0.0
Corey Coleman,10649,WR,2,CLV,2,10,0,0,0.0
Phillip Dorsett,9462,WR,2,IND,2,10,0,0,0.0
Kellen Clemens,2994,QB,1,SD,2,-1,0,0,0.0
Andrew Hawkins,6125,WR,2,CLV,2,0,0,0,
Albert Wilson,8943,WR,2,KC,2,50,1,55,110.0
Travis Benjamin,7100,WR,2,SD,2,-3,0,0,0.0
Sam Koch,3148,P,2,BLT,2,-23,0,0,0.0
Jon Ryan,3493,P,2,SEA,2,33,1,33,100.0
Bryce Petty,9536,QB,2,NYJ,2,4,0,0,0.0
Jamison Crowder,9538,WR,2,WAS,2,-2,0,0,0.0
Marquette King,7410,P,2,OAK,2,27,1,27,100.0
James Wright,8873,WR,1,CIN,2,-6,0,0,0.0
Jeff Janis,8870,WR,2,GB,2,38,2,38,100.0
Martellus Bennett,4375,TE,2,NE,2,10,0,0,0.0
Jalston Fowler,9541,FB,1,TEN,1,3,0,0,0.0
Travis Kelce,7844,TE,1,KC,1,-5,0,0,0.0
Robert Woods,7822,WR,1,BUF,1,6,0,0,0.0
Brandon Bolden,7469,HB,1,NE,1,4,0,0,0.0
Colton Schmidt,8104,P,1,BUF,1,16,1,16,100.0
Russell Shepard,8254,WR,1,TB,1,9,0,0,0.0
Brandon McManus,8437,K,1,DEN,1,6,0,0,0.0
Valentino Blake,7362,CB,1,TEN,1,-2,0,0,0.0
Eric Ebron,8645,TE,1,DET,1,1,0,0,0.0
Odell Beckham Jr.,8647,WR,1,NYG,1,9,0,0,0.0
Paul Richardson Jr.,8680,WR,1,SEA,1,5,0,0,0.0
Drew Butler,7302,P,1,ARZ,1,0,0,0,
Donte Moncrief,8725,WR,1,IND,1,-1,0,0,0.0
John Brown,8726,WR,1,ARZ,1,10,0,0,0.0
Marvin Jones Jr.,7158,WR,1,DET,1,3,0,0,0.0
Rhett Ellison,7128,TE,1,MIN,1,1,0,0,0.0
Mohamed Sanu,7084,WR,1,ATL,1,5,0,0,0.0
Lorenzo Taliaferro,8773,HB,1,BLT,1,0,0,0,
David Fales,8818,QB,1,CHI,1,0,0,0,
Quincy Enunwa,8843,WR,1,NYJ,1,12,0,0,0.0
Coby Fleener,7038,TE,1,NO,1,2,0,0,0.0
Corey Brown,8986,WR,1,CAR,1,-3,0,0,0.0
Chris Jones,6798,P,1,DAL,1,30,1,30,100.0
Taiwan Jones,6277,HB,1,OAK,1,-8,0,0,0.0
Chris Prosinski,6273,S,1,CHI,1,2,0,0,0.0
Amari Cooper,9437,WR,1,OAK,1,0,0,0,
Kevin White,9440,WR,1,CHI,1,9,0,0,0.0
Breshad Perriman,9459,WR,1,BLT,1,2,0,0,0.0
Marc Mariani,5745,WR,1,TEN,1,15,1,15,100.0
Sean Mannion,9522,QB,1,LA,1,-2,0,0,0.0
Emmanuel Sanders,5606,WR,1,DEN,1,4,0,0,0.0
Brandon LaFell,5602,WR,1,CIN,1,-2,0,0,0.0
Malcolm Johnson,9628,FB,1,CLV,1,2,0,0,0.0
Jordan Norwood,5358,WR,1,DEN,1,0,0,0,
Quan Bray,9700,WR,1,IND,1,7,0,0,0.0
Pat McAfee,5146,P,1,IND,1,0,0,0,
Shane Wynn,9780,WR,1,JAX,1,-2,0,0,0.0
Raheem Mostert,9783,HB,1,SF,1,6,0,0,0.0
Matt Darr,9812,P,1,MIA,1,0,0,0,
George Farmer,9842,HB,1,SEA,1,1,0,0,0.0
Eli Rogers,9878,WR,1,PIT,1,6,0,0,0.0
Percy Harvin,4945,WR,1,BUF,1,11,0,0,0.0
Bradley Marquez,9914,WR,1,LA,1,2,0,0,0.0
Jeremy Maclin,4942,WR,1,KC,1,-1,0,0,0.0
Jordan Berry,10236,P,1,PIT,1,-3,0,0,0.0
Darrius Heyward-Bey,4930,WR,1,PIT,1,60,1,60,100.0
Will Fuller V,10655,WR,1,HST,1,-3,0,0,0.0
Matthew Slater,4467,WR,1,NE,1,5,0,0,0.0
Tyler Ervin,10753,HB,1,HST,1,3,0,0,0.0
Chad Henne,4371,QB,1,JAX,1,-2,0,0,0.0
Cardale Jones,10773,QB,1,BUF,1,-1,0,0,0.0
Tajae Sharpe,10774,WR,1,TEN,1,1,0,0,0.0
Matt Moore,4018,QB,1,MIA,1,-1,0,0,0.0
Delanie Walker,3120,TE,1,TEN,1,3,0,0,0.0
Charlie Whitehurst,3026,QB,1,CLV,1,-1,0,0,0.0
Drew Kaser,10813,P,1,SD,1,0,0,0,
Jakeem Grant,10820,WR,1,MIA,1,1,0,0,0.0
Lachlan Edwards,10869,P,1,NYJ,1,-29,0,0,0.0
Donnie Jones,1939,P,1,PHI,1,0,0,0,
Bralon Addison,11013,WR,1,CHI,1,4,0,0,0.0
J.D. McKissic,11047,WR,1,SEA,1,2,0,0,0.0
Joe Kerridge,11408,FB,1,GB,1,0,0,0,
