player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
Danny Johnson,49379,CB,14,WAS,67.0,12,66.3,12,283,44,23.6,0,0,0,,0,0,0,,0,0,0
Darius Phillips,49507,CB,15,CIN,54.9,2,,0,0,0,,0,0,0,53.6,2,24,16,12.0,0,1,0
Holton Hill,50414,CB,16,MIN,61.8,3,61.6,3,85,30,28.3,0,0,0,,0,0,0,,0,0,0
Josh Jackson,50417,CB,16,GB,36.8,2,,0,0,0,,0,0,0,31.3,2,0,0,0.0,0,1,0
Brandon Facyson,50564,CB,15,LAC,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Leighton Vander Esch,50950,LB,16,DAL,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Derwin James,51368,S,16,LAC,59.9,1,59.9,1,20,20,20.0,0,0,0,,0,0,0,,0,0,0
Brandon Zylstra,66438,WR,16,MIN,61.9,5,59.9,1,15,15,15.0,0,0,0,62.7,4,26,9,6.5,0,4,0
Trenton Cannon,66446,HB,16,NYJ,58.9,1,59.0,1,20,20,20.0,0,0,0,60.0,0,0,0,,0,1,0
J.J. Jones,66921,WR,4,NYJ,48.5,8,60.9,3,69,33,23.0,0,0,0,37.6,5,24,11,4.8,0,2,0
