player,player_id,position,player_game_count,team_name,grades_punter,attempts,yards,average_yards_per_attempt,average_net_yards,long,inside_twenties,blocks,percent_returned,returns,return_yards,average_yards_per_return,touchbacks,out_of_bounds,downeds,fair_catches,attempts_with_hangtime,average_hangtime
Ben Roethlisberger,1732,QB,1,PIT,60.0,1,27,27.0,9.0,27,0,0,0.0,0,18,18.0,0,0,0,0,1,2.48
Andy Lee,1906,P,16,ARZ,75.6,94,4568,48.6,42.64,64,40,0,46.8,44,420,9.5,7,7,12,24,94,4.37
Donnie Jones,1939,,12,LAC,50.2,47,1990,42.34,38.02,59,18,0,44.7,21,143,6.8,3,6,4,13,47,4.19
Dustin Colquitt,2316,P,15,KC,69.1,45,2021,44.91,40.53,67,28,0,37.8,17,97,5.7,5,1,10,12,45,4.42
Sam Koch,3148,P,16,BLT,75.0,60,2842,47.37,39.79,65,33,1,51.7,31,315,10.2,5,7,7,10,60,4.27
Brett Kern,4580,P,16,TEN,68.6,74,3483,47.07,41.69,62,42,1,44.6,33,296,9.0,3,15,7,16,74,4.2
Kevin Huber,5066,P,16,CIN,53.8,71,3119,43.93,39.43,69,33,1,42.3,30,220,7.3,3,2,12,24,71,4.2
Thomas Morstead,5088,P,14,NO,79.0,43,1996,46.42,43.16,60,20,0,27.9,12,60,5.0,4,9,3,15,43,4.5
Britton Colquitt,5192,P,16,CLV,64.4,83,3767,45.39,38.24,79,38,2,44.6,37,397,10.7,6,7,11,22,83,4.33
Matt Bosher,6344,P,16,ATL,68.8,60,2729,45.48,40.08,57,27,2,45.0,27,184,6.8,3,3,6,21,60,4.46
Chris Jones,6798,P,16,DAL,68.1,60,2670,44.5,39.6,63,21,0,50.0,30,254,8.5,2,3,9,16,60,4.46
Bryan Anger,7072,P,16,TB,61.4,57,2567,45.04,38.9,64,19,1,47.4,27,231,8.6,4,3,7,16,57,4.41
Johnny Hekker,7252,P,16,LA,78.5,43,1992,46.33,42.98,68,24,0,27.9,12,104,8.7,2,12,10,7,43,4.15
Marquette King,7410,P,4,DEN,61.3,20,881,44.05,39.7,66,9,0,40.0,8,67,8.4,1,5,4,2,20,3.96
Sam Martin,7947,P,16,DET,63.3,74,3310,44.73,39.16,61,36,0,39.2,29,332,11.4,4,3,13,25,74,4.26
Caleb Sturgis,7948,K,1,LAC,60.0,1,24,24.0,24.0,24,1,0,0.0,0,0,,0,0,1,0,1,2.85
Colton Schmidt,8104,P,3,BUF,38.0,16,676,42.25,33.75,55,6,0,37.5,6,96,16.0,2,2,2,4,16,3.7
Ryan Allen,8242,P,15,NE,60.9,64,2885,45.08,39.53,66,28,0,39.1,25,255,10.2,5,11,15,8,64,4.12
Tress Way,8358,P,16,WAS,69.2,79,3581,45.33,41.49,63,43,0,39.2,31,303,9.8,0,3,19,26,79,4.37
Pat O'Donnell,8826,P,16,CHI,68.5,62,2791,45.02,39.7,65,37,1,32.3,20,150,7.5,7,2,13,20,62,4.41
Michael Palardy,9277,P,16,CAR,75.3,61,2759,45.23,40.95,59,30,0,36.1,22,181,8.2,4,4,7,24,61,4.4
Bradley Pinion,9598,P,16,SF,64.7,68,2973,43.72,39.1,64,27,1,36.8,25,195,7.8,4,7,4,28,68,4.47
Matt Darr,9812,,5,BUF,43.8,20,809,40.45,36.25,55,6,0,40.0,8,64,8.0,1,1,5,5,20,3.96
Matt Wile,9972,P,16,MIN,64.8,72,3255,45.21,41.47,70,31,1,43.1,31,188,6.1,2,9,11,19,72,4.43
Jordan Berry,10236,P,16,PIT,64.7,63,2753,43.7,38.83,69,34,0,25.4,16,227,14.2,4,6,12,25,63,4.41
Drew Kaser,10813,P,4,GB,60.5,13,629,48.38,35.36,66,8,1,53.8,7,114,16.3,1,1,2,2,13,4.23
Riley Dixon,10862,P,16,NYG,56.0,71,3226,45.44,41.82,60,28,0,38.0,27,177,6.6,4,9,15,16,71,4.21
Lachlan Edwards,10869,P,16,NYJ,52.5,82,3763,45.89,40.79,67,30,0,51.2,42,318,7.6,5,10,10,15,82,4.15
Rigoberto Sanchez,12130,P,16,IND,62.0,57,2629,46.12,42.74,63,30,0,36.8,21,93,4.4,5,3,10,18,57,4.38
Matt Haack,12212,P,16,MIA,68.2,87,3884,44.64,38.41,65,44,1,42.5,37,384,10.4,6,9,10,25,87,4.38
Cameron Johnston,12255,P,16,PHI,50.3,61,2937,48.15,42.67,68,32,0,50.8,31,194,6.3,7,2,5,16,61,4.15
Johnny Townsend,22261,P,16,OAK,47.6,70,3022,43.17,38.3,64,24,0,40.0,28,241,8.6,5,5,10,22,70,4.29
Corey Bojorquez,27626,P,8,BUF,53.0,45,2028,45.07,39.37,60,27,1,44.4,20,137,6.9,4,4,8,9,45,4.26
Logan Cooke,29214,P,16,JAX,58.1,86,3872,45.02,41.26,72,46,0,43.0,37,184,5.0,7,13,11,18,86,4.34
Michael Dickson,35381,P,16,SEA,74.1,78,3759,48.19,42.47,69,39,1,46.2,36,304,8.4,5,14,13,10,78,4.2
Colby Wadman,38062,P,12,DEN,64.3,65,2905,44.69,37.91,65,30,0,41.5,27,301,11.1,7,8,5,18,65,4.31
J.K. Scott,38809,P,15,GB,64.2,71,3176,44.73,38.75,67,30,1,28.2,20,206,10.3,9,4,11,27,71,4.52
Trevor Daniel,38843,P,16,HST,57.9,74,3237,43.74,39.16,61,42,0,43.2,32,239,7.5,5,6,8,23,74,4.23
