year,player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
2014,Tony Carter,5191,CB,5,DEN,81,8,0,0,0,0,,73,5,0,0,1,1.00E+03,1.00E+03
2014,Shelby Harris,8869,ED,1,OAK,8,6,0,1,0,0,1.00E+03,2,0,0,0,0,,1.00E+03
2014,Demarcus Dobbs,6655,DI,9,SEA,105,43,9,2,0,7,1.00E+03,62,1,0,0,0,1.00E+03,1.00E+03
2014,Tharold Simon,7920,CB,10,SEA,280,97,3,0,0,1,1.00E+03,183,8,1,0,2,1.00E+03,1.00E+03
2014,Montori Hughes,7921,DI,12,IND,191,76,9,2,0,6,1.00E+03,115,1,0,0,1,1.00E+03,1.00E+03
2014,Lavar Edwards,7924,DI,4,DAL,46,21,1,0,0,1,1.00E+03,25,0,0,0,0,,1.00E+03
2014,Steve Williams,7927,CB,9,SD,123,49,2,0,0,0,1.00E+03,74,6,0,0,1,1.00E+03,1.00E+03
2014,Brandon McGee,7931,CB,1,SL,24,9,2,0,0,0,1.00E+03,15,1,1,0,0,1.00E+03,1.00E+03
2014,Jeff Tarpinian,6478,LB,4,HST,39,12,1,1,0,0,1.00E+03,27,0,0,0,0,,1.00E+03
2014,Spencer Paysinger,6419,LB,9,NYG,75,14,0,0,0,0,,61,5,0,0,1,1.00E+03,1.00E+03
2014,Stansly Maponga,7935,ED,9,ATL,83,27,0,0,0,0,,56,0,1,0,1,1.00E+03,1.00E+03
2014,Frank Kearse,6383,DI,15,WAS,245,80,7,2,0,6,1.00E+03,165,3,0,0,6,1.00E+03,1.00E+03
2014,Cliff Matthews,6382,ED,6,ATL,111,43,2,4,0,0,1.00E+03,68,0,0,0,0,,1.00E+03
2014,Stacy McGee,7987,DI,11,OAK,112,66,4,1,0,3,1.00E+03,46,0,0,0,0,,1.00E+03
2014,Anthony Spencer,3642,ED,13,DAL,351,110,11,5,0,9,1.00E+03,241,3,1,0,2,1.00E+03,1.00E+03
2014,Alan Branch,3649,DI,8,NE,152,82,6,2,0,4,1.00E+03,70,0,0,0,0,,1.00E+03
2014,Josh Thomas,6295,CB,3,DET,33,10,0,0,0,0,,23,2,0,0,0,1.00E+03,1.00E+03
2014,Chris Prosinski,6273,S,4,PHI,29,8,1,1,0,1,1.00E+03,21,2,0,0,0,1.00E+03,1.00E+03
2014,Jalil Brown,6270,CB,2,IND,6,3,0,0,0,0,,3,1,0,0,0,1.00E+03,1.00E+03
2014,Ty Powell,8014,LB,10,BUF,43,11,1,2,0,0,1.00E+03,32,2,1,0,2,1.00E+03,1.00E+03
2014,Beau Allen,8858,DI,16,PHI,189,83,10,2,0,5,1.00E+03,106,0,0,0,1,,1.00E+03
2014,Zachary Orr,9326,LB,2,BLT,5,0,0,0,0,0,,5,1,0,0,0,1.00E+03,1.00E+03
2014,Brandon Watts,8857,LB,1,MIN,5,2,1,0,0,0,1.00E+03,3,0,0,0,0,,1.00E+03
2014,Kenrick Ellis,6246,DI,14,NYJ,147,77,5,1,0,5,1.00E+03,70,0,1,0,1,1.00E+03,1.00E+03
