year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2014,Sean Baker,7442,S,1,ATL,1,1,0,0,0,0,0,39.6,0,1,
2014,Danny Trevathan,7177,LB,2,DEN,2,1,0,0,0,0,0,39.6,0,2,
2014,Emmanuel Acho,7189,LB,2,PHI,4,1,0,0,0,0,0,39.6,0,4,
2014,Brian Dixon,9146,CB,2,NO,5,1,0,0,0,0,0,39.6,0,5,
2014,Adam Jones,2223,CB,9,CIN,14,2,0,0,0,0,1,0,0,7,
2014,Henoc Muamba,9098,LB,1,IND,2,1,0,0,0,0,0,39.6,0,2,
2014,Kamerion Wimbley,2958,ED,6,TEN,9,1,0,0,0,0,0,39.6,0,9,
2014,Pierre Warren,8996,S,5,NO,11,1,0,0,0,0,0,39.6,0,11,
2014,Brandon Dixon,8830,CB,3,TB,3,1,0,0,0,0,0,39.6,0,3,
2014,Rob Ninkovich,3080,ED,9,NE,8,1,0,0,0,0,0,39.6,0,8,
2014,Vinnie Sunseri,8802,S,1,NO,1,1,0,0,0,0,0,39.6,0,1,
2014,Brent Grimes,3589,CB,9,MIA,18,2,0,0,0,0,0,39.6,0,9,
2014,Usama Young,3682,S,2,OAK,8,2,0,0,0,0,0,39.6,0,4,
2014,Pierre Desir,8762,CB,2,CLV,4,1,0,0,0,0,0,39.6,0,4,
2014,Curtis Lofton,4351,LB,4,NO,4,1,0,0,0,0,0,39.6,0,4,
2014,Philip Wheeler,4407,LB,8,MIA,12,1,0,0,0,0,0,39.6,0,12,
2014,Tyvon Branch,4414,S,3,OAK,9,1,0,0,0,0,0,39.6,0,9,
2014,Brandon Carr,4454,CB,8,DAL,14,2,0,0,0,0,0,39.6,0,7,
2014,Wesley Woodyard,4583,LB,10,TEN,17,2,0,0,0,0,0,39.6,0,8.5,
2014,Terrence Brooks,8714,S,6,BLT,14,2,0,0,0,0,0,39.6,0,7,
2014,Connor Barwin,4969,ED,11,PHI,12,1,0,0,0,0,0,39.6,0,12,
2014,Ryan Shazier,8650,LB,3,PIT,4,1,0,0,0,0,0,39.6,0,4,
2014,Jamarca Sanford,5155,S,2,NO,6,1,0,0,0,0,0,39.6,0,6,
2014,C.J. Spillman,5370,S,2,DAL,4,1,0,0,0,0,0,39.6,0,4,
2014,Rashaan Melvin,8334,CB,2,BLT,5,1,0,0,0,0,0,39.6,0,5,
2014,Larry Asante,5683,S,4,OAK,5,1,0,0,0,0,0,39.6,0,5,
2014,Kemal Ishmael,8026,S,14,ATL,33,1,0,0,0,0,0,39.6,0,33,
2014,Aldon Smith,6159,ED,3,SF,3,1,0,0,0,0,0,39.6,0,3,
2014,Bruce Carter,6192,LB,7,DAL,10,2,0,0,0,0,0,39.6,0,5,
2014,Jelani Jenkins,7886,LB,9,MIA,20,2,0,0,0,0,0,39.6,0,10,
