player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
Alan Cross,10931,TE,13,TB,7,6,85.7,38,1,66.1,52.8,74.6,68.8,77.1,6.3,13,2.2,10,3,0,0,0,0,128.9,0,0
Ka'Deem Carey,8752,HB,11,CHI,7,5,71.4,55,0,59.4,44.6,29.2,80.9,86.9,11.0,59,11.8,16,4,2,0,0,2,94.3,0,0
Luke Stocker,6256,TE,11,TB,7,5,71.4,23,0,55.1,54.8,73.4,68.0,44.3,4.6,21,4.2,11,2,0,0,0,0,75.3,2,0
Geoff Swaim,9679,TE,9,DAL,7,6,85.7,69,0,66.7,65.0,74.6,68.8,55.7,11.5,49,8.2,28,3,0,0,0,0,107.7,2,0
Logan Paulsen,5795,TE,16,CHI,7,3,42.9,15,0,48.6,30.6,28.7,67.0,64.9,5.0,6,2.0,7,1,2,1,0,0,10.7,6,0
LeGarrette Blount,5863,HB,16,NE,7,7,100.0,38,0,58.7,54.5,75.6,77.1,57.2,5.4,43,6.1,16,1,0,0,0,4,89.3,2,0
Bradley Marquez,9914,WR,11,LA,7,3,42.9,37,0,49.4,54.9,42.1,68.3,66.2,12.3,22,7.3,13,3,1,0,0,1,59.8,0,0
Leonte Carroo,10720,WR,7,MIA,6,3,50.0,29,1,54.2,55.4,70.5,65.8,,9.7,14,4.7,15,2,0,1,0,0,63.9,1,1
Greg Salas,6264,WR,2,BUF,6,4,66.7,89,1,59.1,59.3,72.1,67.0,,22.3,33,8.3,71,3,0,0,0,0,149.3,0,0
Peyton Barber,10927,HB,9,TB,6,5,83.3,28,0,59.4,43.9,46.3,84.0,47.2,5.6,15,3.0,11,1,1,0,0,0,86.1,1,0
Gavin Escobar,7828,TE,13,DAL,6,4,66.7,30,1,51.6,52.5,72.1,68.7,77.8,7.5,9,2.3,14,2,0,1,0,0,78.5,2,0
Eddie Lacy,7842,HB,5,GB,6,4,66.7,28,0,74.7,55.1,72.1,85.5,79.6,7.0,42,10.5,17,1,0,0,0,2,77.1,0,0
Anthony Sherman,6288,FB,15,KC,6,4,66.7,11,0,61.8,41.4,41.6,67.0,79.7,2.8,9,2.3,6,0,1,0,0,0,70.1,0,0
Danny Woodhead,4914,HB,2,SD,6,6,100.0,35,1,56.3,63.0,75.6,77.9,59.2,5.8,35,5.8,12,2,0,0,0,0,130.6,0,0
Ben Braunecker,11335,TE,9,CHI,6,4,66.7,41,0,59.5,56.7,72.1,67.0,60.2,10.3,5,1.3,14,2,0,1,0,0,46.5,0,0
Andy Janovich,10810,FB,10,DEN,6,5,83.3,44,0,67.4,63.5,73.4,71.6,83.9,8.8,32,6.4,13,4,0,0,0,0,97.2,0,0
Nick Williams,8005,WR,2,ATL,6,5,83.3,59,0,93.6,92.2,73.4,68.0,,11.8,40,8.0,19,5,0,0,0,2,107.6,0,0
Nick Boyle,9604,TE,6,BLT,6,6,100.0,44,0,70.8,63.1,74.6,70.1,67.9,7.3,23,3.8,20,1,0,0,0,0,97.2,1,0
Devin Street,8781,WR,4,IND,6,1,16.7,20,0,46.7,47.9,28.8,61.2,,20.0,2,2.0,20,1,1,0,0,0,41.0,1,0
Brenton Bersin,7516,WR,6,CAR,6,2,33.3,17,0,63.5,58.2,68.3,64.0,,8.5,2,1.0,10,2,0,0,0,0,42.4,0,0
Lee Smith,6311,TE,4,OAK,6,6,100.0,29,0,63.0,55.9,74.6,68.8,76.8,4.8,30,5.0,12,0,0,0,0,0,86.8,3,0
Trevor Davis,10797,WR,9,GB,6,3,50.0,24,1,55.5,55.2,28.0,23.9,,8.0,9,3.0,9,2,2,0,0,0,100.0,0,0
Josh Doctson,10656,WR,2,WAS,6,2,33.3,66,0,57.7,57.8,68.3,64.0,,33.0,14,7.0,57,1,0,0,0,0,75.7,0,0
Alfred Morris,7165,HB,13,DAL,5,3,60.0,11,0,51.5,56.6,70.5,85.6,34.4,3.7,9,3.0,6,0,0,1,0,2,25.0,0,0
Phillip Supernaw,7324,TE,15,TEN,5,4,80.0,62,0,57.2,56.0,72.1,67.0,83.7,15.5,49,12.3,30,3,1,0,0,2,118.3,1,0
Denard Robinson,7917,HB,6,JAX,5,3,60.0,22,0,56.2,44.4,36.2,82.0,35.9,7.3,31,10.3,11,1,1,0,0,0,70.4,0,0
James Develin,6142,FB,15,NE,5,3,60.0,18,0,72.9,51.8,70.5,70.8,70.0,6.0,8,2.7,13,2,0,0,0,0,67.1,0,0
Justin Perillo,9248,TE,8,GB,5,4,80.0,35,0,54.4,52.7,72.1,67.0,76.8,8.8,21,5.3,13,1,0,0,0,1,95.8,0,0
Ameer Abdullah,9487,HB,2,DET,5,5,100.0,57,1,78.9,89.2,73.4,77.6,85.5,11.4,55,11.0,18,4,0,0,0,2,153.8,0,0
Marcel Reece,4702,FB,4,SEA,5,5,100.0,73,0,72.2,75.8,74.6,70.6,78.6,14.6,31,6.2,31,2,0,0,0,1,118.8,0,0
Mike Davis,9559,HB,5,SF,5,3,60.0,25,0,41.6,29.7,28.1,27.1,83.3,8.3,17,5.7,10,1,2,0,0,1,72.9,0,0
Darren McFadden,4318,HB,3,DAL,5,3,60.0,17,0,59.1,36.6,28.0,78.9,77.6,5.7,23,7.7,11,1,2,0,0,2,66.3,0,0
