year,player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
2016,Quinton Dunbar,10073,CB,1,WAS,1,1,31,1,31
2016,Blake Bortles,8638,QB,1,JAX,1,1,20,1,20
2016,Russell Wilson,7077,QB,2,SEA,1,1,15,2,7.5
2016,Bralon Addison,11013,WR,2,CHI,1,1,11,2,5.5
2016,Nick Williams,8005,WR,2,ATL,6,5,59,12,4.92
2016,Chase Reynolds,6892,HB,1,LA,1,1,4,1,4
2016,Wendall Williams,11174,WR,2,HST,7,4,75,19,3.95
2016,Keenan Allen,7857,WR,1,SD,7,6,63,16,3.94
2016,Ifeanyi Momah,8557,TE,4,ARZ,3,2,50,13,3.85
2016,Taiwan Jones,6277,HB,6,OAK,4,4,43,13,3.31
2016,Greg Salas,6264,WR,2,BUF,6,4,89,27,3.3
2016,Jace Amaro,8684,TE,2,TEN,4,3,59,18,3.28
2016,Rob Gronkowski,5567,TE,8,NE,36,25,540,169,3.2
2016,Marcel Reece,4702,FB,4,SEA,5,5,73,23,3.17
2016,Erik Swoope,9303,TE,16,IND,21,15,297,95,3.13
2016,Julio Jones,6158,WR,14,ATL,125,83,1409,452,3.12
2016,Ladarius Green,7110,TE,6,PIT,32,18,304,101,3.01
2016,Jake Fisher,9486,T,4,CIN,1,1,12,4,3
2016,Marcus Murphy,9663,HB,1,NO,1,1,3,1,3
2016,A.J. Green,6156,WR,10,CIN,95,66,964,337,2.86
2016,Derek Watt,10832,FB,11,SD,4,4,83,29,2.86
2016,Tanner McEvoy,11288,WR,11,SEA,11,9,140,51,2.75
2016,Josh Doctson,10656,WR,2,WAS,6,2,66,24,2.75
2016,J.D. McKissic,11047,WR,1,SEA,2,2,16,6,2.67
2016,Damiere Byrd,9964,WR,1,CAR,1,1,16,6,2.67
2016,Jeremy Ross,6476,WR,2,ARZ,4,4,37,14,2.64
2016,Nick Boyle,9604,TE,6,BLT,6,6,44,17,2.59
2016,T.J. Jones,8824,WR,3,DET,13,5,93,36,2.58
2016,Geoff Swaim,9679,TE,9,DAL,7,6,69,27,2.56
2016,Dominique Jones,6988,TE,8,MIA,10,7,61,24,2.54
2016,Marquess Wilson,8019,WR,3,CHI,16,9,160,63,2.54
2016,C.J. Prosise,10724,HB,6,SEA,18,17,208,82,2.54
2016,Tevin Coleman,9506,HB,13,ATL,37,31,421,166,2.54
