player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Kyle Rudolph,6195,TE,16,MIN,539,120,22.3,213,39.5,35,16.4,24,0,229,1.08,1,0.0,68.6
Allen Robinson II,8696,WR,16,JAX,665,144,21.7,140,21.1,25,17.9,17,0,161,1.15,1,0.0,68.0
Jordan Reed,7866,TE,12,WAS,348,85,24.4,118,33.9,28,23.7,19,1,225,1.91,1,5.0,67.9
Greg Olsen,3647,TE,16,CAR,515,121,23.5,292,56.7,53,18.2,36,1,509,1.74,1,2.7,67.9
Kamar Aiken,6671,WR,16,BLT,395,46,11.6,284,71.9,34,12.0,23,1,279,0.98,1,4.2,67.6
Jason Witten,1384,TE,16,DAL,438,91,20.8,228,52.1,46,20.2,31,3,247,1.08,0,8.8,67.4
Ryan Griffin,7982,TE,16,HST,287,72,25.1,183,63.8,49,26.8,33,4,276,1.51,0,10.8,67.3
Geronimo Allison,11141,WR,10,GB,135,20,14.8,85,63.0,15,17.6,10,0,187,2.2,2,0.0,66.7
A.J. Green,6156,WR,10,CIN,337,95,28.2,68,20.2,21,30.9,14,0,137,2.01,1,0.0,66.7
Griff Whalen,7351,WR,7,NE,80,4,5.0,43,53.8,3,7.0,2,0,22,0.51,0,0.0,66.7
Jamize Olawale,7572,FB,16,OAK,106,14,13.2,28,26.4,3,10.7,2,0,15,0.54,0,0.0,66.7
Johnny Holton,11354,WR,9,OAK,23,3,13.0,14,60.9,3,21.4,2,0,34,2.43,0,0.0,66.7
Travis Benjamin,7100,WR,14,SD,397,71,17.9,131,33.0,24,18.3,16,3,207,1.58,1,15.8,66.7
Charles Johnson,7998,WR,16,MIN,265,37,14.0,23,8.7,3,13.0,2,0,11,0.48,0,0.0,66.7
Kendall Wright,7026,WR,11,TEN,226,41,18.1,201,88.9,36,17.9,24,2,333,1.66,2,7.7,66.7
Seth DeValve,10772,TE,11,CLV,55,12,21.8,16,29.1,3,18.8,2,0,14,0.88,0,0.0,66.7
Tyler Ervin,10753,HB,5,HST,22,5,22.7,7,31.8,3,42.9,2,1,14,2.0,0,33.3,66.7
Jalen Richard,11395,HB,16,OAK,125,39,31.2,13,10.4,6,46.2,4,1,45,3.46,2,20.0,66.7
Darren Fells,8549,TE,14,ARZ,157,17,10.8,29,18.5,3,10.3,2,1,13,0.45,0,33.3,66.7
Odell Beckham Jr.,8647,WR,16,NYG,601,161,26.8,92,15.3,24,26.1,16,2,191,2.08,2,11.1,66.7
Kelvin Benjamin,8663,WR,16,CAR,472,112,23.7,110,23.3,27,24.5,18,0,211,1.92,3,0.0,66.7
Leonte Carroo,10720,WR,7,MIA,67,6,9.0,24,35.8,3,12.5,2,0,27,1.13,1,0.0,66.7
Austin Hooper,10715,TE,14,ATL,203,25,12.3,40,19.7,3,7.5,2,1,11,0.28,2,33.3,66.7
C.J. Fiedorowicz,8700,TE,15,HST,281,82,29.2,135,48.0,45,33.3,30,2,283,2.1,4,6.3,66.7
