player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Xavier Grimble,9092,TE,11,PIT,126,21,16.7,53,42.1,7,13.2,3,0,34,0.64,1,0.0,42.9
Erik Swoope,9303,TE,16,IND,95,21,22.1,33,34.7,5,15.2,2,2,30,0.91,0,50.0,40.0
Torrey Smith,6210,WR,12,SF,365,45,12.3,65,17.8,10,15.4,4,4,44,0.68,1,50.0,40.0
Bradley Marquez,9914,WR,11,LA,53,7,13.2,33,62.3,5,15.2,2,1,25,0.76,0,33.3,40.0
Chris Moore,10741,WR,11,BLT,94,16,17.0,49,52.1,13,26.5,5,2,30,0.61,0,28.6,38.5
Brandon Myers,5126,TE,16,TB,139,14,10.1,47,33.8,8,17.0,3,0,28,0.6,0,0.0,37.5
Breshad Perriman,9459,WR,16,BLT,326,64,19.6,39,12.0,8,20.5,3,1,40,1.03,1,25.0,37.5
Rashard Higgins,10806,WR,15,CLV,109,12,11.0,43,39.4,3,7.0,1,0,19,0.44,0,0.0,33.3
Christopher Harper,9950,WR,9,SF,128,18,14.1,27,21.1,3,11.1,1,1,1,0.04,0,50.0,33.3
Ryan Grant,8777,WR,15,WAS,120,18,15.0,34,28.3,6,17.6,2,1,13,0.38,0,33.3,33.3
Ezekiel Elliott,10638,HB,15,DAL,265,37,14.0,22,8.3,3,13.6,1,0,6,0.27,0,0.0,33.3
Aaron Burbridge,10847,WR,14,SF,129,14,10.9,25,19.4,3,12.0,1,1,5,0.2,0,50.0,33.3
Vincent Jackson,2278,WR,5,TB,201,30,14.9,45,22.4,6,13.3,2,2,22,0.49,0,50.0,33.3
Russell Shepard,8254,WR,13,TB,226,39,17.3,52,23.0,13,25.0,4,0,68,1.31,1,0.0,30.8
Marquise Goodwin,7859,WR,15,BUF,390,63,16.2,55,14.1,7,12.7,2,0,21,0.38,0,0.0,28.6
Jaron Brown,8128,WR,6,ARZ,112,24,21.4,29,25.9,4,13.8,1,0,51,1.76,1,0.0,25.0
Vance McDonald,7836,TE,11,SF,234,43,18.4,45,19.2,5,11.1,1,1,6,0.13,0,50.0,20.0
Devin Smith,9470,WR,3,NYJ,23,3,13.0,2,8.7,1,50.0,0,1,0,0.0,0,100.0,0.0
Damien Williams,9205,HB,15,MIA,101,28,27.7,7,6.9,1,14.3,0,0,0,0.0,0,,0.0
Jonathan Grimes,7585,HB,9,HST,110,17,15.5,6,5.5,1,16.7,0,0,0,0.0,0,,0.0
Terron Ward,9778,HB,5,ATL,26,2,7.7,1,3.8,1,100.0,0,1,0,0.0,0,100.0,0.0
Daniel Braverman,10864,WR,3,CHI,10,2,20.0,9,90.0,2,22.2,0,0,0,0.0,0,,0.0
Shane Vereen,6208,HB,5,NYG,61,19,31.1,1,1.6,1,100.0,0,0,0,0.0,0,,0.0
Matt Asiata,6432,HB,16,MIN,179,38,21.2,5,2.8,1,20.0,0,1,0,0.0,0,100.0,0.0
Chris Thompson,7936,HB,16,WAS,308,59,19.2,12,3.9,1,8.3,0,0,0,0.0,0,,0.0
Je'Ron Hamm,8981,TE,3,SF,30,4,13.3,8,26.7,1,12.5,0,0,0,0.0,0,,0.0
Crockett Gillmore,8734,TE,7,BLT,90,14,15.6,16,17.8,1,6.3,0,0,0,0.0,0,,0.0
Justin Perillo,9248,TE,8,GB,60,5,8.3,28,46.7,1,3.6,0,0,0,0.0,0,,0.0
Devin Street,8781,WR,4,IND,46,6,13.0,19,41.3,2,10.5,0,1,0,0.0,0,100.0,0.0
Michael Campanaro,8852,WR,3,BLT,9,1,11.1,4,44.4,1,25.0,0,1,0,0.0,0,100.0,0.0
Isaiah Burse,9300,WR,4,SD,32,3,9.4,21,65.6,3,14.3,0,0,0,0.0,0,,0.0
Braedon Bowman,10904,TE,1,NYJ,9,1,11.1,6,66.7,1,16.7,0,1,0,0.0,0,100.0,0.0
Jerome Felton,4460,FB,13,BUF,49,9,18.4,2,4.1,1,50.0,0,0,0,0.0,0,,0.0
Jeremy Langford,9539,HB,12,CHI,135,24,17.8,6,4.4,1,16.7,0,0,0,0.0,0,,0.0
Joshua Perkins,11051,TE,8,ATL,38,5,13.2,16,42.1,1,6.3,0,1,0,0.0,0,100.0,0.0
Tajae Sharpe,10774,WR,16,TEN,483,77,15.9,37,7.7,2,5.4,0,0,0,0.0,0,,0.0
Andre Johnson,1319,WR,8,TEN,102,21,20.6,29,28.4,1,3.4,0,0,0,0.0,0,,0.0
Marvin Jones Jr.,7158,WR,15,DET,580,101,17.4,56,9.7,2,3.6,0,1,0,0.0,0,100.0,0.0
Darren McFadden,4318,HB,3,DAL,18,5,27.8,3,16.7,1,33.3,0,1,0,0.0,0,100.0,0.0
Jakeem Grant,10820,WR,2,MIA,3,1,33.3,2,66.7,1,50.0,0,1,0,0.0,0,100.0,0.0
Andre Ellington,7968,HB,16,ARZ,82,16,19.5,15,18.3,1,6.7,0,0,0,0.0,0,,0.0
Kalif Raymond,11028,WR,2,DEN,8,2,25.0,3,37.5,1,33.3,0,1,0,0.0,0,100.0,0.0
Mike Thomas,10840,WR,14,LA,55,9,16.4,8,14.5,1,12.5,0,1,0,0.0,0,100.0,0.0
Randall Telfer,9631,TE,13,CLV,52,6,11.5,4,7.7,1,25.0,0,1,0,0.0,0,100.0,0.0
C.J. Spiller,5534,HB,6,NYJ,39,12,30.8,6,15.4,1,16.7,0,1,0,0.0,0,100.0,0.0
