year,player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
2016,Giovani Bernard,7818,HB,10,CIN,48,1,1,0,32,1,0,2.1,0,100
2016,Levine Toilolo,7915,TE,16,ATL,17,3,3,0,108,3,2,17.6,0,100
2016,MarQueis Gray,8286,TE,14,MIA,16,1,1,0,53,1,0,6.3,0,100
2016,Darren Fells,8549,TE,14,ARZ,17,1,1,0,37,1,1,5.9,0,100
2016,Ifeanyi Momah,8557,TE,4,ARZ,3,1,1,0,27,1,0,33.3,0,100
2016,Jace Amaro,8684,TE,2,TEN,4,1,1,0,26,1,0,25,0,100
2016,Cameron Brate,9207,TE,15,TB,78,2,2,0,76,2,0,2.6,0,100
2016,Freddie Martino,9292,WR,13,TB,10,2,2,0,68,2,1,20,0,100
2016,Tevin Coleman,9506,HB,13,ATL,37,2,2,0,80,2,1,5.4,0,100
2016,Blake Bell,9550,TE,12,SF,8,1,1,0,45,1,0,12.5,0,100
2016,Connor Hamlett,9828,TE,3,CLV,1,1,1,0,17,1,1,100,0,100
2016,Quinton Dunbar,10073,CB,1,WAS,1,1,1,0,31,1,0,100,0,100
2016,Austin Hooper,10715,TE,14,ATL,25,3,3,0,120,3,1,12,0,100
2016,C.J. Prosise,10724,HB,6,SEA,18,2,2,0,81,2,0,11.1,0,100
2016,Tyler Higbee,10744,TE,16,LA,26,1,1,0,31,1,0,3.8,0,100
2016,Seth DeValve,10772,TE,11,CLV,12,2,2,0,46,2,1,16.7,0,100
2016,Wendall Williams,11174,WR,2,HST,7,2,2,0,58,2,0,28.6,0,100
2016,Tommylee Lewis,11231,WR,10,NO,9,1,1,0,26,1,0,11.1,0,100
2016,Tanner McEvoy,11288,WR,11,SEA,11,2,2,0,63,2,2,18.2,0,100
2016,Johnny Holton,11354,WR,9,OAK,3,1,1,0,30,1,0,33.3,0,100
2016,Harry Douglas,4398,WR,10,TEN,21,5,4,0,108,4,0,23.8,0,80
2016,Quincy Enunwa,8843,WR,16,NYJ,99,10,8,0,278,8,1,10.1,0,80
2016,Tyler Eifert,7802,TE,8,CIN,39,5,4,0,120,4,2,12.8,0,80
2016,Zach Miller,5104,TE,10,CHI,61,4,3,0,79,3,1,6.6,0,75
2016,Gary Barnidge,4455,TE,16,CLV,75,4,3,0,103,3,0,5.3,0,75
2016,Chester Rogers,10918,WR,13,IND,31,8,6,0,126,6,0,25.8,0,75
2016,Cameron Meredith,10008,WR,14,CHI,95,10,7,1,205,8,4,10.5,12.5,70
2016,Anquan Boldin,1369,WR,16,DET,88,3,2,0,59,2,2,3.4,0,66.7
2016,Spencer Ware,7975,HB,14,KC,42,3,2,0,79,2,0,7.1,0,66.7
2016,C.J. Uzomah,9590,TE,10,CIN,37,3,2,0,76,2,0,8.1,0,66.7
2016,Willie Snead IV,8999,WR,15,NO,96,6,4,1,145,5,0,6.3,20,66.7
2016,Jalin Marshall,11259,WR,10,NYJ,21,3,2,0,38,2,1,14.3,0,66.7
2016,Andre Holmes,6489,WR,16,OAK,23,3,2,0,45,2,0,13,0,66.7
2016,Justin Hardy,9540,WR,15,ATL,30,3,2,0,49,2,0,10,0,66.7
2016,Robert Woods,7822,WR,13,BUF,71,11,7,0,181,7,0,15.5,0,63.6
2016,Michael Thomas,10681,WR,15,NO,119,11,7,0,195,7,1,9.2,0,63.6
2016,Jamison Crowder,9538,WR,16,WAS,92,11,7,0,226,7,4,12,0,63.6
2016,Travis Kelce,7844,TE,16,KC,114,8,5,0,157,5,0,7,0,62.5
2016,Amari Cooper,9437,WR,16,OAK,127,18,11,1,386,12,4,14.2,8.3,61.1
2016,Adam Thielen,8288,WR,16,MIN,88,15,9,0,310,9,2,17,0,60
2016,Doug Baldwin,6615,WR,16,SEA,117,15,9,0,357,9,0,12.8,0,60
2016,Jarvis Landry,8698,WR,16,MIA,122,5,3,0,90,3,0,4.1,0,60
2016,Lance Kendricks,6199,TE,16,LA,74,5,3,0,83,3,1,6.8,0,60
2016,Dwayne Allen,7066,TE,14,IND,48,5,3,0,57,3,3,10.4,0,60
2016,Kendall Wright,7026,WR,11,TEN,41,5,3,0,110,3,2,12.2,0,60
2016,Jack Doyle,8520,TE,16,IND,72,5,3,0,66,3,1,6.9,0,60
2016,Eric Decker,5611,WR,3,NYJ,20,5,3,0,86,3,0,25,0,60
2016,Chris Hogan,6468,WR,15,NE,54,17,10,0,397,10,3,31.5,0,58.8
2016,Cobi Hamilton,7978,WR,11,PIT,28,7,4,0,109,4,2,25,0,57.1
2016,Jimmy Graham,5619,TE,16,SEA,93,14,8,1,218,9,4,15.1,11.1,57.1
2016,Coby Fleener,7038,TE,16,NO,80,14,8,1,249,9,1,17.5,11.1,57.1
2016,Taylor Gabriel,9002,WR,13,ATL,46,7,4,0,213,4,3,15.2,0,57.1
2016,Stefon Diggs,9579,WR,13,MIN,109,14,8,1,257,9,2,12.8,11.1,57.1
2016,Tyler Lockett,9502,WR,15,SEA,62,14,8,0,292,8,1,22.6,0,57.1
2016,Eli Rogers,9878,WR,13,PIT,65,9,5,0,143,5,1,13.8,0,55.6
2016,Rob Gronkowski,5567,TE,8,NE,36,11,6,0,213,6,2,30.6,0,54.5
2016,T.Y. Hilton,7092,WR,16,IND,143,33,17,2,528,19,3,23.1,10.5,51.5
2016,Shaun Draughn,6440,HB,14,SF,37,2,1,0,26,1,0,5.4,0,50
2016,James White,8765,HB,16,NE,76,2,1,0,25,1,1,2.6,0,50
2016,Josh Doctson,10656,WR,2,WAS,6,2,1,0,57,1,0,33.3,0,50
2016,Hunter Henry,10669,TE,15,SD,47,4,2,0,53,2,1,8.5,0,50
2016,A.J. Green,6156,WR,10,CIN,95,20,10,0,379,10,2,21.1,0,50
2016,Julius Thomas,6281,TE,9,JAX,47,2,1,0,22,1,1,4.3,0,50
2016,Aldrick Robinson,6330,WR,16,ATL,31,4,2,0,60,2,1,12.9,0,50
2016,Kyle Rudolph,6195,TE,16,MIN,120,4,2,1,72,3,0,3.3,33.3,50
2016,T.J. Jones,8824,WR,3,DET,13,4,2,0,71,2,0,30.8,0,50
2016,Victor Cruz,5827,WR,15,NYG,68,14,7,0,246,7,0,20.6,0,50
2016,Jaelen Strong,9503,WR,8,HST,23,2,1,0,36,1,0,8.7,0,50
2016,Erik Swoope,9303,TE,16,IND,21,4,2,0,72,2,1,19,0,50
2016,Arrelious Benn,5564,WR,12,JAX,10,2,1,0,39,1,0,20,0,50
2016,Jermaine Gresham,5546,TE,16,ARZ,58,2,1,0,34,1,0,3.4,0,50
2016,Clive Walford,9501,TE,15,OAK,49,4,2,1,43,3,2,8.2,33.3,50
2016,DeSean Jackson,4363,WR,15,WAS,89,32,16,2,579,18,3,36,11.1,50
