year,player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
2018,Austin Calitro,50640,LB,11,SEA,269,128,20,5,3,11,9.3,141,12,1,3,7,5.3,7.3
2018,George Odum,31342,S,10,IND,196,76,8,4,3,4,5,120,12,1,1,2,14,7.3
2018,Nigel Bradham,7105,LB,15,PHI,888,280,34,11,7,23,7.4,608,39,9,8,20,7,7.2
2018,Telvin Smith Sr.,8779,LB,16,JAX,966,386,53,17,12,32,6.8,580,53,7,9,18,7.7,7.2
2018,Sam Hubbard,48457,ED,16,CIN,493,157,17,4,1,7,22,336,9,1,4,11,3.5,7.2
2018,Bryce Callahan,10000,CB,13,CHI,640,177,5,2,2,2,4.5,463,34,2,5,15,8.2,7.1
2018,Kendall Fuller,10718,CB,15,KC,1013,355,20,4,4,6,7,658,56,6,10,20,7.2,7.1
2018,Michael Davis,12040,CB,13,LAC,586,219,6,1,2,4,4.5,367,33,3,5,12,8.2,7.1
2018,Anthony Walker,11916,LB,15,IND,666,308,46,15,11,35,6.5,358,34,9,6,15,8.2,7.1
2018,Hardy Nickerson,50712,LB,16,CIN,520,224,25,6,4,13,8.8,296,21,3,5,7,5.8,7.1
2018,Reggie Ragland,10675,LB,16,KC,559,309,57,16,8,22,10.1,250,9,4,6,1,3.2,7.1
2018,Foyesade Oluokun,24904,LB,16,ATL,506,223,36,17,8,17,7.6,283,31,7,7,14,6.4,7.1
2018,Jeff Holland,50287,ED,3,DEN,38,22,4,2,1,3,7,16,0,0,0,0,,7
2018,Patrick Robinson,5557,CB,3,NO,103,34,1,0,0,0,1.00E+03,69,4,1,1,2,6,7
2018,Xavier Woods,11946,S,14,DAL,847,318,13,4,2,2,9.5,529,34,3,7,3,6.3,7
2018,Hassan Ridgeway,10750,DI,5,IND,62,28,4,1,1,3,6,34,1,0,0,1,1.00E+03,7
2018,Daren Bates,8077,LB,9,TEN,42,11,2,0,0,2,1.00E+03,31,3,1,1,1,5,7
