player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Rashaan Evans,50213,LB,14,TEN,259,62,23.9,0,1,7,8,6.5,24,45.3,0,0,2,2,4.2,29,54.7,0,1,4,5,8.6
Bruce Irvin,7021,ED,16,ATL,276,251,90.9,7,5,13,25,6.4,39,15.5,2,0,3,5,9.0,212,84.5,5,5,10,20,5.9
Frankie Luvu,51028,ED,14,NYJ,284,236,83.1,3,7,17,27,6.4,89,38.0,2,4,7,13,8.4,145,62.0,1,3,9,13,4.8
Arik Armstead,9450,ED,16,SF,312,311,99.7,3,8,26,37,6.4,197,68.4,1,6,23,30,7.9,91,31.6,1,2,2,5,3.3
Sheldon Richardson,7794,DI,16,MIN,409,407,99.5,5,12,30,47,6.4,217,54.4,1,6,18,25,6.0,182,45.6,4,6,11,21,6.9
Brandon Copeland,8378,ED,16,NYJ,384,336,87.5,5,8,25,38,6.4,99,29.6,2,5,8,15,8.6,235,70.4,3,3,16,22,5.3
Whitney Mercilus,7031,ED,16,HST,508,349,68.7,5,8,27,40,6.4,120,35.2,2,3,8,13,6.3,221,64.8,3,5,19,27,6.8
Roy Robertson-Harris,11341,DI,16,CHI,257,256,99.6,4,7,17,28,6.3,17,7.6,0,0,1,1,2.9,207,92.4,4,5,16,25,7.0
Corey Thompson,18551,LB,3,BUF,28,8,28.6,0,1,0,1,6.3,3,37.5,0,0,0,0,0.0,5,62.5,0,1,0,1,10.0
Adrian Phillips,9177,S,16,LAC,444,8,1.8,0,0,1,1,6.3,5,71.4,0,0,0,0,0.0,2,28.6,0,0,1,1,25.0
Jalyn Holmes,48400,ED,5,MIN,41,40,97.6,1,0,3,4,6.3,28,70.0,0,0,1,1,1.8,12,30.0,1,0,2,3,16.7
Montae Nicholson,11878,S,10,WAS,309,8,2.6,0,0,1,1,6.3,5,62.5,0,0,0,0,0.0,3,37.5,0,0,1,1,16.7
Nate Orchard,9484,ED,4,KC,24,24,100.0,0,1,2,3,6.3,20,83.3,0,1,2,3,7.5,4,16.7,0,0,0,0,0.0
