player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Breeland Speaks,48727,ED,16,KC,278,239,86.0,1,6,14,21,4.6,32,13.5,0,0,2,2,3.1,205,86.5,1,6,12,19,4.9
Kerry Hyder,9045,DI,7,DET,100,100,100.0,1,1,6,8,4.5,29,58.0,0,0,2,2,3.4,21,42.0,0,0,0,0,0.0
Leon Jacobs,44980,LB,12,JAX,56,11,19.6,0,0,1,1,4.5,6,54.5,0,0,0,0,0.0,5,45.5,0,0,1,1,10.0
Jaquiski Tartt,9479,S,8,SF,263,11,4.2,0,0,1,1,4.5,7,63.6,0,0,1,1,7.1,4,36.4,0,0,0,0,0.0
Mario Edwards Jr.,9468,DI,14,NYG,146,146,100.0,2,3,6,11,4.5,13,9.3,0,0,0,0,0.0,127,90.7,2,3,5,10,4.7
Kentrell Brice,11142,S,14,GB,370,11,3.0,0,0,1,1,4.5,5,45.5,0,0,0,0,0.0,6,54.5,0,0,1,1,8.3
Derrick Morgan,5541,ED,13,TEN,301,268,89.0,1,4,18,23,4.5,249,94.0,1,4,17,22,4.6,16,6.0,0,0,1,1,3.1
Manti Te'o,7819,LB,5,NO,67,11,16.4,0,0,1,1,4.5,8,88.9,0,0,1,1,6.3,1,11.1,0,0,0,0,0.0
Derrick Johnson,2232,LB,6,OAK,92,11,12.0,0,0,1,1,4.5,6,66.7,0,0,1,1,8.3,3,33.3,0,0,0,0,0.0
Malcolm Jenkins,4937,S,16,PHI,699,55,7.9,0,0,5,5,4.5,36,65.5,0,0,5,5,6.9,19,34.5,0,0,0,0,0.0
Kerry Wynn,8938,DI,14,NYG,258,257,99.6,2,0,19,21,4.5,206,80.5,2,0,15,17,4.6,50,19.5,0,0,4,4,4.0
Lawrence Guy,6385,DI,16,NE,258,257,99.6,1,10,11,22,4.5,212,82.5,0,8,9,17,4.0,45,17.5,1,2,2,5,6.7
Derek Rivers,11838,ED,6,NE,58,57,98.3,1,0,3,4,4.4,48,84.2,1,0,2,3,4.2,9,15.8,0,0,1,1,5.6
Christian Ringo,9643,DI,6,CIN,95,90,94.7,2,1,3,6,4.4,61,68.5,2,1,2,5,5.7,28,31.5,0,0,1,1,1.8
Darius Philon,9625,DI,16,LAC,354,351,99.2,5,4,17,26,4.4,187,55.0,1,1,8,10,2.9,153,45.0,4,3,8,15,6.2
William Hayes,4417,ED,3,MIA,45,45,100.0,2,0,0,2,4.4,42,93.3,2,0,0,2,4.8,3,6.7,0,0,0,0,0.0
Duke Ejiofor,39256,LB,12,HST,134,116,86.6,1,1,7,9,4.3,42,64.6,0,0,1,1,1.2,23,35.4,1,0,3,4,10.9
Kamalei Correa,10676,ED,13,TEN,185,140,75.7,4,1,3,8,4.3,53,38.1,3,1,2,6,8.5,86,61.9,1,0,1,2,1.7
William Gholston,7908,DI,16,TB,238,234,98.3,1,5,13,19,4.3,104,45.6,1,0,5,6,3.4,124,54.4,0,5,8,13,5.2
Rodney Gunter,9549,DI,16,ARZ,325,324,99.7,5,4,14,23,4.3,167,53.4,2,1,7,10,3.6,146,46.6,3,3,7,13,5.5
Jacquies Smith,7401,ED,6,OAK,41,36,87.8,0,1,2,3,4.2,21,58.3,0,1,0,1,2.4,15,41.7,0,0,2,2,6.7
Daniel Ross,51592,DI,13,DAL,133,131,98.5,1,6,3,10,4.2,61,46.6,1,1,1,3,3.3,70,53.4,0,5,2,7,5.0
Treyvon Hester,11999,DI,12,PHI,131,130,99.2,1,2,7,10,4.2,65,50.8,0,2,7,9,6.9,63,49.2,1,0,0,1,1.6
Leon Hall,3634,CB,10,OAK,207,12,5.8,0,1,0,1,4.2,3,25.0,0,0,0,0,0.0,9,75.0,0,1,0,1,5.6
Tanner Vallejo,11950,LB,6,CLV,79,12,15.2,0,0,1,1,4.2,4,44.4,0,0,0,0,0.0,5,55.6,0,0,1,1,10.0
Chuck Clark,11941,S,13,BLT,168,12,7.1,0,0,1,1,4.2,9,81.8,0,0,1,1,5.6,2,18.2,0,0,0,0,0.0
Jay Bromley,8709,DI,2,NO,13,12,92.3,0,0,1,1,4.2,6,54.5,0,0,1,1,8.3,5,45.5,0,0,0,0,0.0
Keionta Davis,23592,ED,6,NE,97,97,100.0,0,1,7,8,4.1,14,14.4,0,0,3,3,10.7,83,85.6,0,1,4,5,3.0
Taco Charlton,11783,ED,11,DAL,226,218,96.5,1,4,12,17,4.1,66,30.3,0,2,4,6,4.5,152,69.7,1,2,8,11,3.9
Anthony Chickillo,9645,ED,16,PIT,184,148,80.4,2,1,7,10,4.1,52,35.1,1,1,2,4,4.8,96,64.9,1,0,5,6,3.6
Steven Means,7929,ED,8,ATL,86,86,100.0,1,0,5,6,4.1,33,38.4,1,0,2,3,6.1,53,61.6,0,0,3,3,2.8
Larry Ogunjobi,11820,DI,16,CLV,546,527,96.5,7,8,21,36,4.1,133,35.5,0,2,6,8,3.0,242,64.5,1,3,5,9,2.1
Eric Lee,11165,ED,9,DET,63,62,98.4,0,0,5,5,4.0,19,30.6,0,0,2,2,5.3,43,69.4,0,0,3,3,3.5
Nathan Shepherd,24614,DI,16,NYJ,152,150,98.7,0,5,7,12,4.0,88,58.7,0,3,4,7,4.0,62,41.3,0,2,3,5,4.0
Shane Ray,9456,ED,11,DEN,152,138,90.8,1,0,9,10,4.0,61,44.2,0,0,4,4,3.3,77,55.8,1,0,5,6,4.5
Jordan Willis,11828,ED,16,CIN,279,277,99.3,2,4,14,20,4.0,181,66.3,1,3,7,11,3.3,92,33.7,1,1,7,9,5.4
Willie Henry,10766,DI,3,BLT,55,51,92.7,1,0,2,3,3.9,26,56.5,0,0,2,2,3.8,20,43.5,1,0,0,1,5.0
Dorance Armstrong,48557,ED,15,DAL,132,128,97.0,1,1,7,9,3.9,89,69.5,1,1,4,6,3.9,39,30.5,0,0,3,3,3.8
D.J. Reader,10800,DI,16,HST,329,318,96.7,2,2,19,23,3.9,153,52.2,1,1,9,11,3.9,140,47.8,1,1,8,10,3.9
Vernon Butler,10664,DI,14,CAR,179,178,99.4,1,3,9,13,3.9,163,95.3,1,2,9,12,4.0,8,4.7,0,0,0,0,0.0
Xavier Williams,9809,DI,16,KC,203,203,100.0,3,1,9,13,3.9,123,69.5,3,1,6,10,5.3,54,30.5,0,0,1,1,0.9
Vincent Rey,5811,LB,8,CIN,70,13,18.6,0,0,1,1,3.8,5,38.5,0,0,0,0,0.0,8,61.5,0,0,1,1,6.3
Erik Harris,10346,S,15,OAK,219,13,5.9,0,1,0,1,3.8,8,61.5,0,1,0,1,6.3,5,38.5,0,0,0,0,0.0
Christian Kirksey,8706,LB,7,CLV,280,53,18.9,0,1,3,4,3.8,22,45.8,0,1,2,3,6.8,26,54.2,0,0,1,1,1.9
Shilique Calhoun,10709,ED,7,OAK,68,65,95.6,0,1,4,5,3.8,44,67.7,0,1,2,3,3.4,21,32.3,0,0,2,2,4.8
Frank Zombo,5945,ED,3,KC,14,13,92.9,0,0,1,1,3.8,12,92.3,0,0,1,1,4.2,1,7.7,0,0,0,0,0.0
Tahir Whitehead,7135,LB,16,OAK,513,53,10.3,0,1,3,4,3.8,28,58.3,0,1,2,3,5.4,20,41.7,0,0,0,0,0.0
Brent Urban,8769,DI,16,BLT,308,305,99.0,1,0,21,22,3.8,153,53.1,1,0,11,12,4.2,135,46.9,0,0,8,8,3.0
Connor Barwin,4969,ED,15,NYG,163,157,96.3,1,3,7,11,3.8,126,80.3,0,3,6,9,3.6,31,19.7,1,0,1,2,4.8
Ziggy Hood,4955,DI,11,MIA,117,117,100.0,0,0,9,9,3.8,112,97.4,0,0,9,9,4.0,3,2.6,0,0,0,0,0.0
Danny Shelton,9445,DI,13,NE,174,173,99.4,0,1,12,13,3.8,77,53.1,0,0,4,4,2.6,68,46.9,0,1,7,8,5.9
Allen Bailey,6238,DI,16,KC,530,529,99.8,6,4,24,34,3.8,352,67.4,3,4,18,25,4.0,170,32.6,3,0,6,9,3.5
Fadol Brown,12246,DI,12,GB,98,95,96.9,0,4,3,7,3.7,49,53.3,0,2,1,3,3.1,43,46.7,0,2,1,3,3.5
Adam Gotsis,10697,DI,16,DEN,261,260,99.6,3,4,9,16,3.7,21,8.1,0,0,1,1,2.4,237,91.9,3,4,8,15,3.8
Branden Jackson,11394,ED,9,SEA,149,147,98.7,1,1,8,10,3.7,83,56.5,0,0,7,7,4.2,64,43.5,1,1,1,3,3.1
Emmanuel Ogbah,10666,ED,14,CLV,475,464,97.7,3,4,24,31,3.7,413,89.2,3,3,22,28,3.8,50,10.8,0,0,2,2,2.0
Adam Butler,12214,DI,16,NE,284,282,99.3,3,2,13,18,3.7,111,52.9,1,0,5,6,3.2,99,47.1,2,1,3,6,4.0
Ricky Jean Francois,5168,DI,16,DET,202,202,100.0,2,0,11,13,3.7,145,79.7,2,0,7,9,3.8,37,20.3,0,0,2,2,2.7
Brooks Reed,6194,ED,16,ATL,254,242,95.3,1,3,13,17,3.7,144,59.5,0,3,7,10,3.5,98,40.5,1,0,6,7,4.1
Tarell Basham,11835,ED,8,NYJ,59,56,94.9,0,2,2,4,3.6,33,60.0,0,2,0,2,3.0,22,40.0,0,0,2,2,4.5
Nick Williams,8006,DI,2,CHI,28,28,100.0,0,0,2,2,3.6,15,57.7,0,0,0,0,0.0,11,42.3,0,0,1,1,4.5
Timmy Jernigan,8683,DI,3,PHI,28,28,100.0,0,1,1,2,3.6,1,3.6,0,0,0,0,0.0,27,96.4,0,1,1,2,3.7
Montravius Adams,11848,DI,14,GB,112,112,100.0,2,0,4,6,3.6,45,42.9,2,0,1,3,5.6,60,57.1,0,0,3,3,2.5
Christian Jones,9020,LB,16,DET,314,69,22.0,1,0,3,4,3.6,20,30.3,1,0,1,2,7.5,46,69.7,0,0,2,2,2.2
Cameron Malveaux,50587,ED,9,ARZ,83,83,100.0,1,0,4,5,3.6,46,55.4,0,0,2,2,2.2,37,44.6,1,0,2,3,5.4
Reggie Nelson,3637,S,11,OAK,211,14,6.6,0,0,1,1,3.6,8,57.1,0,0,0,0,0.0,6,42.9,0,0,1,1,8.3
Raekwon McMillan,11809,LB,16,MIA,365,28,7.7,0,0,2,2,3.6,11,61.1,0,0,1,1,4.5,7,38.9,0,0,1,1,7.1
Robert Nkemdiche,10663,DI,10,ARZ,216,215,99.5,5,4,1,10,3.5,138,66.0,3,2,1,6,3.3,71,34.0,2,2,0,4,4.2
Justin Jones,48940,DI,15,LAC,176,173,98.3,1,0,10,11,3.5,93,57.8,1,0,6,7,4.3,68,42.2,0,0,4,4,2.9
Derek Wolfe,7040,DI,16,DEN,415,415,100.0,2,5,20,27,3.5,358,88.6,2,5,18,25,3.8,46,11.4,0,0,1,1,1.1
Daron Payne,48698,DI,16,WAS,453,451,99.6,5,3,19,27,3.5,288,72.2,3,1,14,18,3.6,111,27.8,1,2,3,6,3.2
Rasheem Green,48731,ED,10,SEA,116,115,99.1,1,0,6,7,3.5,60,52.2,1,0,5,6,5.8,55,47.8,0,0,1,1,0.9
Poona Ford,48875,DI,11,SEA,116,116,100.0,0,2,6,8,3.4,38,41.3,0,1,1,2,2.6,54,58.7,0,1,3,4,3.7
Abry Jones,8177,DI,15,JAX,238,237,99.6,1,1,13,15,3.4,101,43.2,1,1,3,5,3.0,133,56.8,0,0,10,10,3.8
Bryan Cox Jr.,12092,ED,11,CAR,109,104,95.4,0,1,6,7,3.4,49,47.1,0,0,4,4,4.1,55,52.9,0,1,2,3,2.7
Damion Square,8042,DI,16,LAC,270,270,100.0,4,3,7,14,3.3,101,37.4,2,2,1,5,3.5,169,62.6,2,1,6,9,3.3
Lyndon Johnson,38557,DI,3,JAX,15,15,100.0,0,0,1,1,3.3,8,53.3,0,0,0,0,0.0,7,46.7,0,0,1,1,7.1
Ryan Glasgow,11893,DI,3,CIN,45,45,100.0,0,2,1,3,3.3,25,55.6,0,2,1,3,6.0,20,44.4,0,0,0,0,0.0
Chris Smith,8794,ED,16,CLV,175,170,97.1,1,1,8,10,3.2,130,76.5,1,1,7,9,3.8,40,23.5,0,0,1,1,1.3
Jordan Phillips,9485,DI,16,BUF,171,170,99.4,1,1,8,10,3.2,82,49.1,0,0,3,3,1.8,85,50.9,1,1,5,7,4.7
Maurice Hurst,38563,DI,13,OAK,236,235,99.6,4,0,7,11,3.2,134,58.8,2,0,6,8,3.7,94,41.2,2,0,1,3,2.7
Frostee Rucker,3036,ED,15,OAK,222,217,97.7,0,4,10,14,3.2,133,61.3,0,3,6,9,3.4,84,38.7,0,1,4,5,3.0
Margus Hunt,7834,DI,15,IND,426,418,98.1,4,3,16,23,3.2,232,55.9,2,1,7,10,2.6,183,44.1,2,2,9,13,4.1
Beau Allen,8858,DI,14,TB,173,172,99.4,0,3,8,11,3.2,9,5.4,0,0,0,0,0.0,158,94.6,0,2,8,10,3.2
Jonathan Bullard,10706,DI,16,CHI,186,186,100.0,0,0,12,12,3.2,73,39.5,0,0,4,4,2.7,112,60.5,0,0,8,8,3.6
Damon Harrison Sr.,7355,DI,17,DET,295,294,99.7,4,4,7,15,3.2,168,70.6,2,3,3,8,3.0,70,29.4,0,0,2,2,1.4
Kyle Love,5806,DI,16,CAR,273,271,99.3,2,2,11,15,3.1,69,26.5,1,2,2,5,4.3,191,73.5,1,0,9,10,2.9
Ryan Delaire,9939,ED,2,SF,17,16,94.1,0,1,0,1,3.1,2,12.5,0,0,0,0,0.0,14,87.5,0,1,0,1,3.6
Tim Settle,48966,DI,13,WAS,65,65,100.0,0,0,4,4,3.1,21,38.9,0,0,0,0,0.0,33,61.1,0,0,3,3,4.5
Josh Mauro,9003,DI,12,NYG,98,98,100.0,1,0,4,5,3.1,66,68.8,1,0,4,5,4.5,30,31.3,0,0,0,0,0.0
Bronson Kaufusi,10704,ED,3,NYJ,32,32,100.0,0,1,1,2,3.1,18,56.3,0,1,0,1,2.8,14,43.8,0,0,1,1,3.6
Bradley McDougald,8220,S,16,SEA,545,16,2.9,0,0,1,1,3.1,7,46.7,0,0,0,0,0.0,8,53.3,0,0,1,1,6.3
Dalvin Tomlinson,11810,DI,16,NYG,287,286,99.7,0,0,18,18,3.1,133,48.4,0,0,9,9,3.4,142,51.6,0,0,8,8,2.8
Eli Ankou,48856,DI,2,JAX,16,16,100.0,0,0,1,1,3.1,6,37.5,0,0,0,0,0.0,10,62.5,0,0,1,1,5.0
Sylvester Williams,7809,DI,14,MIA,161,160,99.4,0,0,10,10,3.1,16,12.6,0,0,0,0,0.0,111,87.4,0,0,9,9,4.1
Dominique Easley,8664,ED,3,LA,32,32,100.0,0,0,2,2,3.1,10,31.3,0,0,1,1,5.0,22,68.8,0,0,1,1,2.3
Steve McLendon,5232,DI,16,NYJ,219,219,100.0,1,1,10,12,3.0,95,46.3,1,0,2,3,2.1,110,53.7,0,1,7,8,3.6
Clinton McDonald,5173,DI,15,OAK,201,199,99.0,2,0,8,10,3.0,84,43.3,2,0,5,7,5.4,110,56.7,0,0,3,3,1.4
Al-Quadin Muhammad,11951,ED,15,IND,205,199,97.1,0,3,9,12,3.0,70,35.4,0,1,3,4,2.9,128,64.6,0,2,6,8,3.1
Tyson Alualu,5535,DI,15,PIT,167,166,99.4,0,0,10,10,3.0,64,40.5,0,0,3,3,2.3,94,59.5,0,0,7,7,3.7
Al Woods,5646,DI,14,IND,182,169,92.9,0,2,8,10,3.0,78,46.7,0,0,7,7,4.5,89,53.3,0,2,1,3,1.7
Muhammad Wilkerson,6182,DI,3,GB,67,67,100.0,0,0,4,4,3.0,32,48.5,0,0,2,2,3.1,34,51.5,0,0,2,2,2.9
Jaleel Johnson,11864,DI,16,MIN,138,138,100.0,1,1,5,7,2.9,64,47.4,0,1,4,5,3.9,71,52.6,1,0,1,2,2.1
Derrick Nnadi,49970,DI,16,KC,204,204,100.0,0,0,12,12,2.9,68,40.5,0,0,2,2,1.5,100,59.5,0,0,9,9,4.5
Brandon Marshall,7648,LB,11,DEN,286,34,11.9,0,0,2,2,2.9,8,30.8,0,0,1,1,6.3,18,69.2,0,0,1,1,2.8
Hardy Nickerson,50712,LB,14,CIN,294,34,11.6,0,0,2,2,2.9,16,53.3,0,0,1,1,3.1,14,46.7,0,0,1,1,3.6
Hassan Ridgeway,10750,DI,5,IND,34,34,100.0,0,0,2,2,2.9,14,41.2,0,0,1,1,3.6,20,58.8,0,0,1,1,2.5
Michael Brockers,7020,DI,16,LA,346,346,100.0,1,2,16,19,2.9,207,59.8,1,1,12,14,3.6,139,40.2,0,1,4,5,1.8
Tyeler Davison,9587,DI,14,NO,230,222,96.5,2,1,8,11,2.9,102,54.0,1,0,4,5,2.9,87,46.0,1,0,3,4,2.9
Nazair Jones,11857,DI,9,SEA,69,68,98.6,0,2,2,4,2.9,38,55.9,0,0,1,1,1.3,30,44.1,0,2,1,3,5.0
Tyler Lancaster,48604,DI,11,GB,127,125,98.4,0,0,7,7,2.8,51,49.5,0,0,2,2,2.0,52,50.5,0,0,5,5,4.8
Kendall Fuller,10718,CB,15,KC,658,18,2.7,0,0,1,1,2.8,9,50.0,0,0,0,0,0.0,9,50.0,0,0,1,1,5.6
Damontre Moore,7862,ED,2,OAK,38,36,94.7,0,1,1,2,2.8,18,50.0,0,0,1,1,2.8,18,50.0,0,1,0,1,2.8
Michael Johnson,4993,ED,15,CIN,218,216,99.1,1,2,8,11,2.8,89,41.4,0,1,2,3,1.7,126,58.6,1,1,6,8,3.6
Linval Joseph,5571,DI,15,MIN,340,340,100.0,1,2,15,18,2.8,121,36.4,0,0,3,3,1.2,211,63.6,1,2,12,15,3.8
Antwaun Woods,11332,DI,15,DAL,287,282,98.3,2,3,9,14,2.8,139,50.0,1,1,4,6,2.5,139,50.0,1,2,5,8,3.2
Marqui Christian,10801,S,16,LA,276,18,6.5,0,1,0,1,2.8,10,55.6,0,0,0,0,0.0,8,44.4,0,1,0,1,6.3
Zach Kerr,9195,DI,16,DEN,194,194,100.0,2,1,6,9,2.8,146,75.6,2,1,6,9,3.8,47,24.4,0,0,0,0,0.0
P.J. Hall,31211,DI,14,OAK,284,282,99.3,0,4,11,15,2.7,132,52.2,0,1,7,8,3.0,121,47.8,0,2,3,5,2.1
Darron Lee,10654,LB,12,NYJ,458,55,12.0,0,2,1,3,2.7,26,48.1,0,1,0,1,1.9,28,51.9,0,1,1,2,3.6
Marcell Dareus,6155,DI,15,JAX,275,273,99.3,1,1,12,14,2.7,134,51.0,0,1,3,4,1.5,129,49.0,1,0,8,9,3.9
Brandon Williams,7875,DI,16,BLT,258,255,98.8,1,1,11,13,2.7,107,47.1,1,0,3,4,2.3,120,52.9,0,1,5,6,2.5
D.J. Jones,11953,DI,10,SF,93,93,100.0,0,1,4,5,2.7,34,40.0,0,0,3,3,4.4,51,60.0,0,1,1,2,2.0
Davon Godchaux,11934,DI,16,MIA,331,328,99.1,1,3,13,17,2.7,14,4.3,0,0,0,0,0.0,308,95.7,1,3,12,16,2.8
Anthony Levine,6013,S,16,BLT,222,55,24.8,0,2,1,3,2.7,20,37.7,0,0,0,0,0.0,33,62.3,0,2,1,3,4.5
Deadrin Senat,48815,DI,15,ATL,189,189,100.0,0,2,8,10,2.6,61,38.6,0,0,5,5,4.1,97,61.4,0,1,2,3,1.5
Brandon Mebane,3701,DI,12,LAC,202,192,95.0,2,2,4,8,2.6,84,44.2,1,2,2,5,3.6,106,55.8,1,0,2,3,1.9
Jamiyus Pittman,50036,DI,3,MIA,20,19,95.0,0,0,1,1,2.6,3,15.8,0,0,0,0,0.0,16,84.2,0,0,1,1,3.1
Corey Peters,5607,DI,15,ARZ,370,368,99.5,3,1,12,16,2.6,126,37.1,0,0,5,5,2.0,214,62.9,3,1,4,8,2.6
DaQuan Jones,8747,DI,16,TEN,276,272,98.6,0,5,9,14,2.6,151,57.9,0,4,6,10,3.3,110,42.1,0,1,3,4,1.8
Earl Mitchell,5605,DI,12,SF,166,162,97.6,0,3,5,8,2.5,60,40.8,0,1,3,4,3.3,87,59.2,0,2,1,3,1.7
Dontari Poe,7017,DI,16,CAR,278,276,99.3,1,2,10,13,2.5,145,57.3,1,1,7,9,3.4,108,42.7,0,1,3,4,1.9
Angelo Blackson,9533,DI,16,HST,245,239,97.6,1,1,9,11,2.5,86,36.4,0,1,6,7,4.1,150,63.6,1,0,3,4,1.7
Stacy McGee,7987,DI,8,WAS,60,60,100.0,1,0,1,2,2.5,45,75.0,1,0,0,1,2.2,15,25.0,0,0,1,1,3.3
Haloti Ngata,2957,DI,13,PHI,200,199,99.5,1,2,6,9,2.5,32,16.2,0,0,1,1,1.6,165,83.8,1,2,5,8,2.7
Bennie Logan,7848,DI,15,TEN,103,101,98.1,0,0,5,5,2.5,64,64.6,0,0,3,3,2.3,35,35.4,0,0,2,2,2.9
Harrison Phillips,48690,DI,16,BUF,167,167,100.0,0,2,6,8,2.4,66,39.5,0,1,3,4,3.0,101,60.5,0,1,3,4,2.0
T.Y. McGill,10156,DI,6,LAC,42,42,100.0,0,1,1,2,2.4,16,39.0,0,1,0,1,3.1,25,61.0,0,0,1,1,2.0
Josey Jewell,50720,LB,16,DEN,197,21,10.7,0,0,1,1,2.4,9,52.9,0,0,1,1,5.6,8,47.1,0,0,0,0,0.0
Caleb Brantley,11939,DI,5,WAS,22,22,100.0,0,0,1,1,2.3,9,40.9,0,0,0,0,0.0,13,59.1,0,0,1,1,3.8
Michael Bennett,9613,DI,2,ATL,22,22,100.0,0,0,1,1,2.3,14,63.6,0,0,1,1,3.6,8,36.4,0,0,0,0,0.0
Patrick Ricard,48862,FB,5,BLT,23,23,100.0,0,1,0,1,2.2,14,60.9,0,1,0,1,3.6,9,39.1,0,0,0,0,0.0
L.T. Walton,9632,DI,4,PIT,25,25,100.0,0,0,1,1,2.0,8,32.0,0,0,0,0,0.0,17,68.0,0,0,1,1,2.9
Destiny Vaeao,11083,DI,6,NYJ,99,98,99.0,1,1,1,3,2.0,2,2.1,0,0,0,0,0.0,94,97.9,1,1,1,3,2.1
Domata Peko Sr.,3068,DI,16,DEN,239,239,100.0,1,2,5,8,1.9,120,52.4,0,0,3,3,1.3,109,47.6,0,2,2,4,1.8
Darius Kilgo,9636,DI,10,TEN,54,54,100.0,0,0,2,2,1.9,24,45.3,0,0,1,1,2.1,29,54.7,0,0,1,1,1.7
Tashawn Bower,50170,ED,5,MIN,28,26,92.9,0,0,1,1,1.9,26,100.0,0,0,1,1,1.9,0,0.0,0,0,0,0,
Eddie Yarbrough,11033,ED,15,BUF,131,129,98.5,0,2,3,5,1.9,6,4.7,0,0,0,0,0.0,123,95.3,0,2,3,5,2.0
Josh Tupou,12093,DI,6,CIN,53,53,100.0,0,0,2,2,1.9,24,45.3,0,0,0,0,0.0,29,54.7,0,0,2,2,3.4
Terrell McClain,6217,DI,13,ATL,201,195,97.0,1,0,5,6,1.8,85,45.9,0,0,3,3,1.8,100,54.1,1,0,2,3,2.0
Star Lotulelei,7795,DI,16,BUF,227,227,100.0,0,0,8,8,1.8,111,49.1,0,0,2,2,0.9,115,50.9,0,0,6,6,2.6
Marquis Haynes,50244,ED,4,CAR,32,30,93.8,0,0,1,1,1.7,19,63.3,0,0,0,0,0.0,11,36.7,0,0,1,1,4.5
Malcom Brown,9465,DI,15,NE,241,241,100.0,0,1,7,8,1.7,61,29.5,0,1,1,2,1.6,146,70.5,0,0,5,5,1.7
Rakeem Nunez-Roches,9650,DI,3,TB,32,32,100.0,0,0,1,1,1.6,9,31.0,0,0,1,1,5.6,20,69.0,0,0,0,0,0.0
Grover Stewart,11899,DI,15,IND,134,129,96.3,0,0,4,4,1.6,66,51.6,0,0,3,3,2.3,62,48.4,0,0,1,1,0.8
Jarvis Jenkins,6193,DI,12,KC,124,123,99.2,0,1,3,4,1.6,79,64.8,0,0,2,2,1.3,43,35.2,0,1,1,2,2.3
Trevon Coley,11093,DI,16,CLV,294,285,96.9,1,0,7,8,1.6,114,42.9,1,0,3,4,2.2,152,57.1,0,0,3,3,1.0
Josh Sweat,50120,ED,8,PHI,31,31,100.0,0,1,0,1,1.6,1,3.2,0,0,0,0,0.0,30,96.8,0,1,0,1,1.7
Johnathan Hankins,7830,DI,15,OAK,225,225,100.0,0,2,5,7,1.6,95,45.0,0,1,2,3,1.6,116,55.0,0,1,3,4,1.7
Olsen Pierre,10010,DI,9,ARZ,133,133,100.0,0,1,3,4,1.5,63,47.7,0,0,1,1,0.8,69,52.3,0,1,2,3,2.2
Carroll Phillips,48353,ED,5,IND,35,33,94.3,0,0,1,1,1.5,11,33.3,0,0,0,0,0.0,22,66.7,0,0,1,1,2.3
Brian Price,11157,DI,13,CLV,105,101,96.2,0,0,3,3,1.5,40,43.5,0,0,2,2,2.5,52,56.5,0,0,1,1,1.0
Derrick Shelby,7400,ED,7,ATL,70,70,100.0,0,0,2,2,1.4,27,38.6,0,0,2,2,3.7,43,61.4,0,0,0,0,0.0
Austin Johnson,10677,DI,16,TEN,182,178,97.8,1,0,3,4,1.4,64,36.2,0,0,1,1,0.8,113,63.8,1,0,2,3,1.8
Brandon Dunn,9262,DI,14,HST,167,154,92.2,0,0,4,4,1.3,82,56.9,0,0,1,1,0.6,62,43.1,0,0,3,3,2.4
Noah Spence,10673,ED,6,TB,38,38,100.0,0,1,0,1,1.3,20,52.6,0,1,0,1,2.5,18,47.4,0,0,0,0,0.0
Shamar Stephen,8854,DI,15,SEA,250,249,99.6,2,1,1,4,1.2,89,42.8,2,0,0,2,2.2,119,57.2,0,1,1,2,0.8
Taylor Stallworth,48935,DI,14,NO,178,174,97.8,1,1,1,3,1.1,71,45.2,0,0,0,0,0.0,86,54.8,1,1,1,3,2.3
Anthony Zettel,10836,ED,14,CLV,96,93,96.9,0,0,2,2,1.1,20,21.5,0,0,0,0,0.0,73,78.5,0,0,2,2,1.4
D.J. Alexander,9605,ED,1,PHI,1,1,100.0,0,0,0,0,0.0,0,,0,0,0,0,,0,,0,0,0,0,
Geremy Davis,9619,WR,1,LAC,1,1,100.0,0,0,0,0,0.0,0,,0,0,0,0,,0,,0,0,0,0,
Josh Shaw,9553,S,7,TB,55,1,1.8,0,0,0,0,0.0,1,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,
Hayes Pullard,9652,LB,6,LAC,42,1,2.4,0,0,0,0,0.0,0,0.0,0,0,0,0,,1,100.0,0,0,0,0,0.0
Bryce Hager,9657,LB,6,LA,36,4,11.1,0,0,0,0,0.0,0,0.0,0,0,0,0,,3,100.0,0,0,0,0,0.0
Ibraheim Campbell,9548,S,4,GB,69,1,1.4,0,0,0,0,0.0,0,0.0,0,0,0,0,,1,100.0,0,0,0,0,0.0
Darryl Roberts,9680,S,14,NYJ,450,2,0.4,0,0,0,0,0.0,0,0.0,0,0,0,0,,1,100.0,0,0,0,0,0.0
Gabe Wright,9546,DI,2,OAK,15,15,100.0,0,0,0,0,0.0,9,60.0,0,0,0,0,0.0,6,40.0,0,0,0,0,0.0
Steven Nelson,9531,CB,16,KC,695,1,0.1,0,0,0,0,0.0,0,0.0,0,0,0,0,,1,100.0,0,0,0,0,0.0
Carl Davis,9523,DI,5,CLV,15,15,100.0,0,0,0,0,0.0,9,60.0,0,0,0,0,0.0,6,40.0,0,0,0,0,0.0
Ronald Darby,9483,CB,9,PHI,386,1,0.3,0,0,0,0,0.0,0,0.0,0,0,0,0,,1,100.0,0,0,0,0,0.0
Deshazor Everett,9940,S,11,WAS,50,3,6.0,0,0,0,0,0.0,2,66.7,0,0,0,0,0.0,1,33.3,0,0,0,0,0.0
