player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Chris Jones,10671,DI,16,KC,3,1,0,0,0,0,1,0.0,0.0,3.0,
Denzel Rice,9784,CB,1,BUF,21,1,0,0,0,0,1,0.0,0.0,21.0,
Frostee Rucker,3036,ED,15,OAK,5,1,0,0,0,0,0,39.6,0.0,5.0,
Dawuane Smoot,11823,ED,8,JAX,5,1,0,0,0,0,0,39.6,0.0,5.0,
DeAndre Hopkins,7808,WR,2,HST,2,1,0,0,0,0,0,39.6,0.0,2.0,
Tanoh Kpassagnon,11814,ED,9,KC,11,1,0,0,0,0,0,39.6,0.0,11.0,
Ryan Anderson,11804,ED,13,WAS,11,1,0,0,0,0,0,39.6,0.0,11.0,
Mike Evans,8642,WR,2,TB,2,1,0,0,0,0,0,39.6,0.0,2.0,
Carl Nassib,10699,ED,15,TB,13,1,0,0,0,0,0,39.6,0.0,13.0,
Connor Barwin,4969,ED,15,NYG,6,1,0,0,0,0,0,39.6,0.0,6.0,
Kayvon Webster,7871,CB,2,HST,6,1,0,0,0,0,0,39.6,0.0,6.0,
Mike Pennel,9316,DI,16,NYJ,3,1,0,0,0,0,0,39.6,0.0,3.0,
Alex Okafor,7885,ED,16,NO,31,1,0,0,0,0,0,39.6,0.0,31.0,
Kentrell Brothers,10794,LB,2,MIN,4,1,0,0,0,0,0,39.6,0.0,4.0,
Mike Tyson,11942,S,5,HST,103,2,0,0,0,0,0,39.6,0.0,51.5,
Everson Griffen,5624,ED,11,MIN,8,1,0,0,0,0,0,39.6,0.0,8.0,
Cassanova McKinzy,10938,ED,3,WAS,3,1,0,0,0,0,0,39.6,0.0,3.0,
Dominique Hatfield,12338,CB,1,LA,4,1,0,0,0,0,0,39.6,0.0,4.0,
Julio Jones,6158,WR,3,ATL,3,1,0,0,0,0,0,39.6,0.0,3.0,
Benson Mayowa,8196,ED,15,ARZ,19,1,0,0,0,0,0,39.6,0.0,19.0,
Taco Charlton,11783,ED,11,DAL,8,1,0,0,0,0,0,39.6,0.0,8.0,
Jadeveon Clowney,8636,ED,15,HST,28,1,0,0,0,0,0,39.6,0.0,28.0,
Malik Hooker,11770,S,14,IND,525,7,4,51,25,1,2,80.1,0.1,75.0,131.3
Jarrod Wilson,10902,S,11,JAX,114,7,1,-1,0,0,0,39.6,-0.01,16.3,114.0
Marcus Maye,11794,S,6,NYJ,213,4,2,18,10,1,1,62.5,0.08,53.3,106.5
Tracy Walker,51266,S,14,DET,192,6,2,18,9,0,1,2.8,0.09,32.0,96.0
Andre Hal,8850,S,8,HST,191,4,2,11,0,2,3,56.3,0.06,47.8,95.5
George Iloka,7159,S,5,MIN,79,2,1,12,0,1,0,108.3,0.15,39.5,79.0
Tedric Thompson,11866,S,14,SEA,415,13,7,75,29,2,1,78.5,0.18,31.9,59.3
Damontae Kazee,11904,S,16,ATL,578,19,10,104,41,2,7,64.3,0.18,30.4,57.8
Marcus Williams,11797,S,16,NO,603,17,12,235,82,5,2,113.0,0.39,35.5,50.3
Lamarcus Joyner,8676,S,15,LA,532,18,11,107,48,1,1,73.1,0.2,29.6,48.4
Andrew Sendejo,6118,S,5,MIN,191,7,4,57,25,0,0,83.6,0.3,27.3,47.8
Anthony Harris,9895,S,11,MIN,324,13,7,52,32,0,3,24.0,0.16,24.9,46.3
Jahleel Addae,8117,S,16,LAC,601,17,13,258,120,1,1,113.0,0.43,35.4,46.2
Karl Joseph,10648,S,13,OAK,227,9,5,60,18,1,1,73.6,0.26,25.2,45.4
Rontez Miles,8102,S,4,NYJ,45,1,1,8,2,0,0,100.0,0.18,45.0,45.0
Armani Watts,51264,S,5,KC,45,2,1,9,5,0,0,62.5,0.2,22.5,45.0
Earl Thomas III,5539,S,4,SEA,133,6,3,43,7,1,3,73.6,0.32,22.2,44.3
Curtis Riley,10109,S,16,NYG,573,23,13,165,95,0,4,39.5,0.29,24.9,44.1
Rashaan Gaulden,51241,S,11,CAR,81,2,2,11,7,1,0,129.2,0.14,40.5,40.5
Antone Exum Jr.,8817,S,12,SF,309,13,8,142,43,1,1,92.5,0.46,23.8,38.6
Duron Harmon,7872,S,16,NE,419,16,11,176,51,3,4,105.2,0.42,26.2,38.1
Corey Graham,3784,S,13,PHI,429,17,12,90,33,1,1,78.1,0.21,25.2,35.8
Eric Weddle,3653,S,16,BLT,599,31,17,112,42,0,0,62.8,0.19,19.3,35.2
Rodney McLeod,7271,S,3,PHI,103,5,3,22,9,1,0,110.0,0.21,20.6,34.3
Deon Bush,10758,S,7,CHI,102,6,3,32,6,0,0,66.0,0.31,17.0,34.0
Jessie Bates III,49162,S,16,CIN,634,33,19,218,113,2,3,59.9,0.34,19.2,33.4
Ha Ha Clinton-Dix,8656,S,16,WAS,552,24,17,155,103,2,3,76.2,0.28,23.0,32.5
Will Compton,8308,LB,5,TEN,32,3,1,7,4,0,0,42.4,0.22,10.7,32.0
Chris Banjo,8419,S,7,NO,32,4,1,17,18,0,2,5.2,0.53,8.0,32.0
Xavier Woods,11946,S,14,DAL,529,25,17,144,88,1,2,62.8,0.27,21.2,31.1
Kyler Fackrell,10722,ED,16,GB,124,9,4,26,21,0,0,51.6,0.21,13.8,31.0
Tre Sullivan,12165,S,11,PHI,182,8,6,39,34,0,0,84.9,0.21,22.8,30.3
Skai Moore,21605,LB,5,IND,30,1,1,33,39,1,0,158.3,1.1,30.0,30.0
Sean Davis,10692,S,15,PIT,595,31,20,316,167,1,1,95.6,0.53,19.2,29.8
Cameron Jordan,6176,ED,16,NO,29,2,1,15,6,0,0,75.0,0.52,14.5,29.0
Tyus Bowser,11802,ED,14,BLT,29,1,1,-1,4,0,0,79.2,-0.03,29.0,29.0
Barry Church,5924,S,11,JAX,370,25,13,203,101,4,1,102.2,0.55,14.8,28.5
Reggie Nelson,3637,S,11,OAK,197,12,7,128,31,2,2,95.1,0.65,16.4,28.1
Corey Moore,10117,S,6,IND,28,1,1,30,6,0,1,79.2,1.07,28.0,28.0
Dean Marlowe,9966,S,1,BUF,28,3,1,4,1,0,0,42.4,0.14,9.3,28.0
Eric Reid,7799,S,13,CAR,418,23,15,219,83,2,1,107.0,0.52,18.2,27.9
Kevin Byard,10698,S,16,TEN,580,30,21,172,83,1,4,55.8,0.3,19.3,27.6
Damarious Randall,9463,S,15,CLV,631,35,23,273,99,2,4,68.8,0.43,18.0,27.4
Tre Boston,8763,S,14,ARZ,490,30,18,189,80,2,3,61.0,0.39,16.3,27.2
Jordan Poyer,8000,S,16,BUF,515,27,19,246,107,2,4,83.8,0.48,19.1,27.1
Derrick Johnson,2232,LB,6,OAK,81,3,3,29,3,0,0,106.9,0.36,27.0,27.0
Darian Stewart,5820,S,14,DEN,465,25,18,309,240,3,2,119.8,0.66,18.6,25.8
Bruce Irvin,7021,ED,16,ATL,25,2,1,2,1,0,0,56.3,0.08,12.5,25.0
Uchenna Nwosu,50084,ED,16,LAC,25,2,1,8,7,0,0,60.4,0.32,12.5,25.0
Trey Flowers,9534,ED,15,NE,25,1,1,5,4,0,0,87.5,0.2,25.0,25.0
Blidi Wreh-Wilson,7851,CB,3,ATL,25,4,1,11,7,0,0,39.6,0.44,6.3,25.0
Kenny Vaccaro,7796,S,13,TEN,421,23,17,175,73,1,1,91.8,0.42,18.3,24.8
Eddie Jackson,11867,S,14,CHI,589,44,24,256,158,3,6,54.9,0.43,13.4,24.5
Tashaun Gipson Sr.,7288,S,16,JAX,560,37,23,275,115,3,1,100.6,0.49,15.1,24.3
Dane Cruikshank,25546,S,6,TEN,24,1,1,-1,4,0,0,79.2,-0.04,24.0,24.0
Terrell Edmunds,51334,S,16,PIT,571,35,24,266,113,1,1,88.5,0.47,16.3,23.8
Jamal Adams,11761,S,16,NYJ,570,48,24,291,122,1,1,67.3,0.51,11.9,23.8
Adrian Amos,9575,S,16,CHI,664,40,28,216,65,2,2,78.8,0.33,16.6,23.7
Ja'Whaun Bentley,50966,LB,3,NE,70,5,3,19,19,0,1,28.3,0.27,14.0,23.3
Montae Nicholson,11878,S,10,WAS,302,17,13,192,171,1,0,132.5,0.64,17.8,23.2
Micah Hyde,7941,S,15,BUF,462,30,20,179,58,6,2,94.3,0.39,15.4,23.1
Ron Parker,6625,S,15,KC,620,39,27,370,108,3,2,103.6,0.6,15.9,23.0
Jordan Lucas,10838,S,7,KC,161,12,7,111,65,2,1,94.1,0.69,13.4,23.0
Ibraheim Campbell,9548,S,4,GB,69,3,3,20,0,0,0,94.4,0.29,23.0,23.0
Erik Harris,10346,S,15,OAK,206,17,9,60,21,2,2,60.5,0.29,12.1,22.9
Eric Murray,10740,S,15,KC,433,28,19,242,106,2,1,103.6,0.56,15.5,22.8
Doug Middleton,11262,S,4,NYJ,137,8,6,99,36,2,0,155.7,0.72,17.1,22.8
Reshad Jones,5686,S,14,MIA,410,27,18,271,97,1,3,72.2,0.66,15.2,22.8
Justin Reid,49048,S,16,HST,564,36,25,446,168,4,3,113.9,0.79,15.7,22.6
Glover Quin,5035,S,16,DET,452,30,20,284,104,1,0,108.2,0.63,15.1,22.6
Harrison Smith,7641,S,16,MIN,532,36,24,336,90,1,3,71.1,0.63,14.8,22.2
James Burgess,11202,LB,3,CLV,22,3,1,14,11,0,0,49.3,0.64,7.3,22.0
Avonte Maddox,50543,CB,10,PHI,391,33,18,218,45,1,2,59.9,0.56,11.8,21.7
Anthony Averett,50365,CB,5,BLT,43,6,2,23,11,0,0,45.8,0.53,7.2,21.5
Joe Schobert,10733,LB,13,CLV,426,33,20,177,93,1,1,72.4,0.42,12.9,21.3
Keanu Neal,10651,S,1,ATL,21,2,1,7,3,0,0,58.3,0.33,10.5,21.0
Levi Wallace,25445,CB,7,BUF,207,19,10,94,8,1,0,84.1,0.45,10.9,20.7
Justin Evans,11805,S,10,TB,352,20,17,201,51,2,1,121.0,0.57,17.6,20.7
Adrian Colbert,11983,S,6,SF,203,11,10,223,44,4,0,158.3,1.1,18.5,20.3
Richard Sherman,6306,CB,14,SF,504,40,25,365,117,1,0,100.5,0.72,12.6,20.2
Larry Ogunjobi,11820,DI,16,CLV,20,1,1,8,1,1,0,139.6,0.4,20.0,20.0
J.J. Wilcox,7861,S,7,IND,40,3,2,7,2,0,0,70.1,0.18,13.3,20.0
Mike Adams,1972,S,16,CAR,535,34,27,446,155,5,3,121.6,0.83,15.7,19.8
D.J. Swearinger Sr.,7838,S,15,ARZ,552,45,28,382,207,2,4,67.1,0.69,12.3,19.7
Will Parks,10853,S,16,DEN,315,26,16,183,81,0,1,66.7,0.58,12.1,19.7
Blake Countess,10830,S,5,LA,39,3,2,27,15,0,1,55.6,0.69,13.0,19.5
Emmanuel Lamur,7561,LB,8,NYJ,39,3,2,26,20,0,0,93.8,0.67,13.0,19.5
Patrick Peterson,6157,CB,16,ARZ,575,52,30,364,126,3,2,82.5,0.63,11.1,19.2
Delano Hill,11849,S,13,SEA,192,15,10,154,68,2,0,140.0,0.8,12.8,19.2
Kenny Clark,10661,DI,13,GB,19,1,1,9,3,0,0,104.2,0.47,19.0,19.0
Jalen Reeves-Maybin,11879,LB,9,DET,57,4,3,32,0,0,0,97.9,0.56,14.3,19.0
Da'Norris Searcy,6252,S,2,CAR,38,3,2,24,14,0,0,91.0,0.63,12.7,19.0
Casey Hayward Jr.,7064,CB,16,LAC,603,56,32,488,78,3,0,103.9,0.81,10.8,18.8
Devin McCourty,5552,S,16,NE,632,48,34,341,117,5,1,116.8,0.54,13.2,18.6
Tramon Williams,3558,S,16,GB,583,51,32,387,166,8,0,125.6,0.66,11.4,18.2
John Johnson III,11847,S,16,LA,560,41,31,285,113,5,4,94.1,0.51,13.7,18.1
T.J. McDonald,7852,S,14,MIA,485,36,27,375,201,3,3,101.0,0.77,13.5,18.0
Dont'e Deayon,11242,CB,4,NYG,71,7,4,51,11,0,0,80.1,0.72,10.1,17.8
Jordan Whitehead,49196,S,14,TB,389,30,22,220,57,2,0,116.0,0.57,13.0,17.7
Tre'Davious White,11782,CB,16,BUF,524,52,30,357,94,2,2,75.6,0.68,10.1,17.5
Matthias Farley,10953,S,5,IND,104,11,6,77,34,0,1,38.8,0.74,9.5,17.3
Lafayette Pitts,11210,CB,4,BUF,52,7,3,31,28,0,0,56.3,0.6,7.4,17.3
Jimmie Ward,8665,S,9,SF,239,22,14,237,66,4,0,139.6,0.99,10.9,17.1
DeAndre Houston-Carson,10819,S,8,CHI,34,2,2,18,7,0,0,104.2,0.53,17.0,17.0
Harold Landry III,48600,ED,15,TEN,34,2,2,12,3,0,0,91.7,0.35,17.0,17.0
Coty Sensabaugh,7115,CB,15,PIT,459,52,27,295,51,3,0,88.2,0.64,8.8,17.0
Vontae Davis,4948,CB,1,BUF,17,1,1,10,0,1,0,147.9,0.59,17.0,17.0
Byron Jones,9460,CB,16,DAL,610,69,37,481,94,2,0,85.5,0.79,8.8,16.5
Rudy Ford,11963,S,4,ARZ,33,2,2,77,25,1,0,158.3,2.33,16.5,16.5
A.J. Klein,7930,LB,16,NO,327,26,20,212,99,0,1,84.1,0.65,12.6,16.4
Jabrill Peppers,11780,S,16,CLV,391,35,24,249,125,5,1,116.5,0.64,11.2,16.3
Dre Kirkpatrick,7023,CB,13,CIN,457,63,28,415,107,3,0,82.4,0.91,7.3,16.3
Benardrick McKinney,9476,LB,16,HST,480,44,30,290,189,2,1,92.0,0.6,10.9,16.0
Josh Robinson,7068,CB,4,NO,16,2,1,9,3,0,0,62.5,0.56,8.0,16.0
Jason Pierre-Paul,5540,ED,16,TB,16,1,1,4,2,0,0,83.3,0.25,16.0,16.0
Anthony Barr,8644,LB,13,MIN,353,30,22,207,167,3,0,125.3,0.59,11.8,16.0
Aaron Lynch,8785,ED,13,CHI,32,3,2,41,20,1,1,109.7,1.28,10.7,16.0
Marcus Sherels,6017,CB,2,MIN,16,1,1,24,18,0,0,118.8,1.5,16.0,16.0
Shamarko Thomas,7893,S,2,DEN,16,1,1,4,0,1,0,122.9,0.25,16.0,16.0
Brandon Copeland,8378,ED,16,NYJ,48,5,3,13,9,0,0,64.6,0.27,9.6,16.0
William Jackson III,10658,CB,16,CIN,604,69,38,493,152,5,0,101.9,0.82,8.8,15.9
Ricardo Allen,8782,S,3,ATL,126,13,8,61,30,0,1,40.9,0.48,9.7,15.8
Shawn Williams,7865,S,16,CIN,523,42,33,457,169,6,5,112.0,0.87,12.5,15.8
Devon Kennard,8809,ED,15,DET,78,6,5,35,37,1,0,130.6,0.45,13.0,15.6
Marcus Gilchrist,6202,S,16,OAK,452,50,29,280,85,6,3,88.3,0.62,9.0,15.6
Kentrell Brice,11142,S,14,GB,359,29,23,341,141,3,0,150.1,0.95,12.4,15.6
Jeff Heath,8396,S,16,DAL,592,49,38,393,210,2,1,105.2,0.66,12.1,15.6
Melvin Ingram III,7024,ED,16,LAC,31,2,2,6,12,1,1,79.2,0.19,15.5,15.5
Maurice Smith,51190,S,2,MIA,31,3,2,32,20,0,0,102.1,1.03,10.3,15.5
Josh Jones,11816,S,11,GB,264,26,17,183,94,1,0,98.7,0.69,10.2,15.5
Darryl Roberts,9680,S,14,NYJ,448,50,29,360,84,4,1,98.8,0.8,9.0,15.4
Stephon Gilmore,7016,CB,16,NE,643,90,42,466,83,5,2,71.8,0.72,7.1,15.3
Antoine Bethea,3152,S,16,ARZ,535,47,35,242,147,2,0,99.8,0.45,11.4,15.3
Daniel Sorensen,9253,S,7,KC,181,17,12,129,46,2,1,107.2,0.71,10.6,15.1
Clayton Fejedelem,10879,S,12,CIN,106,9,7,54,21,1,0,128.7,0.51,11.8,15.1
Morgan Burnett,5596,S,11,PIT,240,27,16,239,61,3,0,125.4,1.0,8.9,15.0
Jason Cabinda,50714,LB,10,OAK,45,6,3,23,9,0,0,59.7,0.51,7.5,15.0
Eric Berry,5530,S,2,KC,45,4,3,35,3,1,0,140.6,0.78,11.3,15.0
Tony Jefferson,8361,S,14,BLT,505,46,34,436,172,3,1,115.9,0.86,11.0,14.9
Xavien Howard,10672,CB,12,MIA,431,57,29,469,190,4,7,62.6,1.09,7.6,14.9
Reggie Gilbert,11147,ED,16,GB,44,3,3,25,13,0,0,101.4,0.57,14.7,14.7
Clayton Geathers,9542,S,12,IND,406,37,28,255,165,1,0,102.9,0.63,11.0,14.5
B.W. Webb,7896,CB,16,NYG,566,66,39,530,159,1,1,83.5,0.94,8.6,14.5
Marcell Harris,51408,S,7,SF,159,15,11,90,45,2,0,127.8,0.57,10.6,14.5
Kevin King,11788,CB,6,GB,173,23,12,153,63,2,1,84.1,0.88,7.5,14.4
Vincent Rey,5811,LB,8,CIN,57,5,4,46,28,0,0,105.0,0.81,11.4,14.3
Adrian Phillips,9177,S,16,LAC,441,56,31,457,200,3,1,92.6,1.04,7.9,14.2
Myles Jack,10670,LB,16,JAX,526,47,37,370,201,1,1,97.7,0.7,11.2,14.2
Chuck Clark,11941,S,13,BLT,156,16,11,133,46,3,1,107.6,0.85,9.8,14.2
Michael Thomas,7279,S,16,NYG,297,33,21,180,74,1,2,62.7,0.61,9.0,14.1
Minkah Fitzpatrick,51206,CB,16,MIA,494,62,35,416,194,1,2,69.0,0.84,8.0,14.1
Rashaan Evans,50213,LB,14,TEN,197,17,14,127,65,0,0,97.8,0.64,11.6,14.1
Brennan Scarlett,11169,LB,7,HST,42,5,3,18,13,0,1,27.5,0.43,8.4,14.0
Takkarist McKinley,11781,ED,15,ATL,14,1,1,17,24,0,0,118.8,1.21,14.0,14.0
Marcus Cooper,8035,CB,4,DET,28,3,2,8,5,1,0,109.7,0.29,9.3,14.0
Jacob Martin,50152,ED,16,SEA,14,1,1,23,8,0,0,118.8,1.64,14.0,14.0
Vonn Bell,10695,S,16,NO,474,47,34,334,122,2,0,106.2,0.7,10.1,13.9
Mike Mitchell,4970,S,8,IND,139,11,10,77,42,0,1,58.0,0.55,12.6,13.9
Kurt Coleman,5767,S,16,NO,179,14,13,128,78,2,0,144.3,0.72,12.8,13.8
D.J. Reed Jr.,26940,S,11,SF,193,15,14,113,63,2,0,137.6,0.59,12.9,13.8
David Amerson,7832,CB,6,ARZ,151,21,11,117,26,1,1,65.0,0.77,7.2,13.7
Ronnie Harrison,49206,S,12,JAX,164,16,12,93,36,0,1,62.8,0.57,10.3,13.7
Reggie Ragland,10675,LB,16,KC,233,22,17,188,142,2,1,113.4,0.81,10.6,13.7
Tyrann Mathieu,7850,S,16,HST,630,64,46,563,266,5,2,111.7,0.89,9.8,13.7
Sharrod Neasman,11050,S,11,ATL,260,29,19,172,58,4,0,121.0,0.66,9.0,13.7
Matthew Judon,10780,ED,16,BLT,108,11,8,73,65,0,0,90.3,0.68,9.8,13.5
Chris Conte,6245,S,3,TB,81,6,6,130,81,1,0,158.3,1.6,13.5,13.5
DeShawn Shead,7450,CB,12,DET,176,18,13,228,61,2,0,151.4,1.3,9.8,13.5
Andrew Adams,11240,S,12,TB,216,28,16,169,70,0,4,35.3,0.78,7.7,13.5
Natrell Jamerson,50440,CB,4,GB,54,5,4,111,68,1,0,158.3,2.06,10.8,13.5
Derwin James,51368,S,16,LAC,550,58,41,291,267,2,3,71.8,0.53,9.5,13.4
Logan Ryan,7864,CB,14,TEN,481,52,36,414,179,3,0,112.2,0.86,9.3,13.4
Malcolm Jenkins,4937,S,16,PHI,645,63,48,481,262,3,1,106.6,0.75,10.2,13.4
Matt Milano,11918,LB,13,BUF,356,44,27,285,202,2,3,67.0,0.8,8.1,13.2
Fabian Moreau,11836,CB,16,WAS,529,61,40,578,273,3,1,105.8,1.09,8.7,13.2
Isaiah Johnson,10935,S,12,TB,209,19,16,248,86,3,1,136.4,1.19,11.0,13.1
Morris Claiborne,7012,CB,15,NYJ,588,80,45,662,212,4,2,89.7,1.13,7.4,13.1
Stephen Weatherly,10861,ED,16,MIN,13,2,1,19,21,0,0,83.3,1.46,6.5,13.0
Al Woods,5646,DI,14,IND,13,1,1,13,1,0,0,118.8,1.0,13.0,13.0
K.J. Wright,6251,LB,5,SEA,130,15,10,80,59,1,0,102.1,0.62,8.7,13.0
John Simon,7911,ED,11,NE,13,1,1,20,5,0,0,118.8,1.54,13.0,13.0
Nicholas Grigsby,11187,LB,4,DET,13,2,1,10,12,0,0,64.6,0.77,6.5,13.0
Emmanuel Ogbah,10666,ED,14,CLV,13,1,1,19,5,0,0,118.8,1.46,13.0,13.0
Gareon Conley,11779,CB,14,OAK,349,50,27,369,144,3,3,72.8,1.06,7.0,12.9
Quandre Diggs,9633,S,16,DET,536,55,42,471,208,3,3,96.9,0.88,9.7,12.8
Leonard Floyd,10643,ED,16,CHI,102,12,8,68,31,1,1,74.3,0.67,8.5,12.8
Jordan Hicks,9517,LB,12,PHI,419,43,33,397,306,1,0,112.3,0.95,9.7,12.7
Brandon Marshall,7648,LB,11,DEN,253,28,20,241,142,0,0,97.5,0.95,9.0,12.7
George Odum,31342,S,9,IND,114,12,9,69,54,1,1,81.6,0.61,9.5,12.7
Pierre Desir,8762,CB,15,IND,534,71,42,566,192,2,1,88.1,1.06,7.5,12.7
