player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Isaiah Johnson,10935,S,8,TB,13,1,0,0,0,0,0,39.6,0.0,13.0,
Quenton Meeks,38566,CB,1,JAX,4,1,0,0,0,0,0,39.6,0.0,4.0,
Nathan Gerry,11940,LB,1,PHI,1,1,0,0,0,0,0,39.6,0.0,1.0,
Benardrick McKinney,9476,LB,4,HST,8,1,0,0,0,0,0,39.6,0.0,8.0,
Jason Cabinda,50714,LB,2,OAK,3,1,0,0,0,0,0,39.6,0.0,3.0,
Will Compton,8308,LB,1,TEN,1,1,0,0,0,0,0,39.6,0.0,1.0,
Jarrod Wilson,10902,S,5,JAX,11,3,0,0,0,0,0,39.6,0.0,3.7,
Leonard Floyd,10643,ED,9,CHI,19,1,0,0,0,0,0,39.6,0.0,19.0,
Dylan Cole,24304,LB,1,HST,3,1,0,0,0,0,0,39.6,0.0,3.0,
George Iloka,7159,S,4,MIN,14,1,0,0,0,0,0,39.6,0.0,14.0,
Emmanuel Lamur,7561,LB,6,NYJ,10,1,0,0,0,0,0,39.6,0.0,10.0,
Trae Waynes,9444,CB,8,MIN,17,1,0,0,0,0,0,39.6,0.0,17.0,
Ryan Kerrigan,6168,ED,6,WAS,10,1,0,0,0,0,0,39.6,0.0,10.0,
Kevin Minter,7826,LB,1,TB,1,1,0,0,0,0,0,39.6,0.0,1.0,
Cyrus Jones,10694,S,2,BLT,2,1,0,0,0,0,0,39.6,0.0,2.0,
Tracy Walker,51266,S,10,DET,18,2,0,0,0,0,0,39.6,0.0,9.0,
Armani Watts,51264,S,3,KC,9,1,0,0,0,0,0,39.6,0.0,9.0,
James Bradberry,10696,CB,12,CAR,30,5,0,0,0,0,0,39.6,0.0,6.0,
Tre Herndon,50380,CB,2,JAX,10,2,0,0,0,0,0,39.6,0.0,5.0,
Connor Barwin,4969,ED,1,NYG,1,1,0,0,0,0,0,39.6,0.0,1.0,
Aaron Lynch,8785,ED,6,CHI,9,1,0,0,0,0,1,0.0,0.0,9.0,
Pierre Desir,8762,CB,8,IND,10,4,0,0,0,0,0,39.6,0.0,2.5,
Jordan Poyer,8000,S,15,BUF,49,2,1,11,5,0,1,27.1,0.22,24.5,49.0
Jayon Brown,11910,LB,15,TEN,45,3,1,12,7,0,0,46.5,0.27,15.0,45.0
Denzel Ward,49558,CB,13,CLV,45,7,1,4,6,0,0,39.6,0.09,6.4,45.0
Damarious Randall,9463,S,13,CLV,35,4,1,20,12,0,0,47.9,0.57,8.8,35.0
Byron Jones,9460,CB,15,DAL,33,5,1,17,1,0,0,41.3,0.52,6.6,33.0
Micah Hyde,7941,S,15,BUF,88,7,3,11,4,1,1,50.3,0.13,12.6,29.3
Kurt Coleman,5767,S,11,NO,28,1,1,20,23,0,0,118.8,0.71,28.0,28.0
Antone Exum Jr.,8817,S,9,SF,27,1,1,8,5,0,0,100.0,0.3,27.0,27.0
Steven Nelson,9531,CB,13,KC,26,4,1,21,8,0,1,9.4,0.81,6.5,26.0
Delano Hill,11849,S,7,SEA,23,3,1,5,3,0,0,42.4,0.22,7.7,23.0
Adrian Amos,9575,S,15,CHI,68,3,3,12,3,0,0,83.3,0.18,22.7,22.7
Johnathan Joseph,2969,CB,11,HST,22,5,1,23,21,0,0,46.3,1.05,4.4,22.0
John Johnson III,11847,S,15,LA,43,4,2,10,0,1,0,95.8,0.23,10.8,21.5
Sean Chandler,51315,S,9,NYG,40,2,2,50,25,1,0,158.3,1.25,20.0,20.0
Corey Graham,3784,S,11,PHI,59,3,3,10,2,0,0,80.6,0.17,19.7,19.7
Jamal Adams,11761,S,15,NYJ,118,14,6,97,39,1,1,60.7,0.82,8.4,19.7
Duke Riley,11830,LB,9,ATL,38,5,2,55,34,1,0,120.8,1.45,7.6,19.0
Duron Harmon,7872,S,10,NE,19,1,1,12,1,0,0,116.7,0.63,19.0,19.0
Anthony Harris,9895,S,11,MIN,38,5,2,24,25,0,1,15.8,0.63,7.6,19.0
Chuck Clark,11941,S,11,BLT,38,4,2,20,3,1,1,64.6,0.53,9.5,19.0
Karl Joseph,10648,S,9,OAK,36,3,2,34,6,1,0,144.4,0.94,12.0,18.0
Kenny Vaccaro,7796,S,11,TEN,53,6,3,18,8,0,1,16.7,0.34,8.8,17.7
Devante Bond,10817,LB,7,TB,17,3,1,11,6,0,0,45.1,0.65,5.7,17.0
Tre Flowers,49059,CB,13,SEA,34,9,2,20,5,0,0,39.6,0.59,3.8,17.0
Chidobe Awuzie,11815,CB,9,DAL,17,1,1,34,5,0,0,118.8,2.0,17.0,17.0
Aqib Talib,4334,CB,6,LA,17,1,1,8,6,0,0,100.0,0.47,17.0,17.0
Earl Thomas III,5539,S,4,SEA,17,3,1,18,7,0,0,54.9,1.06,5.7,17.0
Josh Norman,7649,CB,13,WAS,33,4,2,24,4,1,1,68.8,0.73,8.3,16.5
DeShawn Shead,7450,CB,12,DET,65,5,4,65,41,0,0,118.8,1.0,13.0,16.3
Eric Reid,7799,S,12,CAR,49,5,3,36,28,0,0,82.1,0.73,9.8,16.3
K.J. Wright,6251,LB,4,SEA,16,1,1,4,0,0,0,83.3,0.25,16.0,16.0
Patrick Robinson,5557,CB,3,NO,64,4,4,37,13,0,0,105.2,0.58,16.0,16.0
Zach Brown,7055,LB,13,WAS,32,4,2,31,7,0,0,76.0,0.97,8.0,16.0
Josh Robinson,7068,CB,3,NO,16,2,1,9,3,0,0,62.5,0.56,8.0,16.0
Andre Hal,8850,S,7,HST,16,1,1,5,0,1,0,127.1,0.31,16.0,16.0
Dont'e Deayon,11242,CB,4,NYG,62,7,4,51,11,0,0,80.1,0.82,8.9,15.5
Terrell Edmunds,51334,S,16,PIT,123,12,8,41,25,0,0,71.9,0.33,10.3,15.4
Telvin Smith Sr.,8779,LB,14,JAX,61,8,4,32,17,0,0,60.4,0.52,7.6,15.3
Michael Thomas,7279,S,15,NYG,76,11,5,34,16,0,1,15.0,0.45,6.9,15.2
Devon Kennard,8809,ED,11,DET,15,1,1,3,6,0,0,79.2,0.2,15.0,15.0
Derrick Kindred,10763,S,16,CLV,45,3,3,33,21,0,0,112.5,0.73,15.0,15.0
Patrick Onwuasor,11100,LB,11,BLT,15,3,1,20,3,0,0,57.6,1.33,5.0,15.0
Levi Wallace,25445,CB,6,BUF,15,1,1,4,0,1,0,122.9,0.27,15.0,15.0
Jessie Bates III,49162,S,14,CIN,44,6,3,78,65,0,0,95.8,1.77,7.3,14.7
Christian Kirksey,8706,LB,7,CLV,44,8,3,30,14,0,1,9.4,0.68,5.5,14.7
Will Parks,10853,S,15,DEN,73,10,5,87,38,0,1,40.4,1.19,7.3,14.6
Danny Trevathan,7177,LB,15,CHI,72,8,5,110,94,1,0,145.8,1.53,9.0,14.4
Eric Weddle,3653,S,16,BLT,86,9,6,39,17,0,0,75.7,0.45,9.6,14.3
C.J. Mosley,8652,LB,9,BLT,14,3,1,8,8,0,0,42.4,0.57,4.7,14.0
Joe Schobert,10733,LB,5,CLV,14,3,1,2,2,0,0,42.4,0.14,4.7,14.0
Eddie Jackson,11867,S,14,CHI,70,8,5,35,25,0,1,32.8,0.5,8.8,14.0
Matt Milano,11918,LB,13,BUF,41,7,3,27,21,0,1,14.3,0.66,5.9,13.7
Daniel Sorensen,9253,S,6,KC,27,3,2,20,2,0,0,85.4,0.74,9.0,13.5
