player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Julius Peppers,1010,ED,16,CAR,506,344,151,11,75.8,73.4,80.3,66.7,72.0,28,5,6,17,5,11,4,0,14,2,2,1,18,18.0,11,18,0,0,1,81.3,2,1
Terrell Suggs,1326,ED,16,BLT,743,443,233,67,71.1,64.9,43.4,73.6,58.7,54,8,7,39,5,18,9,8,20,1,8,5,72,14.4,59,31,0,0,0,91.7,4,1
Mike Adams,1972,S,16,CAR,938,32,340,566,51.4,61.8,82.2,67.3,45.3,8,0,2,6,0,59,14,4,18,0,34,27,446,16.5,155,75,5,3,2,121.6,1,0
Adam Jones,2223,CB,6,DEN,148,0,46,102,64.2,68.0,44.0,,62.8,0,0,0,0,0,9,1,3,2,0,15,10,90,9.0,62,30,0,1,2,54.9,1,0
Thomas Davis Sr.,2231,LB,12,CAR,649,67,252,330,74.5,64.0,66.9,74.0,74.4,7,0,2,5,1,56,15,7,29,0,47,36,340,9.4,214,28,2,0,5,110.2,0,0
Derrick Johnson,2232,LB,6,OAK,152,12,51,89,65.2,60.1,42.6,46.7,68.6,1,0,0,1,0,14,1,4,6,0,3,3,29,9.7,3,11,0,0,0,106.9,0,0
Darren Sproles,2347,HB,2,PHI,2,0,0,2,70.4,,,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Lorenzo Alexander,2476,LB,16,BUF,629,240,257,132,86.6,82.5,81.1,70.5,79.8,38,7,4,27,3,49,12,3,32,2,30,23,171,7.4,137,22,0,2,3,61.9,0,0
Haloti Ngata,2957,DI,13,PHI,368,213,154,1,69.4,72.6,43.8,57.4,59.7,9,1,2,6,1,11,5,2,10,1,0,0,0,,0,,0,0,0,0.0,0,0
Johnathan Joseph,2969,CB,14,HST,811,1,280,530,80.4,68.8,32.9,59.1,80.7,0,0,0,0,0,52,6,13,21,0,84,47,591,12.6,178,48,2,2,6,76.0,1,0
Frostee Rucker,3036,ED,15,OAK,549,231,312,6,62.0,65.1,34.9,48.9,65.4,14,0,4,10,2,32,5,9,22,0,1,0,0,,0,,0,0,0,39.6,0,0
Domata Peko Sr.,3068,DI,16,DEN,523,261,262,0,72.4,77.7,43.3,59.0,86.3,8,1,2,5,2,23,9,4,19,0,0,0,0,,0,,0,0,0,0.0,7,0
Kyle Williams,3079,DI,16,BUF,657,413,240,4,71.0,69.8,56.8,65.5,62.8,34,8,7,19,1,17,7,3,16,1,0,0,0,,0,,0,0,0,0.0,2,0
Antoine Bethea,3152,S,16,ARZ,1111,46,499,566,64.2,52.0,62.7,61.3,73.5,12,3,3,6,0,103,17,17,31,1,47,35,242,6.9,147,21,2,0,3,99.8,4,0
Tom Johnson,3378,DI,14,MIN,381,251,129,1,62.1,54.9,76.5,61.3,73.3,24,5,3,16,0,17,3,0,12,0,0,0,0,,0,,0,0,0,0.0,1,0
Tramon Williams,3558,S,16,GB,1062,15,425,622,63.3,63.3,66.5,50.3,62.6,3,0,0,3,0,44,7,8,9,0,51,32,387,12.1,166,55,8,0,2,125.6,1,0
