player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Marcus Murphy,9663,HB,1,BUF,2,2,0,2,0.0
Ben Koyack,9662,TE,16,JAX,5,5,0,5,0.0
Aaron Ripkowski,9639,FB,16,GB,7,7,0,7,0.0
Randall Telfer,9631,TE,15,CLV,4,3,0,3,0.0
Cameron Artis-Payne,9607,HB,3,CAR,1,1,0,1,0.0
Brian Quick,7037,WR,7,WAS,8,6,0,6,0.0
Nick Boyle,9604,TE,15,BLT,35,28,0,28,0.0
Michael Burton,9601,FB,16,CHI,3,2,0,2,0.0
Brett Hundley,9580,QB,1,GB,1,1,0,1,0.0
Blake Bell,9550,TE,13,MIN,4,3,0,3,0.0
Ty Montgomery,9527,HB,7,GB,26,22,0,22,0.0
Lamar Miller,7097,HB,16,HST,41,35,0,35,0.0
Sammie Coates,9520,WR,9,CLV,10,6,0,6,0.0
Robert Turbin,7106,HB,6,IND,11,9,0,9,0.0
Orson Charles,7116,TE,5,KC,2,2,0,2,0.0
Jarius Wright,7118,WR,16,MIN,23,18,0,18,0.0
David Johnson,9519,HB,1,ARZ,8,6,0,6,0.0
Chris Conley,9509,WR,5,KC,16,11,0,11,0.0
Jaelen Strong,9503,WR,2,JAX,4,3,0,3,0.0
James Hanna,7175,TE,16,DAL,7,4,0,4,0.0
Clive Walford,9501,TE,11,OAK,13,9,0,9,0.0
Phillip Supernaw,7324,TE,12,TEN,6,4,0,4,0.0
Maxx Williams,9488,TE,11,BLT,16,15,0,15,0.0
Lance Dunbar,7332,HB,3,LA,2,1,0,1,0.0
Griff Whalen,7351,WR,2,BLT,5,4,0,4,0.0
Ameer Abdullah,9487,HB,14,DET,31,25,0,25,0.0
Keith Smith,9302,FB,11,DAL,5,5,0,5,0.0
Freddie Martino,9292,WR,7,TB,6,5,0,5,0.0
Branden Oliver,9286,HB,8,LAC,9,6,0,6,0.0
Fitzgerald Toussaint,9244,HB,4,PIT,3,2,0,2,0.0
