year,player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
2017,Shane Vereen,6208,HB,16,NYG,228,52,22.8,7,3.1,1,14.3,1,0,7,1,0,0,100
2017,Tevin Coleman,9506,HB,15,ATL,200,36,18,19,9.5,4,21.1,4,0,58,3.05,1,0,100
2017,Maxx Williams,9488,TE,11,BLT,81,16,19.8,18,22.2,1,5.6,1,0,6,0.33,0,0,100
2017,Ameer Abdullah,9487,HB,14,DET,158,31,19.6,4,2.5,3,75,3,0,19,4.75,0,0,100
2017,Frank Gore,2282,HB,16,IND,198,36,18.2,7,3.5,1,14.3,1,0,4,0.57,0,0,100
2017,Darren Sproles,2347,HB,3,PHI,60,12,20,6,10,3,50,3,0,32,5.33,0,0,100
2017,Vernon Davis,2951,TE,16,WAS,389,68,17.5,95,24.4,12,12.6,12,0,246,2.59,1,0,100
2017,Melvin Gordon III,9448,HB,16,LAC,319,73,22.9,8,2.5,2,25,2,0,16,2,0,0,100
2017,Chris Thompson,12330,WR,7,HST,61,6,9.8,9,14.8,1,11.1,1,0,19,2.11,0,0,100
2017,Brandon Marshall,3064,WR,5,NYG,170,32,18.8,7,4.1,1,14.3,1,0,11,1.57,0,0,100
2017,Todd Gurley II,9443,HB,15,LA,368,76,20.7,5,1.4,1,20,1,0,3,0.6,1,0,100
2017,Keith Smith,9302,FB,11,DAL,25,5,20,7,28,3,42.9,3,0,11,1.57,0,0,100
2017,Blake Bell,9550,TE,13,MIN,54,4,7.4,21,38.9,1,4.8,1,0,6,0.29,0,0,100
2017,Austin Ekeler,12164,HB,13,LAC,122,31,25.4,11,9,2,18.2,2,0,11,1,0,0,100
2017,Bernard Reedy,9228,WR,5,NE,9,2,22.2,5,55.6,1,20,1,0,15,3,0,0,100
2017,Matt Dayes,12006,HB,6,CLV,25,5,20,1,4,1,100,1,0,8,8,0,0,100
2017,Aaron Jones,11937,HB,9,GB,109,13,11.9,11,10.1,3,27.3,3,0,5,0.45,0,0,100
2017,Damien Williams,9205,HB,11,MIA,110,26,23.6,2,1.8,1,50,1,0,13,6.5,0,0,100
2017,Ryan Hewitt,9107,TE,11,CIN,24,2,8.3,3,12.5,1,33.3,1,0,16,5.33,0,0,100
2017,Javorius Allen,9558,HB,16,BLT,218,55,25.2,7,3.2,3,42.9,3,0,14,2,0,0,100
2017,Charcandrick West,9047,HB,13,KC,160,31,19.4,5,3.1,2,40,2,0,16,3.2,0,0,100
2017,Jamaal Charles,4387,HB,14,DEN,104,27,26,5,4.8,4,80,4,0,16,3.2,0,0,100
2017,Nick Boyle,9604,TE,15,BLT,216,35,16.2,56,25.9,8,14.3,8,0,58,1.04,0,0,100
2017,Ben Koyack,9662,TE,16,JAX,106,5,4.7,30,28.3,3,10,3,0,31,1.03,0,0,100
2017,Devonta Freeman,8738,HB,13,ATL,261,41,15.7,17,6.5,3,17.6,3,0,10,0.59,0,0,100
2017,Chris Conley,9509,WR,5,KC,168,16,9.5,21,12.5,2,9.5,2,0,43,2.05,0,0,100
2017,Jamal Agnew,11920,CB,4,DET,5,2,40,3,60,2,66.7,2,0,18,6,0,0,100
2017,Jerick McKinnon,8731,HB,16,MIN,276,61,22.1,8,2.9,1,12.5,1,0,2,0.25,1,0,100
2017,Chad Hansen,11896,WR,14,NYJ,227,15,6.6,39,17.2,2,5.1,2,0,22,0.56,0,0,100
2017,Kenny Britt,4953,WR,12,NE,253,40,15.8,22,8.7,1,4.5,1,0,2,0.09,0,0,100
2017,Terrance West,8729,HB,5,BLT,17,4,23.5,1,5.9,1,100,1,0,8,8,0,0,100
2017,Wayne Gallman,11895,HB,13,NYG,165,42,25.5,2,1.2,1,50,1,0,5,2.5,0,0,100
2017,Marcus Murphy,9663,HB,1,BUF,3,2,66.7,1,33.3,1,100,1,0,5,5,0,0,100
2017,Tre McBride,9678,WR,7,CHI,116,15,12.9,16,13.8,2,12.5,2,0,43,2.69,0,0,100
2017,Louis Murphy Jr.,5048,WR,7,SF,103,16,15.5,26,25.2,3,11.5,3,0,42,1.62,0,0,100
2017,Quan Bray,9700,WR,6,IND,33,3,9.1,19,57.6,1,5.3,1,0,3,0.16,0,0,100
2017,Eric Tomlinson,9786,TE,14,NYJ,95,10,10.5,14,14.7,1,7.1,1,0,6,0.43,0,0,100
2017,Malcolm Brown,9902,HB,11,LA,62,11,17.7,3,4.8,1,33.3,1,0,-4,-1.33,0,0,100
2017,Ezekiel Elliott,10638,HB,10,DAL,267,33,12.4,17,6.4,1,5.9,1,0,2,0.12,0,0,100
2017,Jordan Howard,10784,HB,16,CHI,190,31,16.3,1,0.5,1,100,1,0,11,11,0,0,100
2017,Wendell Smallwood,10787,HB,7,PHI,83,16,19.3,4,4.8,1,25,1,0,5,1.25,0,0,100
2017,Josh Malone,11883,WR,11,CIN,151,16,10.6,10,6.6,1,10,1,0,6,0.6,0,0,100
