player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
Tion Green,12185,HB,5,DET,2,2,14,33,0.42
Josh Malone,11883,WR,11,CIN,16,6,63,151,0.42
Chad Hansen,11896,WR,14,NYJ,15,9,94,227,0.41
Cameron Artis-Payne,9607,HB,3,CAR,1,1,2,5,0.4
MarQueis Gray,8286,TE,11,MIA,3,1,10,25,0.4
DeAndrew White,9697,WR,2,HST,5,1,24,60,0.4
Rob Kelley,11090,HB,7,WAS,5,4,18,46,0.39
Jehu Chesson,11894,WR,4,KC,4,2,18,46,0.39
Mike Gillislee,7946,HB,8,NE,1,1,15,38,0.39
Kamar Aiken,6671,WR,15,IND,38,15,133,354,0.38
Derrick Coleman,7377,FB,15,ATL,6,2,20,53,0.38
Breshad Perriman,9459,WR,11,BLT,31,10,77,215,0.36
Ben Koyack,9662,TE,16,JAX,5,5,38,106,0.36
Garrett Griffin,11439,TE,3,NO,1,1,4,11,0.36
Darrell Daniels,12122,TE,12,IND,12,3,26,72,0.36
Blake Bell,9550,TE,13,MIN,4,3,19,54,0.35
Chris Manhertz,10211,TE,14,CAR,4,2,17,48,0.35
Isaiah McKenzie,11927,WR,10,DEN,12,4,29,84,0.35
Cobi Hamilton,7978,WR,2,HST,6,1,8,26,0.31
Charone Peake,10875,WR,3,NYJ,1,1,3,10,0.3
Senorise Perry,9035,HB,2,MIA,1,1,3,11,0.27
Kevin White,9440,WR,1,CHI,4,2,6,24,0.25
Zach Line,8420,FB,11,NO,4,2,8,37,0.22
Michael Burton,9601,FB,16,CHI,3,2,8,40,0.2
Aaron Jones,11937,HB,9,GB,13,9,22,109,0.2
Matt Hazel,8825,WR,3,CLV,1,1,1,6,0.17
Roosevelt Nix,10269,FB,13,PIT,3,2,6,35,0.17
Lance Dunbar,7332,HB,3,LA,2,1,1,15,0.07
Jeff Cumberland,5861,TE,7,LAC,3,2,2,34,0.06
Stacy Coley,11974,WR,3,MIN,1,0,0,11,0.0
Cam Erving,9452,G,1,KC,1,0,0,1,0.0
Logan Paulsen,5795,TE,10,SF,2,0,0,32,0.0
Vince Mayle,9556,TE,5,BLT,1,0,0,7,0.0
Isaac Whitney,12251,WR,1,OAK,1,0,0,2,0.0
Matt LaCosse,9840,TE,5,DEN,1,0,0,16,0.0
David Fluellen,9184,HB,2,TEN,1,0,0,2,0.0
Adoree' Jackson,11773,CB,3,TEN,1,0,0,6,0.0
Cody Core,10833,WR,7,CIN,4,0,0,43,0.0
K.J. Brent,11349,WR,4,IND,1,0,0,8,0.0
Gabe Holmes,9980,TE,2,ARZ,1,0,0,5,0.0
John Ross,11764,WR,3,CIN,2,0,0,9,0.0
Cethan Carter,47149,TE,5,CIN,1,0,0,10,0.0
C.J. Spiller,5534,HB,1,KC,2,0,0,9,0.0
Ty Sambrailo,9492,T,2,ATL,1,0,0,2,0.0
Marquez Williams,11995,FB,1,CLV,1,0,0,3,0.0
Marquis Bundy,11429,WR,1,NYG,3,0,0,25,0.0
Zach Zenner,9761,HB,8,DET,1,0,0,19,0.0
Ed Eagan,11121,WR,1,NYG,1,0,0,3,0.0
Devante Mays,11994,HB,2,GB,3,3,0,9,0.0
