year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2017,DeVante Parker,9447,WR,13,MIA,95,57,60,670,1,69.5,68.7,69.2,41.8,,11.8,201,3.5,36,34,4,6,1,8,58.7,0,0
2017,Stefon Diggs,9579,WR,14,MIN,94,64,68.1,849,8,81.7,83.4,79.6,82.1,,13.3,297,4.6,59,43,4,1,0,8,120.4,4,1
2017,Mohamed Sanu,7084,WR,15,ATL,94,67,71.3,703,5,76.8,75.1,67.4,81.7,69.9,10.5,248,3.7,25,41,5,2,0,3,101.5,2,0
2017,Jimmy Graham,5619,TE,16,SEA,92,57,62,520,10,66,65.3,38.6,80.3,65,9.1,213,3.7,33,32,7,4,0,6,95.4,2,0
2017,Marqise Lee,8674,WR,14,JAX,91,56,61.5,702,3,77.4,76.6,44.3,81.8,,12.5,295,5.3,45,39,8,3,1,9,82.8,5,0
2017,Nelson Agholor,9453,WR,16,PHI,91,62,68.1,768,8,73.1,72.3,65,80.7,,12.4,317,5.1,72,35,5,2,0,6,114.2,0,0
2017,Cooper Kupp,11824,WR,15,LA,90,62,68.9,869,5,78.3,78.5,52.4,43.8,75.7,14,367,5.9,64,42,7,1,1,15,113.6,3,1
2017,Amari Cooper,9437,WR,14,OAK,90,48,53.3,680,7,63.6,62.9,29.7,52.4,,14.2,300,6.3,87,29,10,5,1,6,80.8,2,0
2017,Duke Johnson Jr.,9510,HB,16,CLV,90,74,82.2,693,3,78.2,89.4,77.6,36.9,70.1,9.4,632,8.5,41,33,3,3,2,24,96,1,0
2017,Mike Wallace,5007,WR,15,BLT,87,52,59.8,748,4,69,69,72.5,79.6,,14.4,155,3,66,33,3,2,0,5,93.5,1,0
2017,DeSean Jackson,4363,WR,14,TB,87,50,57.5,668,3,76.8,76.8,86.6,79.9,,13.4,190,3.8,41,36,1,4,0,1,74.3,0,0
2017,Emmanuel Sanders,5606,WR,12,DEN,87,47,54,555,2,68.1,67.1,41.5,79.6,,11.8,158,3.4,38,30,5,1,0,4,76.6,1,0
2017,Brandon LaFell,5602,WR,16,CIN,86,52,60.5,548,3,57.8,57.7,59,37.4,,10.5,245,4.7,45,25,4,2,1,3,81,1,0
2017,Randall Cobb,6216,WR,15,GB,85,66,77.6,653,4,64.4,64.8,80.4,51.5,76,9.9,421,6.4,46,29,2,2,1,5,104.6,3,1
2017,Rishard Matthews,7211,WR,14,TEN,84,53,63.1,795,4,74.4,73.1,60.1,79.8,,15,277,5.2,75,36,4,6,0,7,80.2,0,0
2017,Jordy Nelson,4350,WR,15,GB,84,53,63.1,482,6,68.6,67.2,80.1,79.6,,9.1,138,2.6,58,38,2,6,0,3,72.6,0,0
2017,Eric Decker,5611,WR,16,TEN,83,54,65.1,563,1,69.7,67.6,60,80.1,80,10.4,133,2.5,29,31,5,0,0,1,88.6,4,1
2017,Sterling Shepard,10674,WR,11,NYG,83,59,71.1,731,2,70.7,70.6,69.8,45.8,,12.4,303,5.1,77,36,4,0,1,5,106,2,0
2017,Carlos Hyde,8692,HB,16,SF,83,59,71.1,350,0,58,41.3,39.3,75.1,46.9,5.9,335,5.7,18,17,9,1,0,9,73.9,2,2
2017,Jared Cook,5012,TE,16,OAK,83,54,65.1,688,2,63.2,64.7,54.4,39.4,79.8,12.7,217,4,35,35,6,1,1,5,93.9,6,0
2017,Adam Humphries,10075,WR,16,TB,82,61,74.4,631,1,63,62.4,70.3,48.2,,10.3,300,4.9,43,34,4,0,1,6,100.2,0,0
2017,Kendall Wright,7026,WR,16,CHI,82,59,72,614,1,73.2,72.3,76.6,80.4,,10.4,193,3.3,22,33,3,1,0,8,92.2,1,0
2017,Martavis Bryant,8753,WR,15,PIT,81,50,61.7,603,3,68,68.5,67.1,82.7,,12.1,179,3.6,51,30,4,2,0,8,86.6,3,0
2017,Eric Ebron,8645,TE,16,DET,81,53,65.4,574,4,69.7,69.9,53.5,38.8,70.5,10.8,263,5,44,30,6,1,1,7,97.5,1,0
2017,Jason Witten,1384,TE,16,DAL,81,63,77.8,560,5,60.6,58.2,85.1,80.8,64.4,8.9,96,1.5,28,26,2,0,1,1,116,4,0
2017,Robert Woods,7822,WR,12,LA,80,56,70,781,5,79.1,76.8,74.7,41.5,81.1,13.9,286,5.1,94,36,3,0,1,6,121.9,3,0
2017,Paul Richardson Jr.,8680,WR,16,SEA,80,44,55,703,6,66.9,66.1,35.1,78.9,,16,126,2.9,61,33,8,1,0,4,104.3,0,0
