player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
Senorise Perry,9035,HB,2,MIA,1,0,0,0,0,0,0,0.0,,
Ryan Hewitt,9107,TE,11,CIN,2,0,0,0,0,0,0,0.0,,
Patrick Ricard,48862,FB,10,BLT,4,0,0,0,0,0,0,0.0,,
De'Veon Smith,45671,HB,1,MIA,3,0,0,0,0,0,0,0.0,,
Frank Gore,2282,HB,16,IND,36,0,0,0,0,0,0,0.0,,
Darren Sproles,2347,HB,3,PHI,12,0,0,0,0,0,0,0.0,,
Emanuel Byrd,25432,TE,1,GB,2,0,0,0,0,0,0,0.0,,
Antony Auclair,24606,TE,7,TB,2,0,0,0,0,0,0,0.0,,
Benny Cunningham,8283,HB,13,CHI,25,0,0,0,0,0,0,0.0,,
MarQueis Gray,8286,TE,11,MIA,3,0,0,0,0,0,0,0.0,,
Cameron Artis-Payne,9607,HB,3,CAR,1,0,0,0,0,0,0,0.0,,
Zach Line,8420,FB,11,NO,4,0,0,0,0,0,0,0.0,,
Michael Burton,9601,FB,16,CHI,3,0,0,0,0,0,0,0.0,,
Jay Ajayi,9582,HB,14,PHI,33,0,0,0,0,0,0,0.0,,
Fozzy Whittaker,8547,HB,8,CAR,6,0,0,0,0,0,0,0.0,,
Brett Hundley,9580,QB,1,GB,1,0,0,0,0,0,0,0.0,,
Mike Davis,9559,HB,6,SEA,17,0,0,0,0,0,0,0.0,,
Javorius Allen,9558,HB,16,BLT,55,0,0,0,0,0,0,0.0,,
Vince Mayle,9556,TE,5,BLT,1,0,0,0,0,0,0,0.0,,
Blake Bell,9550,TE,13,MIN,4,0,0,0,0,0,0,0.0,,
David Johnson,9519,HB,1,ARZ,8,0,0,0,0,0,0,0.0,,
Jaelen Strong,9503,WR,2,JAX,4,0,0,0,0,0,0,0.0,,
Ty Sambrailo,9492,T,2,ATL,1,0,0,0,0,0,0,0.0,,
Maxx Williams,9488,TE,11,BLT,16,0,0,0,0,0,0,0.0,,
T.J. Yeldon,9469,HB,10,JAX,35,0,0,0,0,0,0,0.0,,
Troy Niklas,8687,TE,15,ARZ,20,0,0,0,0,0,0,0.0,,
Cam Erving,9452,G,1,KC,1,0,0,0,0,0,0,0.0,,
Jeremy Hill,8690,HB,7,CIN,4,0,0,0,0,0,0,0.0,,
Melvin Gordon III,9448,HB,16,LAC,73,0,0,0,0,0,0,0.0,,
Allen Robinson II,8696,WR,1,JAX,1,0,0,0,0,0,0,0.0,,
Todd Gurley II,9443,HB,15,LA,76,0,0,0,0,0,0,0.0,,
C.J. Fiedorowicz,8700,TE,5,HST,21,0,0,0,0,0,0,0.0,,
Kevin White,9440,WR,1,CHI,4,0,0,0,0,0,0,0.0,,
Keith Smith,9302,FB,11,DAL,5,0,0,0,0,0,0,0.0,,
Isaiah Crowell,9295,HB,16,CLV,39,0,0,0,0,0,0,0.0,,
Terrance West,8729,HB,5,BLT,4,0,0,0,0,0,0,0.0,,
Freddie Martino,9292,WR,7,TB,6,0,0,0,0,0,0,0.0,,
Devonta Freeman,8738,HB,13,ATL,41,0,0,0,0,0,0,0.0,,
Branden Oliver,9286,HB,8,LAC,9,0,0,0,0,0,0,0.0,,
Fitzgerald Toussaint,9244,HB,4,PIT,3,0,0,0,0,0,0,0.0,,
Bernard Reedy,9228,WR,5,NE,2,0,0,0,0,0,0,0.0,,
Jared Abbrederis,8811,WR,7,DET,7,0,0,0,0,0,0,0.0,,
Alfred Blue,8816,HB,7,HST,8,0,0,0,0,0,0,0.0,,
Matt Hazel,8825,WR,3,CLV,1,0,0,0,0,0,0,0.0,,
Jay Prosch,8845,FB,13,HST,4,0,0,0,0,0,0,0.0,,
Damien Williams,9205,HB,11,MIA,26,0,0,0,0,0,0,0.0,,
Kapri Bibbs,8906,HB,3,WAS,16,0,0,0,0,0,0,0.0,,
David Fluellen,9184,HB,2,TEN,1,0,0,0,0,0,0,0.0,,
Orleans Darkwa,9173,HB,15,NYG,26,0,0,0,0,0,0,0.0,,
Marcus Williams,9115,CB,1,HST,1,0,0,0,0,0,0,0.0,,
Charcandrick West,9047,HB,13,KC,31,0,0,0,0,0,0,0.0,,
Cole Hikutini,12276,TE,3,SF,2,0,0,0,0,0,0,0.0,,
Matt Breida,12271,HB,16,SF,34,0,0,0,0,0,0,0.0,,
Adrian Peterson,3623,HB,10,ARZ,17,0,0,0,0,0,0,0.0,,
Corey Clement,12253,HB,15,PHI,14,0,0,0,0,0,0,0.0,,
Marshawn Lynch,3628,HB,15,OAK,29,0,0,0,0,0,0,0.0,,
Tion Green,12185,HB,5,DET,2,0,0,0,0,0,0,0.0,,
Tanner Gentry,12170,WR,4,CHI,5,0,0,0,0,0,0,0.0,,
Eric Weems,4097,WR,3,TEN,2,0,0,0,0,0,0,0.0,,
Jonathan Stewart,4327,HB,15,CAR,13,0,0,0,0,0,0,0.0,,
Chris Johnson,4338,HB,4,ARZ,6,0,0,0,0,0,0,0.0,,
Matt Dayes,12006,HB,6,CLV,5,0,0,0,0,0,0,0.0,,
Chris Carson,12004,HB,4,SEA,7,0,0,0,0,0,0,0.0,,
Jamaal Charles,4387,HB,14,DEN,27,0,0,0,0,0,0,0.0,,
Harry Douglas,4398,WR,2,TEN,3,0,0,0,0,0,0,0.0,,
Marquez Williams,11995,FB,1,CLV,1,0,0,0,0,0,0,0.0,,
Mike Tolbert,4740,HB,12,BUF,16,0,0,0,0,0,0,0.0,,
Danny Woodhead,4914,HB,8,BLT,37,0,0,0,0,0,0,0.0,,
Devante Mays,11994,HB,2,GB,3,0,0,0,0,0,0,0.0,,
Noah Brown,11993,WR,12,DAL,9,0,0,0,0,0,0,0.0,,
Stacy Coley,11974,WR,3,MIN,1,0,0,0,0,0,0,0.0,,
De'Angelo Henderson Sr.,11958,HB,2,DEN,2,0,0,0,0,0,0,0.0,,
Aaron Jones,11937,HB,9,GB,13,0,0,0,0,0,0,0.0,,
Shelton Gibson,11921,WR,2,PHI,3,0,0,0,0,0,0,0.0,,
Jamal Agnew,11920,CB,4,DET,2,0,0,0,0,0,0,0.0,,
Brian Hill,11911,HB,2,CIN,2,0,0,0,0,0,0,0.0,,
Louis Murphy Jr.,5048,WR,7,SF,16,0,0,0,0,0,0,0.0,,
Jeremy Sprinkle,11909,TE,7,WAS,3,0,0,0,0,0,0,0.0,,
C.J. Spiller,5534,HB,1,KC,2,0,0,0,0,0,0,0.0,,
Jermaine Gresham,5546,TE,14,ARZ,45,0,0,0,0,0,0,0.0,,
Marlon Mack,11898,HB,14,IND,30,0,0,0,0,0,0,0.0,,
Jehu Chesson,11894,WR,4,KC,4,0,0,0,0,0,0,0.0,,
Arrelious Benn,5564,WR,7,JAX,2,0,0,0,0,0,0,0.0,,
Ryan Switzer,11888,WR,13,DAL,7,0,0,0,0,0,0,0.0,,
Michael Roberts,11882,TE,13,DET,5,0,0,0,0,0,0,0.0,,
Samaje Perine,11869,HB,12,WAS,24,0,0,0,0,0,0,0.0,,
D'Onta Foreman,11844,HB,9,HST,7,0,0,0,0,0,0,0.0,,
Andre Roberts,5612,WR,8,ATL,3,0,0,0,0,0,0,0.0,,
Joe Mixon,11803,HB,14,CIN,34,0,0,0,0,0,0,0.0,,
Adam Shaheen,11800,TE,12,CHI,14,0,0,0,0,0,0,0.0,,
Jeff Cumberland,5861,TE,7,LAC,3,0,0,0,0,0,0,0.0,,
LeGarrette Blount,5863,HB,16,PHI,8,0,0,0,0,0,0,0.0,,
Chris Ivory,6007,HB,12,JAX,25,0,0,0,0,0,0,0.0,,
James Develin,6142,FB,15,NE,9,0,0,0,0,0,0,0.0,,
Dalvin Cook,11796,HB,4,MIN,15,0,0,0,0,0,0,0.0,,
Mark Ingram II,6180,HB,16,NO,65,0,0,0,0,0,0,0.0,,
Adoree' Jackson,11773,CB,3,TEN,1,0,0,0,0,0,0,0.0,,
Leonard Fournette,11759,HB,13,JAX,43,0,0,0,0,0,0,0.0,,
Garrett Griffin,11439,TE,3,NO,1,0,0,0,0,0,0,0.0,,
Marquis Bundy,11429,WR,1,NYG,3,0,0,0,0,0,0,0.0,,
Joe Kerridge,11408,FB,1,GB,1,0,0,0,0,0,0,0.0,,
DeMarco Murray,6223,HB,15,TEN,44,0,0,0,0,0,0,0.0,,
Luke Stocker,6256,TE,12,TEN,5,0,0,0,0,0,0,0.0,,
Jalen Richard,11395,HB,16,OAK,31,0,0,0,0,0,0,0.0,,
Bilal Powell,6278,HB,15,NYJ,29,0,0,0,0,0,0,0.0,,
Anthony Sherman,6288,FB,13,KC,7,0,0,0,0,0,0,0.0,,
Jacquizz Rodgers,6297,HB,13,TB,11,0,0,0,0,0,0,0.0,,
Dion Lewis,6301,HB,16,NE,33,0,0,0,0,0,0,0.0,,
Max McCaffrey,11357,WR,3,SF,1,0,0,0,0,0,0,0.0,,
Lee Smith,6311,TE,15,OAK,11,0,0,0,0,0,0,0.0,,
K.J. Brent,11349,WR,4,IND,1,0,0,0,0,0,0,0.0,,
C.J. Ham,11347,FB,15,MIN,8,0,0,0,0,0,0,0.0,,
Elijhaa Penny,11300,HB,10,ARZ,5,0,0,0,0,0,0,0.0,,
Tre Madden,11286,FB,6,SEA,2,0,0,0,0,0,0,0.0,,
Lawrence Thomas,11265,FB,13,NYJ,7,0,0,0,0,0,0,0.0,,
Nick Bellore,6515,LB,1,DET,1,0,0,0,0,0,0,0.0,,
Ryan Malleck,11247,TE,2,HST,1,0,0,0,0,0,0,0.0,,
