year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,Josh Oliver,47083,TE,4,JAX,6,3,50,15,0,42.9,41.4,36.2,65.8,,5,6,2,6,0,1,1,0,0,16.7,0,0
2019,Stephen Carlson,94365,TE,9,CLV,6,5,83.3,51,1,61.2,65.3,73.4,69.5,77.3,10.2,22,4.4,21,2,0,0,0,2,141.7,0,0
2019,Nick Bawden,27413,FB,9,DET,6,4,66.7,17,0,46.5,57.3,72.1,67,87.1,4.3,21,5.3,10,1,0,0,0,1,70.1,0,0
2019,Alec Ingold,34934,FB,15,OAK,6,6,100,44,1,67.5,64,74.6,74.9,87.1,7.3,42,7,14,4,0,0,0,0,136.8,0,0
2019,Steven Mitchell Jr.,47508,WR,2,HST,6,2,33.3,37,0,52.9,56.6,68.3,64,,18.5,13,6.5,21,2,0,0,0,0,55.6,1,0
2019,Tanner Hudson,66924,TE,8,TB,5,2,40,26,0,44.4,40.3,27.3,64,74.6,13,2,1,14,1,2,0,0,1,57.1,0,0
2019,Lee Smith,6311,TE,14,BUF,5,4,80,31,1,60.8,61.2,72.1,67,74.8,7.8,9,2.3,9,2,0,0,0,0,132.1,9,1
2019,Devin Funchess,9474,WR,1,IND,5,3,60,32,0,68.9,68.1,70.5,65.8,,10.7,6,2,16,2,0,0,0,0,78.8,0,0
2019,Darius Jennings,10038,WR,8,TEN,5,2,40,17,0,67.4,64.4,68.3,75.4,,8.5,15,7.5,11,2,0,1,0,0,10,0,0
2019,Darrell Henderson,41193,HB,7,LA,5,4,80,37,0,61.8,48.4,41.6,82.1,46.1,9.3,38,9.5,14,1,1,0,0,1,97.5,0,0
2019,Chris Moore,10741,WR,8,BLT,5,3,60,21,0,53.4,52.6,72.1,72.9,,7,11,3.7,13,0,0,0,0,0,69.6,0,0
2019,Jonathan Williams,10790,HB,5,IND,5,5,100,59,0,87.3,91.6,73.4,82.9,19.8,11.8,64,12.8,31,3,0,0,0,2,115.8,2,1
