year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2019,Darian Stewart,5820,S,6,TB,101,7,6.9,0,1,1,2,14.3,7,100,0,1,1,2,14.3,0,0,0,0,0,0,
2019,Chauncey Gardner-Johnson,49371,S,15,NO,389,39,10,0,4,7,11,14.1,31,79.5,0,4,5,9,14.5,8,20.5,0,0,2,2,12.5
2019,Jourdan Lewis,11846,CB,15,DAL,397,25,6.3,3,0,1,4,14,14,56,2,0,0,2,14.3,11,44,1,0,1,2,13.6
2019,Kevin Pierre-Louis,8767,LB,6,CHI,140,25,17.9,0,2,5,7,14,11,44,0,1,2,3,13.6,14,56,0,1,3,4,14.3
2019,Bradley McDougald,8220,S,15,SEA,575,18,3.1,1,1,2,4,13.9,10,55.6,1,1,1,3,20,8,44.4,0,0,1,1,6.3
2019,Jarrad Davis,11776,LB,11,DET,377,62,16.4,2,3,10,15,13.7,27,50,1,1,6,8,16.7,27,50,0,0,4,4,7.4
2019,Cody Barton,50727,LB,7,SEA,77,11,14.3,0,1,2,3,13.6,6,54.5,0,1,1,2,16.7,5,45.5,0,0,1,1,10
2019,Darius Leonard,49684,LB,13,IND,495,60,12.1,3,0,10,13,13.3,25,46.3,2,0,4,6,16,29,53.7,1,0,4,5,10.3
2019,Khari Willis,51304,S,14,IND,380,19,5,0,0,5,5,13.2,8,42.1,0,0,1,1,6.3,11,57.9,0,0,4,4,18.2
2019,Mychal Kendricks,7049,LB,14,SEA,341,76,22.3,3,0,14,17,13.2,29,38.2,2,0,7,9,19,47,61.8,1,0,7,8,9.6
2019,Deatrich Wise Jr.,11886,DI,14,NE,108,106,98.1,2,8,16,26,13.2,32,30.2,2,4,0,6,12.5,74,69.8,0,4,16,20,13.5
2019,Kemoko Turay,21702,ED,4,IND,64,61,95.3,2,4,8,14,13.1,19,31.1,0,0,4,4,10.5,42,68.9,2,4,4,10,14.3
2019,Vince Williams,7988,LB,14,PIT,184,54,29.3,1,6,6,13,13,34,65.4,1,1,3,5,8.8,18,34.6,0,4,3,7,19.4
2019,Fred Warner,51222,LB,16,SF,574,46,8,3,1,5,9,13,16,37.2,2,0,4,6,25,27,62.8,1,1,0,2,5.6
2019,Zach Brown,7055,LB,6,PHI,146,16,11,0,1,3,4,12.5,11,78.6,0,1,2,3,13.6,3,21.4,0,0,1,1,16.7
2019,Kevin Peterson,11302,CB,8,ARZ,173,4,2.3,0,0,1,1,12.5,2,50,0,0,1,1,25,2,50,0,0,0,0,0
2019,Jordan Poyer,8000,S,16,BUF,584,28,4.8,1,0,5,6,12.5,16,57.1,0,0,4,4,12.5,12,42.9,1,0,1,2,12.5
2019,Rashaan Melvin,8334,CB,13,DET,528,8,1.5,0,0,2,2,12.5,5,62.5,0,0,1,1,10,3,37.5,0,0,1,1,16.7
